competencia,tipo,url,bytes,data_modificacao_ftp
202207,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202207/CAGEDMOV202207.7z,45429180,2026-06-09T12:15:02Z
202207,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202207/CAGEDFOR202207.7z,878601,2026-06-09T12:15:01Z
202207,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202207/CAGEDEXC202207.7z,83399,2026-06-09T12:15:00Z
202208,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202208/CAGEDMOV202208.7z,48975744,2026-06-11T18:33:20Z
202208,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202208/CAGEDFOR202208.7z,1082886,2026-06-11T18:33:18Z
202208,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202208/CAGEDEXC202208.7z,74406,2026-06-11T18:33:18Z
202209,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202209/CAGEDMOV202209.7z,45611759,2026-06-11T18:34:52Z
202209,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202209/CAGEDFOR202209.7z,694910,2026-06-11T18:34:50Z
202209,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202209/CAGEDEXC202209.7z,79439,2026-06-11T18:34:50Z
202210,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202210/CAGEDMOV202210.7z,43580858,2026-06-11T18:36:59Z
202210,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202210/CAGEDFOR202210.7z,883978,2026-06-11T18:36:57Z
202210,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202210/CAGEDEXC202210.7z,81823,2026-06-11T18:36:57Z
202211,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202211/CAGEDMOV202211.7z,42601431,2026-06-11T18:38:44Z
202211,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202211/CAGEDFOR202211.7z,840717,2026-06-11T18:38:42Z
202211,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202211/CAGEDEXC202211.7z,84279,2026-06-11T18:38:42Z
202212,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202212/CAGEDMOV202212.7z,40425035,2026-06-11T18:42:14Z
202212,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202212/CAGEDFOR202212.7z,849822,2026-06-11T18:42:12Z
202212,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202212/CAGEDEXC202212.7z,90099,2026-06-11T18:42:12Z
202301,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202301/CAGEDMOV202301.7z,46719858,2026-06-11T18:45:45Z
202301,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202301/CAGEDFOR202301.7z,1016110,2026-06-11T18:45:43Z
202301,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202301/CAGEDEXC202301.7z,102254,2026-06-11T18:45:43Z
202302,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202302/CAGEDMOV202302.7z,46755851,2026-06-11T18:47:01Z
202302,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202302/CAGEDFOR202302.7z,900906,2026-06-11T18:46:59Z
202302,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202302/CAGEDEXC202302.7z,82080,2026-06-11T18:46:59Z
202303,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202303/CAGEDMOV202303.7z,52898207,2026-06-11T18:48:27Z
202303,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202303/CAGEDFOR202303.7z,787292,2026-06-11T18:48:25Z
202303,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202303/CAGEDEXC202303.7z,107254,2026-06-11T18:48:25Z
202304,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202304/CAGEDMOV202304.7z,45282290,2026-06-11T18:55:54Z
202304,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202304/CAGEDFOR202304.7z,895379,2026-06-11T18:55:53Z
202304,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202304/CAGEDEXC202304.7z,90599,2026-06-11T18:55:53Z
202305,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202305/CAGEDMOV202305.7z,49004467,2026-06-11T18:58:05Z
202305,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202305/CAGEDFOR202305.7z,960433,2026-06-11T18:58:03Z
202305,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202305/CAGEDEXC202305.7z,109689,2026-06-11T18:58:03Z
202306,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202306/CAGEDMOV202306.7z,46886297,2026-06-12T17:47:30Z
202306,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202306/CAGEDFOR202306.7z,783722,2026-06-12T17:47:28Z
202306,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202306/CAGEDEXC202306.7z,109477,2026-06-12T17:47:28Z
202307,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202307/CAGEDMOV202307.7z,46260497,2026-06-12T18:07:20Z
202307,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202307/CAGEDFOR202307.7z,764043,2026-06-12T18:07:19Z
202307,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202307/CAGEDEXC202307.7z,101733,2026-06-12T18:07:19Z
202308,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202308/CAGEDMOV202308.7z,50031370,2026-06-12T18:08:32Z
202308,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202308/CAGEDFOR202308.7z,621330,2026-06-12T18:08:30Z
202308,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202308/CAGEDEXC202308.7z,98717,2026-06-12T18:08:30Z
202309,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202309/CAGEDMOV202309.7z,45365331,2026-06-12T18:12:12Z
202309,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202309/CAGEDFOR202309.7z,509217,2026-06-12T18:12:10Z
202309,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202309/CAGEDEXC202309.7z,95591,2026-06-12T18:12:10Z
202310,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202310/CAGEDMOV202310.7z,46890697,2026-06-12T18:13:14Z
202310,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202310/CAGEDFOR202310.7z,824791,2026-06-12T18:13:12Z
202310,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202310/CAGEDEXC202310.7z,111626,2026-06-12T18:13:12Z
202311,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202311/CAGEDMOV202311.7z,45657398,2026-06-12T18:15:48Z
202311,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202311/CAGEDFOR202311.7z,722655,2026-06-12T18:15:46Z
202311,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202311/CAGEDEXC202311.7z,100584,2026-06-12T18:15:46Z
202312,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202312/CAGEDMOV202312.7z,43449338,2026-06-12T18:17:00Z
202312,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202312/CAGEDFOR202312.7z,588448,2026-06-12T18:16:58Z
202312,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202312/CAGEDEXC202312.7z,96710,2026-06-12T18:16:58Z
202401,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202401/CAGEDMOV202401.7z,50252445,2026-06-12T18:19:06Z
202401,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202401/CAGEDFOR202401.7z,574052,2026-06-12T18:19:05Z
202401,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202401/CAGEDEXC202401.7z,93559,2026-06-12T18:19:04Z
202402,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202402/CAGEDMOV202402.7z,53343727,2026-06-12T18:21:36Z
202402,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202402/CAGEDFOR202402.7z,1037816,2026-06-12T18:21:34Z
202402,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202402/CAGEDEXC202402.7z,102846,2026-06-12T18:21:33Z
202403,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202403/CAGEDMOV202403.7z,54276556,2026-06-16T16:56:23Z
202403,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202403/CAGEDFOR202403.7z,665608,2026-06-16T16:56:22Z
202403,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202403/CAGEDEXC202403.7z,116349,2026-06-16T16:56:22Z
202404,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202404/CAGEDMOV202404.7z,54334120,2026-06-16T16:59:46Z
202404,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202404/CAGEDFOR202404.7z,700503,2026-06-16T16:59:44Z
202404,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202404/CAGEDEXC202404.7z,120261,2026-06-16T16:59:44Z
202405,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202405/CAGEDMOV202405.7z,52013075,2026-06-16T17:01:58Z
202405,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202405/CAGEDFOR202405.7z,618522,2026-06-16T17:01:56Z
202405,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202405/CAGEDEXC202405.7z,122725,2026-06-16T17:01:56Z
202406,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202406/CAGEDMOV202406.7z,50057151,2026-06-16T17:03:05Z
202406,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202406/CAGEDFOR202406.7z,657045,2026-06-16T17:03:03Z
202406,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202406/CAGEDEXC202406.7z,112635,2026-06-16T17:03:03Z
202407,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202407/CAGEDMOV202407.7z,53309299,2026-06-16T17:04:02Z
202407,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202407/CAGEDFOR202407.7z,588539,2026-06-16T17:04:01Z
202407,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202407/CAGEDEXC202407.7z,109634,2026-06-16T17:04:01Z
202408,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202408/CAGEDMOV202408.7z,53870229,2026-06-16T17:06:01Z
202408,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202408/CAGEDFOR202408.7z,523329,2026-06-16T17:05:59Z
202408,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202408/CAGEDEXC202408.7z,99861,2026-06-16T17:05:59Z
202409,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202409/CAGEDMOV202409.7z,51790288,2026-06-16T17:08:06Z
202409,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202409/CAGEDFOR202409.7z,586593,2026-06-16T17:08:05Z
202409,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202409/CAGEDEXC202409.7z,104037,2026-06-16T17:08:05Z
202410,MOV,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202410/CAGEDMOV202410.7z,54686311,2026-06-16T17:09:02Z
202410,FOR,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202410/CAGEDFOR202410.7z,554962,2026-06-16T17:09:01Z
202410,EXC,ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2024/202410/CAGEDEXC202410.7z,105951,2026-06-16T17:09:00Z
