cbo_4d,periodo,periodo_num,post,admissoes,desligamentos,n_movimentacoes,ln_salario_real_adm,asinh_saldo,treatment,post_treat
2313,2022-10,202210,0,762,669,1431,8.034387633132269,5.2257755775357575,0,0
2313,2022-11,202211,0,449,717,1166,7.855773667003916,-6.284137641783304,0,0
2313,2022-12,202212,1,161,6360,6521,7.67563991142508,-9.425290454767605,0,0
2313,2023-01,202301,1,3248,2253,5501,8.244874612637886,7.595890170237318,0,0
2313,2023-02,202302,1,7135,2212,9347,8.139272420513706,9.194820570633409,0,0
2313,2023-03,202303,1,3099,1545,4644,7.98931013050591,8.041734815010791,0,0
2313,2023-04,202304,1,1657,1230,2887,7.882004402284357,6.74993256493351,0,0
2313,2023-05,202305,1,1558,1275,2833,8.03637065588058,6.338597199715868,0,0
2313,2023-06,202306,1,1147,1631,2778,7.807965680824261,-6.875233154483393,0,0
2313,2023-07,202307,1,1019,1293,2312,8.185486305297053,-6.306278616890357,0,0
2313,2023-08,202308,1,2557,1517,4074,8.115445451426908,7.640123403834337,0,0
2313,2023-09,202309,1,1191,988,2179,7.893738606847921,6.0063592261824565,0,0
2313,2023-10,202310,1,821,855,1676,8.143334086787243,-4.219723898031069,0,0
2313,2023-11,202311,1,397,792,1189,7.755801266474644,-6.672034547764539,0,0
2313,2023-12,202312,1,197,6939,7136,7.840900809184213,-9.50925908185395,0,0
2313,2024-01,202401,1,3849,2498,6347,8.032517688940386,7.901747655491332,0,0
2313,2024-02,202402,1,7749,2517,10266,7.867908618302856,9.255696082829791,0,0
2313,2024-03,202403,1,3053,1617,4670,7.692053055576679,7.962764051403961,0,0
2313,2024-04,202404,1,2064,1453,3517,7.729835213296618,7.108244809395848,0,0
2313,2024-05,202405,1,1677,1363,3040,7.767302159792919,6.442542702058376,0,0
2313,2024-06,202406,1,1248,1588,2836,7.688610095053343,-6.522094960792895,0,0
2313,2024-07,202407,1,1268,1538,2806,7.97624951954111,-6.291572568895961,0,0
2313,2024-08,202408,1,2457,1340,3797,7.8032789384309,7.711549179999531,0,0
2313,2024-09,202409,1,1285,959,2244,7.7360695258999534,6.480046914283891,0,0
2313,2024-10,202410,1,899,898,1797,7.755607958345973,0.881373587019543,0,0
2313,2024-11,202411,1,405,919,1324,7.850673913276353,-6.935371392280933,0,0
2313,2024-12,202412,1,159,7267,7426,7.814106818054303,-9.562123374782663,0,0
2313,2025-01,202501,1,4463,2847,7310,8.005262182903342,8.080856515373009,0,0
2313,2025-02,202502,1,8188,2669,10857,7.719269537282879,9.309099152207104,0,0
2313,2025-03,202503,1,2419,1493,3912,7.7420809160598525,7.5240217067593465,0,0
2313,2025-04,202504,1,1962,1368,3330,7.717400267452365,7.0800272084663165,0,0
2313,2025-05,202505,1,1637,1338,2975,7.723877202054944,6.393593550328204,0,0
2313,2025-06,202506,1,1182,1642,2824,7.784168494789252,-6.824374851515472,0,0
2313,2025-07,202507,1,1262,1751,3013,7.894090319540586,-6.885510715528973,0,0
2313,2025-08,202508,1,2424,1392,3816,7.807044643115463,7.632401361337865,0,0
2313,2025-09,202509,1,1375,1086,2461,7.735124425345958,6.359576861918119,0,0
2313,2025-10,202510,1,992,918,1910,7.743841660412714,4.997257924399904,0,0
2313,2025-11,202511,1,447,755,1202,7.610454327562709,-6.423249598874763,0,0
2313,2025-12,202512,1,187,6406,6593,7.570947421929032,-9.428511588127797,0,0
2313,2026-01,202601,1,4185,2731,6916,7.984212288427743,7.975220956906124,0,0
2313,2026-02,202602,1,7359,2735,10094,7.815724059123805,9.132162602604577,0,0
2313,2026-03,202603,1,3127,1701,4828,7.708610307826604,7.955775904476357,0,0
2313,2026-04,202604,1,1840,1502,3342,7.690224370742738,6.5161952643345105,0,0
2313,2026-05,202605,1,1541,1308,2849,7.701014937739111,6.144190239078273,0,0
2392,2021-01,202101,0,74,122,196,7.764105319864908,-4.564456680755902,0,0
2392,2021-02,202102,0,434,169,603,7.756076113894872,6.272880566512917,0,0
2392,2021-03,202103,0,335,149,484,7.6976439822773335,5.918901080463752,0,0
2392,2021-04,202104,0,121,81,202,7.844777632079963,4.382182848065498,0,0
2392,2021-05,202105,0,93,75,168,7.599660769323342,3.584289651861328,0,0
2392,2021-06,202106,0,120,98,218,7.458772956717285,3.7847057630994327,0,0
