cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient,gradient_v_a,gradient_v_b,gradient_v_c,gradient_v_d,employment_weight_fallback,matched_pre_admissions,variant_b_mean,variant_b_pooled_sd,variant_c_task_sd,between_destination_sd
7610,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7611,matched_official_mte,7431,7318,7318,1,1,0.13,0.03,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1171.0,0.13,0.030000000000000002,0.03,0.0
7612,matched_official_mte,8261; 7431,3122; 8151; 7318,3122; 8151; 7318,3,3,0.20999999999999996,0.12622730819174321,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,8305.0,0.24972546658639372,0.1365366638438493,0.07788880963698616,0.09933109617167556
7613,matched_official_mte,8262,3122; 8152,3122; 8152,2,2,0.25499999999999995,0.1338842783899588,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,16294.0,0.25499999999999995,0.1338842783899588,0.09433981132056604,0.09499999999999996
7614,matched_official_mte,8264,3122; 8154; 8157,3122; 8154; 8157,3,3,0.24,0.14106735979665883,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,16412.0,0.24,0.14106735979665883,0.11590225767142473,0.08041558721209875
7618,matched_official_mte,3152,2263; 3113; 3114; 3115; 3117; 3257; 7543,2263; 3113; 3114; 3115; 3117; 3257; 7543,7,7,0.2885714285714286,0.08724817991201411,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,23945.0,0.28857142857142865,0.08724817991201413,0.07634508123364221,0.04223355856884138
7620,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7621,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,524.0,0.11,0.030000000000000002,0.030000000000000002,0.0
7622,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,2102.0,0.11,0.030000000000000002,0.030000000000000002,0.0
7623,matched_official_mte,7441,7535,7535,1,1,0.11,0.030000000000000002,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1364.0,0.11,0.030000000000000002,0.030000000000000002,0.0
7630,matched_official_mte,7433,7531,7531,1,1,0.15,0.05,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,1145.0,0.15,0.05,0.05,0.0
7631,matched_official_mte,7435,7532,7532,1,1,0.17,0.04,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,13559.0,0.17,0.04,0.04,0.0
7632,matched_official_mte,8263,3122; 8153,3122; 8153,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,247152.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
7633,matched_official_mte,8263,3122; 8153,3122; 8153,2,2,0.24999999999999994,0.13747727084867517,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,7634.0,0.24999999999999994,0.13747727084867517,0.09433981132056604,0.09999999999999996
7640,no_score,,,,0,0,,,No score,No score,No score,No score,No score,False,0.0,,,,
7641,matched_official_mte,7442,7536,7536,1,1,0.16999999999999998,0.060000000000000005,Not Exposed,Not Exposed,Not Exposed,Not Exposed,Not Exposed,False,61685.0,0.16999999999999998,0.060000000000000005,0.060000000000000005,0.0
