cbo_4d,mte_match_status,ciuo88_codes,isco08_codes,scored_isco08_codes,n_isco08_targets,n_scored_isco08_targets,isco08_mean_score,isco08_pooled_sd,cbo_ilo_gradient
3221,matched_official_mte,3229; 5141,2230; 2266; 2267; 2269; 3259; 5141; 5142,2230; 2266; 2267; 2269; 3259; 5141; 5142,7,7,0.2357142857142857,0.13937176828869743,Not Exposed
3222,matched_official_mte,3231,3221,3221,1,1,0.22,0.21,Minimal Exposure
3223,matched_official_mte,3224,2267; 3254,2267; 3254,2,2,0.24,0.07,Not Exposed
3224,matched_official_mte,3225,3251,3251,1,1,0.16,0.1,Not Exposed
3225,matched_official_mte,3226,2264; 2269; 3214; 3255,2264; 2269; 3214; 3255,4,4,0.20750000000000002,0.10108783309577865,Not Exposed
3226,no_score,,,,0,0,,,No score
3227,matched_official_mte,3229; 5141,2230; 2266; 2267; 2269; 3259; 5141; 5142,2230; 2266; 2267; 2269; 3259; 5141; 5142,7,7,0.2357142857142857,0.13937176828869743,Not Exposed
3231,matched_official_mte,3212,3142; 3143,3142; 3143,2,2,0.23500000000000001,0.08440971508067066,Not Exposed
3241,matched_official_mte,3133,3211,3211,1,1,0.22,0.03,Not Exposed
3242,matched_official_mte,3211,3141; 3212,3141; 3212,2,2,0.345,0.1738533865071371,Exposed: Gradient 1
3250,no_score,,,,0,0,,,No score
3251,no_score,,,,0,0,,,No score
3252,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed
3253,no_score,,,,0,0,,,No score
3281,matched_official_mte,3211,3141; 3212,3141; 3212,2,2,0.345,0.1738533865071371,Exposed: Gradient 1
3311,no_score,,,,0,0,,,No score
3312,no_score,,,,0,0,,,No score
3313,no_score,,,,0,0,,,No score
3321,no_score,,,,0,0,,,No score
3322,no_score,,,,0,0,,,No score
3331,no_score,,,,0,0,,,No score
3341,no_score,,,,0,0,,,No score
3411,matched_official_mte,3143,3153,3153,1,1,0.27,0.05,Not Exposed
3412,matched_official_mte,3142,3152,3152,1,1,0.29,0.11,Not Exposed
3413,no_score,,,,0,0,,,No score
3421,no_score,,,,0,0,,,No score
3422,matched_official_mte,3422,3331,3331,1,1,0.57,0.09,Exposed: Gradient 3
3423,matched_official_mte,4133,3341; 4323,3341; 4323,2,2,0.46499999999999997,0.1107925990308017,Exposed: Gradient 2
3424,matched_official_mte,5112,5112,5112,1,1,0.25,0.17,Minimal Exposure
3425,matched_official_mte,3144,3154,3154,1,1,0.31,0.09,Not Exposed
3426,no_score,,,,0,0,,,No score
3511,matched_official_mte,3433; 3431,3313; 3341; 3342; 3343; 3344,3313; 3341; 3342; 3343; 3344,5,5,0.508,0.13212115651930997,Exposed: Gradient 3
3513,matched_official_mte,3434,3313; 3314,3313; 3314,2,2,0.53,0.12267844146385297,Exposed: Gradient 3
3514,matched_official_mte,3432,3411,3411,1,1,0.39,0.14,Exposed: Gradient 1
3515,matched_official_mte,4115; 4111,3341; 3342; 3344; 4120; 4131,3341; 3342; 3344; 4120; 4131,5,5,0.5479999999999999,0.12592060990957757,Exposed: Gradient 3
3516,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed
3517,matched_official_mte,3412,3321,3321,1,1,0.53,0.12,Exposed: Gradient 3
3518,matched_official_mte,3450,3355; 3411,3355; 3411,2,2,0.31,0.13656500283747663,Minimal Exposure
3519,no_score,,,,0,0,,,No score
3522,matched_official_mte,3444; 3222,3354; 2263; 3257,3354; 2263; 3257,3,3,0.31666666666666665,0.09843215373488934,Minimal Exposure
3523,matched_official_mte,3449,3359,3359,1,1,0.36,0.1,Minimal Exposure
3524,no_score,,,,0,0,,,No score
3532,matched_official_mte,4122,3341; 4312,3341; 4312,2,2,0.535,0.13143439428094916,Exposed: Gradient 3
3541,matched_official_mte,3415,2433; 2434; 3322,2433; 2434; 3322,3,3,0.5,0.09073771725877466,Exposed: Gradient 3
3542,matched_official_mte,3416,3323,3323,1,1,0.39,0.08,Minimal Exposure
3543,matched_official_mte,2419,2412; 2413; 2421; 2422; 2431; 2432; 3339,2412; 2413; 2421; 2422; 2431; 2432; 3339,7,7,0.4985714285714286,0.1184336548969291,Exposed: Gradient 2
3544,matched_official_mte,3417,3315; 3339,3315; 3339,2,2,0.445,0.15898113095584646,Exposed: Gradient 2
3545,matched_official_mte,3412,3321,3321,1,1,0.53,0.12,Exposed: Gradient 3
3546,matched_official_mte,3413,3334,3334,1,1,0.35,0.09,Minimal Exposure
3547,matched_official_mte,3421,3324,3324,1,1,0.44,0.10000000000000002,Exposed: Gradient 2
3548,matched_official_mte,3414,3339; 4221,3339; 4221,2,2,0.5,0.11510864433221339,Exposed: Gradient 3
3711,matched_official_mte,3431,3341; 3342; 3343; 3344,3341; 3342; 3343; 3344,4,4,0.5125,0.13226394066411298,Exposed: Gradient 3
3712,no_score,,,,0,0,,,No score
3713,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed
3714,no_score,,,,0,0,,,No score
3721,matched_official_mte,3131,3431; 3521,3431; 3521,2,2,0.37,0.11683321445547923,Minimal Exposure
3722,matched_official_mte,3132,3521; 3522,3521; 3522,2,2,0.4,0.09669539802906858,Minimal Exposure
3731,no_score,,,,0,0,,,No score
3732,no_score,,,,0,0,,,No score
3741,matched_official_mte,3131,3431; 3521,3431; 3521,2,2,0.37,0.11683321445547923,Minimal Exposure
3742,matched_official_mte,3131,3431; 3521,3431; 3521,2,2,0.37,0.11683321445547923,Minimal Exposure
3743,matched_official_mte,3132,3521; 3522,3521; 3522,2,2,0.4,0.09669539802906858,Minimal Exposure
3744,matched_official_mte,3132,3521; 3522,3521; 3522,2,2,0.4,0.09669539802906858,Minimal Exposure
3751,matched_official_mte,3471,2163; 2166; 3432; 3433; 3435,2163; 2166; 3432; 3433,5,4,0.395,0.1368393218340401,Exposed: Gradient 1
3761,no_score,,,,0,0,,,No score
3762,matched_official_mte,3474,2659; 3435,2659,2,1,0.13,0.06,Not Exposed
3763,no_score,,,,0,0,,,No score
3764,matched_official_mte,5210,5241,5241,1,1,0.25,0.06,Not Exposed
3771,matched_official_mte,3475,3421; 3422; 3423,3421; 3422; 3423,3,3,0.2833333333333334,0.11953614051360739,Minimal Exposure
3772,matched_official_mte,3475,3421; 3422; 3423,3421; 3422; 3423,3,3,0.2833333333333334,0.11953614051360739,Minimal Exposure
3911,matched_official_mte,3119,3119,3119,1,1,0.26,0.05,Not Exposed
3912,matched_official_mte,3152,2263; 3113; 3114; 3115; 3117; 3257; 7543,2263; 3113; 3114; 3115; 3117; 3257; 7543,7,7,0.2885714285714286,0.08724817991201411,Not Exposed
3951,no_score,,,,0,0,,,No score
4101,no_score,,,,0,0,,,No score
4102,matched_official_mte,4131; 4122,3341; 4321; 4312,3341; 4321; 4312,3,3,0.48,0.13699148392023014,Exposed: Gradient 2
4110,matched_official_mte,4121; 4122,3341; 4311; 4313; 4312,3341; 4311; 4313; 4312,4,4,0.5800000000000001,0.11661903789690602,Exposed: Gradient 3
4121,matched_official_mte,4112; 4113; 4111,3341; 4131; 4132,3341; 4131; 4132,3,3,0.5933333333333334,0.1375580685464223,Exposed: Gradient 3
4122,matched_official_mte,4190,3341; 4110; 4227; 4416; 4419,3341; 4110; 4227; 4416; 4419,5,5,0.562,0.12789057822998534,Exposed: Gradient 3
4131,matched_official_mte,4121,3341; 4311; 4313,3341; 4311; 4313,3,3,0.56,0.12806248474865697,Exposed: Gradient 3
4132,matched_official_mte,4122,3341; 4312,3341; 4312,2,2,0.535,0.13143439428094916,Exposed: Gradient 3
4141,matched_official_mte,4131,3341; 4321,3341; 4321,2,2,0.4,0.09354143466934853,Minimal Exposure
4142,matched_official_mte,4132,3341; 4322,3341; 4322,2,2,0.43500000000000005,0.08874119674649424,Exposed: Gradient 2
4151,matched_official_mte,4141; 4143,3341; 4411; 4415; 3252; 4413,3341; 4411; 4415; 3252; 4413,5,5,0.458,0.16642115250171777,Exposed: Gradient 2
4152,matched_official_mte,4142,3341; 4412,3341; 4412,2,2,0.42,0.1319090595827292,Exposed: Gradient 2
4153,no_score,,,,0,0,,,No score
4201,no_score,,,,0,0,,,No score
4211,matched_official_mte,4211,4211; 4212; 5230,4211; 4212; 5230,3,3,0.47333333333333333,0.16599866130651642,Exposed: Gradient 2
4212,matched_official_mte,4213,4212,4212,1,1,0.45,0.19,Exposed: Gradient 2
4213,no_score,,,,0,0,,,No score
4221,matched_official_mte,4222,3341; 4222; 4224; 4225; 4226; 4229,3341; 4222; 4224; 4225; 4226; 4229,6,6,0.5133333333333333,0.12976474439881153,Exposed: Gradient 3
4222,matched_official_mte,4223,3341; 4223,3341; 4223,2,2,0.485,0.14256577429383255,Exposed: Gradient 2
4223,matched_official_mte,9113,5243; 5244,5243; 5244,2,2,0.535,0.163783393541592,Exposed: Gradient 3
4231,no_score,,,,0,0,,,No score
4241,matched_official_mte,3434,3313; 3314,3313; 3314,2,2,0.53,0.12267844146385297,Exposed: Gradient 3
4242,no_score,,,,0,0,,,No score
5101,matched_official_mte,9141; 5121; 9152; 5123,5153; 5151; 5152; 5414; 9621; 9629; 5131; 5132,5153; 5151; 5152; 5414; 9621; 9629; 5131; 5132,8,8,0.26125,0.14649552040932856,Minimal Exposure
