case_id,variant_id,dimension,group_id,outcome,main_terminal_change_pct,main_support_status,main_baseline_value,main_baseline_support,terminal_months,alternative_normalization_change_pct,alternative_support_status,same_month_change_pct,same_month_support_status,matched_months,raw_wage_mean_change_pct,raw_wage_support_status,cell_mean_winsorized_change_pct,cell_mean_winsorized_support_status,primary_reference_change_pct,composition_delta_pp,normalization_delta_pp,same_month_delta_pp,raw_wage_delta_pp,cell_mean_winsorization_delta_pp
customer_service,primary,age,age_41_49,admissions,17.28395062,adequate,432,432,6,12.69276394,adequate,15.35456636,adequate,6,17.28395062,adequate,17.28395062,adequate,17.28395062,0,-4.591186679,-1.929384253,,
customer_service,primary,age,age_41_49,real_admission_wage,4.033541442,adequate,1610.208354,432,6,5.336473932,adequate,5.900973657,adequate,6,3.917632252,adequate,3.917632252,adequate,4.033541442,0,1.30293249,1.867432215,-0.1159091899,-0.1159091899
customer_service,primary,age,age_50_plus,admissions,29.6875,adequate,160,160,6,37.14474554,adequate,47.03199624,adequate,6,29.6875,adequate,29.6875,adequate,29.6875,0,7.457245539,17.34449624,,
customer_service,primary,age,age_50_plus,real_admission_wage,3.488592899,adequate,1554.414461,160,6,4.650379114,adequate,5.410672126,adequate,6,5.045298412,adequate,5.045298412,adequate,3.488592899,0,1.161786215,1.922079227,1.556705513,1.556705513
customer_service,primary,education,education_other,admissions,-2.638596491,adequate,4750,4750,6,-15.43080065,adequate,-18.35684135,adequate,6,-2.638596491,adequate,-2.638596491,adequate,-2.638596491,0,-12.79220415,-15.71824486,,
customer_service,primary,education,education_other,real_admission_wage,6.551326498,adequate,1524.213637,4740,6,10.1728361,adequate,11.53744764,adequate,6,7.54243849,adequate,7.54243849,adequate,6.551326498,0,3.621509606,4.986121145,0.9911119913,0.9911119913
customer_service,primary,education,higher_education,admissions,3.302154195,adequate,1176,1176,6,-21.05320163,adequate,-24.50981805,adequate,6,3.302154195,adequate,3.302154195,adequate,3.302154195,0,-24.35535582,-27.81197225,,
customer_service,primary,education,higher_education,real_admission_wage,6.362640876,adequate,1766.174817,1175,6,10.56245768,adequate,11.07762041,adequate,6,-16.84434888,adequate,-16.84434888,adequate,6.362640876,0,4.199816806,4.714979537,-23.20698976,-23.20698976
customer_service,primary,overall,all,admissions,-1.459669254,adequate,5926,5926,6,-16.66547743,adequate,-19.74652724,adequate,6,-1.459669254,adequate,-1.459669254,adequate,-1.459669254,0,-15.20580818,-18.28685798,,
customer_service,primary,overall,all,real_admission_wage,6.621638301,adequate,1572.278622,5915,6,10.05214192,adequate,11.12365388,adequate,6,0.8109672197,adequate,0.8109672197,adequate,6.621638301,0,3.43050362,4.50201558,-5.810671082,-5.810671082
customer_service,primary,race_color,race_black_combined,admissions,41.56299156,adequate,2331,2331,6,11.66192925,adequate,6.528731469,adequate,6,41.56299156,adequate,41.56299156,adequate,41.56299156,0,-29.90106231,-35.03426009,,
customer_service,primary,race_color,race_black_combined,real_admission_wage,5.998388877,adequate,1541.738362,2328,6,9.803747634,adequate,10.99309017,adequate,6,9.793027121,adequate,9.793027121,adequate,5.998388877,0,3.805358757,4.994701296,3.794638244,3.794638244
customer_service,primary,race_color,race_white,admissions,0.2633711507,adequate,2468,2468,6,-7.966675345,adequate,-10.19650949,adequate,6,0.2633711507,adequate,0.2633711507,adequate,0.2633711507,0,-8.230046496,-10.45988064,,
customer_service,primary,race_color,race_white,real_admission_wage,7.070345556,adequate,1615.17856,2467,6,10.20008727,adequate,11.31073824,adequate,6,-9.594435814,adequate,-9.594435814,adequate,7.070345556,0,3.129741711,4.240392687,-16.66478137,-16.66478137
customer_service,primary,sex,men,admissions,1.78041543,adequate,1685,1685,6,-11.49300717,adequate,-14.8917032,adequate,6,1.78041543,adequate,1.78041543,adequate,1.78041543,0,-13.2734226,-16.67211863,,
customer_service,primary,sex,men,real_admission_wage,8.469727183,adequate,1614.730896,1684,6,12.43618603,adequate,13.27393418,adequate,6,8.108562966,adequate,8.108562966,adequate,8.469727183,0,3.966458849,4.804207001,-0.3611642175,-0.3611642175
