dimension,group_id,group_label,outcome,coefficient,standard_error,adjusted_ci_low,adjusted_ci_high,nominal_p_value,bh_adjusted_p_value,bh_significant_005,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_discovery_alpha,adjusted_interval_method,family_id,family_size
age_canaries,age_41_49,Age 41-49,ln_salario_real_adm,-0.0454624943296302,0.0136207683449489,-0.07863636251416853,-0.012288626145091859,0.0009384570133919,0.0046922850669595,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_41_49,Age 41-49,asinh_saldo,-0.4563481394945126,0.2541342687693238,-1.0752919675662622,0.16259568857723694,0.0734305347014931,0.162274261228444,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,admissoes,-0.0296061301892429,0.0592220858126535,-0.17384147742039127,0.11462921704190546,0.6174568693955707,0.6919775260467602,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,desligamentos,-0.0631095965410156,0.0353702441998758,-0.1492538007481827,0.023034607666151508,0.0752735915797095,0.1630927817560372,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,n_movimentacoes,-0.0460708061358524,0.045023109993995,-0.15572455801405036,0.06358294574234558,0.3069076133895683,0.4156040597983737,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,ln_salario_real_adm,-0.0370457094692212,0.0108699159927596,-0.06352017717585216,-0.01057124176259024,0.0007331907787671,0.0039714500516551,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_canaries,age_50_plus,Age 50+,asinh_saldo,0.3816693109790686,0.1724796312628436,-0.03840470641025595,0.8017433283683931,0.0275727266622078,0.078678049731953,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,admissoes,-0.024075244020011,0.0349550963643234,-0.10920835597347761,0.061057867933455606,0.491451720404199,0.5915622560420913,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,desligamentos,-0.0181920675700475,0.0250367070456215,-0.07916894950010248,0.042784814360007466,0.4679612778524364,0.5793806297220641,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,n_movimentacoes,-0.0212253959462562,0.028264566160343,-0.0900637264193074,0.047612934526795,0.4531996145500829,0.5687527039860766,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,ln_salario_real_adm,-0.0543811196431264,0.0113977614861226,-0.08214035951200402,-0.026621879774248777,2.722882582739672e-06,5.899578929269289e-05,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_white,White,asinh_saldo,-0.2245709123841905,0.3002451161294496,-0.9558176759038703,0.5066758511354894,0.4550021631888612,0.5687527039860766,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,admissoes,-0.0382815917793099,0.0540056420688657,-0.16981426349369919,0.09325107993507939,0.4789082711383443,0.5818511705419136,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,desligamentos,0.0092219725721512,0.0434945858833162,-0.09671064607995956,0.11515459122426196,0.8322143589120172,0.8586338623695416,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,n_movimentacoes,-0.0159874684398833,0.0479025716105747,-0.13265589389614013,0.10068095701637354,0.7387747997310687,0.7847771693606804,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,ln_salario_real_adm,-0.0492063416771099,0.0121920805030223,-0.07890103681264823,-0.01951164654157156,6.731140638294164e-05,0.0005469051768614,True,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_black,Black,asinh_saldo,-0.2001168033374282,0.1561183333565615,-0.5803428914908554,0.18010928481599897,0.2007764944029042,0.2966016394588358,False,adequate,75,265,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,admissoes,-0.0662787379565409,0.0438964918089236,-0.1731886120585532,0.0406311361454714,0.1320010301239065,0.2441470915797153,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,desligamentos,-0.0699610107985406,0.0398578549505345,-0.16703478774833466,0.027112766151253465,0.0801149387379243,0.1707367546873796,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,n_movimentacoes,-0.0680462682562986,0.0409680383903144,-0.16782389617198873,0.03173135965939154,0.0976433174371735,0.1983379885442586,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,ln_salario_real_adm,-0.0502318125328753,0.0098198861695018,-0.07414849631489039,-0.026315128750860214,5.252497281560409e-07,4.0126470358115014e-05,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_pardo,Pardo,asinh_saldo,-0.2841313674912235,0.2589533936220544,-0.9148121706618023,0.34654943567935537,0.2733174507596374,0.3820566515994932,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,admissoes,-0.3479127990737032,0.0804936143954778,-0.5439637975423783,-0.1518618006050281,2.035816685785896e-05,0.0002646561691521,True,adequate,75,264,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,desligamentos,-0.2721935043838631,0.0556464655547244,-0.40772655523751394,-0.13666045353021222,1.5529454404639154e-06,4.03765814520618e-05,True,adequate,75,264,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,n_movimentacoes,-0.3119609243225744,0.067646706766867,-0.47671937829335687,-0.14720247035179193,5.676043763003236e-06,9.223571114880258e-05,True,adequate,75,264,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,ln_salario_real_adm,-0.0706451573513059,0.0172946237678463,-0.11277201515249854,-0.028518299550113264,5.5386157252756973e-05,0.0004800133628572,True,adequate,75,264,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_yellow,Yellow,asinh_saldo,-0.1612228455417618,0.0977403376249744,-0.39926936724694184,0.07682367616341823,0.099968448266309,0.199936896532618,False,adequate,75,264,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,admissoes,-0.1105076252535524,0.0890171888276151,-0.32738139137084243,0.10636614086373766,0.215363069488393,0.3076615278405614,False,adequate,73,259,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,desligamentos,-0.0387161417532768,0.0685363907403606,-0.20568107633022725,0.12824879282367369,0.572534547840228,0.6586680638869878,False,adequate,73,259,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,n_movimentacoes,-0.0759498581710007,0.0775041955587596,-0.2647463302810713,0.11284661393906992,0.3278354423145013,0.4348837500090323,False,adequate,73,259,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,ln_salario_real_adm,-0.0549354779320469,0.0168365834252375,-0.09596410367062912,-0.013906852193464686,0.0012276719080195,0.0059110128904642,True,adequate,73,259,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_indigenous,Indigenous,asinh_saldo,-0.1829463985480711,0.0657942893288583,-0.3431883426970037,-0.022704454399138513,0.0057283764405071,0.0212768267790263,True,adequate,73,259,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,admissoes,-0.0505691077198708,0.0240324519907778,-0.10910100359408256,0.007962788154340969,0.0360969277801987,0.0948141926373284,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,desligamentos,-0.0174747586456413,0.0281114994778435,-0.08594132048196605,0.05099180319068346,0.534607499493843,0.6318088630381782,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,n_movimentacoes,-0.0344115951269286,0.0237135799882778,-0.0921660020642821,0.023342811810424892,0.1476643967419777,0.2461073279032961,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,ln_salario_real_adm,-0.0264279526902771,0.0113949573769703,-0.054181196716816135,0.0013252913362619308,0.0209761794059151,0.0634163563434642,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
race_color,race_unknown,Unidentified,asinh_saldo,-1.1142288881672953,0.3912939899919275,-2.067225118230648,-0.1612326581039426,0.0046735894253109,0.0189864570403255,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,admissoes,0.0017584034090176,0.0530858334681628,-0.12753598900106253,0.1310527958190977,0.9735954318454314,0.9735954318454314,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,desligamentos,0.0141308207828173,0.0468542323528396,-0.099982628278053,0.12824426984368759,0.763148148198324,0.800074671498243,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,n_movimentacoes,0.008926567912085,0.0487612327037661,-0.10983137912637994,0.12768451495054994,0.8548546388862905,0.8721561168068829,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,ln_salario_real_adm,-0.0079895442795224,0.0144242778780743,-0.04312198558653112,0.027142897027486318,0.5800187081607504,0.6614248426394522,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,fundamental_or_less,Primary or less,asinh_saldo,0.3330434789553376,0.1668097339009646,-0.0732215075034881,0.7393084654141633,0.0466713920654633,0.1123570549724116,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,admissoes,-0.0438070225507005,0.0313763509215403,-0.12022410256255958,0.03261005746115858,0.1635712934127102,0.2605623252786063,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,desligamentos,-0.0454815494211288,0.0306823757245534,-0.12020845334186103,0.029245354499603422,0.1391775108635466,0.2441470915797153,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,n_movimentacoes,-0.0444241109686211,0.0294355740572741,-0.11611443032903747,0.027266208391795263,0.1321768745131395,0.2441470915797153,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,ln_salario_real_adm,-0.0427046387160907,0.0121831589479073,-0.07237671353599219,-0.0130325638961892,0.0005173452925082,0.0030570403648211,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,high_school,Secondary,asinh_saldo,-0.2972629744448511,0.3250989190344663,-1.089041156992222,0.49451520810251987,0.3611667696529661,0.469516800548856,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,admissoes,-0.1074563133781788,0.0370634179653978,-0.19772559268124512,-0.017187034075112476,0.0039843166395707,0.0172653721048063,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,desligamentos,-0.0938889443554784,0.0363462699555087,-0.18241025858567977,-0.005367630125277009,0.0102065508497317,0.0349171476438189,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,n_movimentacoes,-0.1007588385296197,0.0330728578217738,-0.18130775987191255,-0.020209917187326842,0.002495697650779,0.0112964192021374,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,ln_salario_real_adm,-0.0351568304759937,0.0093201515837656,-0.057856392811213506,-0.012457268140773897,0.0001909629121459,0.0013791765877203,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
education,higher_education,Higher education,asinh_saldo,-1.1561961198789497,0.3172886666470154,-1.9289524383766388,-0.38343980138126055,0.0003103568421127,0.0020173194737325,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,admissoes,-0.0303514400240769,0.0320868137211418,-0.10859813797419081,0.04789525792603701,0.3450308161422388,0.4530707686716266,False,adequate,46,227,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,desligamentos,-0.0409139143683539,0.0299416442471907,-0.11392941581080523,0.03210158707409744,0.1729246596371636,0.2708458524437502,False,adequate,46,227,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,n_movimentacoes,-0.0353292234852107,0.029832694475521,-0.1080790407139018,0.037420593743480404,0.2373498453299252,0.3353856510096769,False,adequate,46,227,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,ln_salario_real_adm,-0.0492978122253503,0.0139746493701304,-0.08337630246518557,-0.015219321985515032,0.000491974045752,0.00304555361656,True,adequate,46,227,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,low_income,Up to 2 minimum wages,asinh_saldo,0.2144150228457469,0.3568869662083842,-0.6558872418144615,1.0847172875059552,0.5484784752195817,0.6423621781850957,False,adequate,46,227,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,admissoes,-0.1913587356126855,0.0663962691545913,-0.3572411887441892,-0.025476282481181806,0.0055613762425028,0.0212640856330989,True,limited,26,32,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,desligamentos,-0.1027601900980564,0.0799735335290572,-0.30256367448520904,0.09704329428909625,0.2040146636367943,0.2979989468852052,False,limited,26,32,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,n_movimentacoes,-0.1494117147270779,0.0725777843012872,-0.33073788042947916,0.03191445097532336,0.0441093329123256,0.1081927033698552,False,limited,26,32,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,ln_salario_real_adm,-0.0434290824641352,0.025764706413199,-0.1077988544174874,0.020940689489217006,0.097339707614027,0.1983379885442586,False,limited,26,32,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,middle_income,Over 2 through 5 minimum wages,asinh_saldo,-1.2484026036606353,0.8350347576278796,-3.3346284685939627,0.8378232612726921,0.1404225626142663,0.2441470915797153,False,limited,26,32,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,admissoes,-0.0068307289461444,0.0954008103648888,-0.2995610076356845,0.2858995497433957,0.9446776223982476,0.95200070474242,False,thin,3,6,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,desligamentos,0.1563690423231793,0.1053047233501027,-0.16675065546238174,0.4794887401087403,0.1758649773260776,0.2721719887189295,False,thin,3,6,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,n_movimentacoes,0.0722930597422521,0.0845621369598293,-0.18717955714805773,0.3317656766325619,0.417466362294622,0.5373329415673352,False,thin,3,6,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,ln_salario_real_adm,0.0117350148761343,0.0345019613182268,-0.09413168283209994,0.11760171258436855,0.7425199371643361,0.7847771693606804,False,thin,3,6,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
income,high_income,Over 5 minimum wages,asinh_saldo,-3.4227139758165976,2.117129435425658,-9.918967909966332,3.073539958333136,0.144610200397216,0.2441470915797153,False,thin,3,6,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_18_24,Age 18-24,admissoes,-0.0379758436745453,0.0359696855775695,-0.12557998692421563,0.049628299575125025,0.2918212844304935,0.3993343892206753,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_18_24,Age 18-24,desligamentos,-0.0170308610987383,0.044337146382811,-0.125015565965068,0.09095384376759139,0.7011290549429887,0.7532791499387482,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_18_24,Age 18-24,n_movimentacoes,-0.0283808418813417,0.0378559964887628,-0.12057909399307674,0.06381741023039335,0.4539506266705113,0.5687527039860766,False,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
age_pnad,age_18_24,Age 18-24,ln_salario_real_adm,-0.0511584731259296,0.0110626915005706,-0.07810205371639141,-0.024214892535467797,5.350968622863661e-06,9.223571114880258e-05,True,adequate,75,266,0.015384615384615385,two-sided cluster-t interval at BH discovery cutoff q*k/m,C,130
