outcome,estimator,coefficient,standard_error,p_value,n_obs,n_clusters,dropped_cbo,status
asinh_saldo,ols,-0.47522441860450165,0.37498295001476534,0.2059097883491947,21984,340,2521,estimated
admissoes,ppml,-0.053252175440966616,0.03872718508124513,0.17002113825796017,21984,340,2522,estimated
desligamentos,ppml,-0.04189919520765893,0.034939395215995386,0.2312891334021221,21984,340,2522,estimated
n_movimentacoes,ppml,-0.047784704867307695,0.03553934183282314,0.1796669828361952,21984,340,2522,estimated
ln_salario_real_adm,ols,-0.05029898353836664,0.010426476429311831,2.1284501785512333e-06,21947,340,2522,estimated
asinh_saldo,ols,-0.4570258311524895,0.37074618504613266,0.21853484730759165,21984,340,2522,estimated
admissoes,ppml,-0.05338238093753493,0.03873232079095982,0.16903856612040968,21984,340,2523,estimated
desligamentos,ppml,-0.04210095456759768,0.034908052588967765,0.22863818205213615,21984,340,2523,estimated
n_movimentacoes,ppml,-0.047925119255719094,0.035527697357469065,0.17825309066815587,21984,340,2523,estimated
ln_salario_real_adm,ols,-0.05136942316903549,0.010416681565029605,1.280600093078732e-06,21947,340,2523,estimated
asinh_saldo,ols,-0.5544501817991104,0.38274886725087065,0.14837349926123222,21984,340,2523,estimated
admissoes,ppml,-0.052736071778943516,0.03857579402765915,0.17250706417749662,21984,340,2531,estimated
desligamentos,ppml,-0.04125468356863132,0.03478709039112057,0.23648469519148052,21984,340,2531,estimated
n_movimentacoes,ppml,-0.047190085052358194,0.035385886531972076,0.1832352646816764,21984,340,2531,estimated
ln_salario_real_adm,ols,-0.04879375348339282,0.010249200527183866,2.8619167178334237e-06,21947,340,2531,estimated
asinh_saldo,ols,-0.5227897722660126,0.38168093979649353,0.17168600367009934,21984,340,2531,estimated
admissoes,ppml,-0.053311120720998514,0.03856322105949488,0.1677484507748801,21984,340,2611,estimated
desligamentos,ppml,-0.04157361071161722,0.03473347282863583,0.2321693485712384,21984,340,2611,estimated
n_movimentacoes,ppml,-0.047644700505418795,0.0353525110592326,0.1786537460874169,21984,340,2611,estimated
ln_salario_real_adm,ols,-0.05084576787094426,0.01043548469455643,1.6957333544009856e-06,21947,340,2611,estimated
asinh_saldo,ols,-0.5266934262897615,0.38195741275962986,0.16882474978168327,21984,340,2611,estimated
admissoes,ppml,-0.05321381528885247,0.038558667718135424,0.1684732972863925,21984,340,2612,estimated
desligamentos,ppml,-0.04159605580747455,0.03473090722760037,0.23188347822359345,21984,340,2612,estimated
n_movimentacoes,ppml,-0.04759853397217705,0.03535006939267816,0.17904394287145697,21984,340,2612,estimated
ln_salario_real_adm,ols,-0.04972052380607536,0.01038504344515963,2.5243214423209537e-06,21947,340,2612,estimated
asinh_saldo,ols,-0.5447559801373855,0.38270593620801624,0.1555305595595755,21984,340,2612,estimated
admissoes,ppml,-0.053728517035942405,0.03856502659014746,0.16447433617792329,21984,340,2613,estimated
desligamentos,ppml,-0.041968882172601286,0.034709235169546264,0.2274455185061499,21984,340,2613,estimated
n_movimentacoes,ppml,-0.048049010490873754,0.03534269781852619,0.1748863103442062,21984,340,2613,estimated
ln_salario_real_adm,ols,-0.05169368270171017,0.010391552470229366,1.0414333948549626e-06,21947,340,2613,estimated
asinh_saldo,ols,-0.5702484353209254,0.3822821649603924,0.13670905097636332,21984,340,2613,estimated
admissoes,ppml,-0.053870168473280945,0.038579274654397755,0.1635227531253447,21984,340,2614,estimated
desligamentos,ppml,-0.04216936657076962,0.03471561389401255,0.225322534982054,21984,340,2614,estimated
n_movimentacoes,ppml,-0.04821701571152916,0.035354033672312886,0.17352484911806298,21984,340,2614,estimated
ln_salario_real_adm,ols,-0.05010731813258995,0.010416413509143449,2.270063197196137e-06,21947,340,2614,estimated
asinh_saldo,ols,-0.5655544954783976,0.3824902790250016,0.1401727440294207,21984,340,2614,estimated
admissoes,ppml,-0.05369489738054652,0.03855874324143194,0.16466921978846294,21984,340,2615,estimated
desligamentos,ppml,-0.04196478379832851,0.03470508867344843,0.22743540060379863,21984,340,2615,estimated
n_movimentacoes,ppml,-0.048029324172115376,0.035337853790978264,0.17500362299636674,21984,340,2615,estimated
ln_salario_real_adm,ols,-0.04949573779334871,0.010360029763990359,2.6464658116065465e-06,21947,340,2615,estimated
asinh_saldo,ols,-0.5405044505916892,0.3826081273810341,0.1586660086590359,21984,340,2615,estimated
admissoes,ppml,-0.05371633536481469,0.03856050017363942,0.1645203671803417,21984,340,2616,estimated
desligamentos,ppml,-0.04194948244868074,0.03470499885993447,0.22760337042638756,21984,340,2616,estimated
n_movimentacoes,ppml,-0.04803339273582572,0.0353382688832044,0.1749722370434741,21984,340,2616,estimated
ln_salario_real_adm,ols,-0.04999886044256094,0.010409113611757947,2.34616614247507e-06,21947,340,2616,estimated
asinh_saldo,ols,-0.5786302970682959,0.3817636370818655,0.1305329503648276,21984,340,2616,estimated
admissoes,ppml,-0.05364911101276997,0.0385668273437924,0.16511686329714936,21984,340,2617,estimated
desligamentos,ppml,-0.04190815596743689,0.0347175933281754,0.2282291355594408,21984,340,2617,estimated
n_movimentacoes,ppml,-0.047979915020769044,0.035347668489272475,0.17556617664874974,21984,340,2617,estimated
ln_salario_real_adm,ols,-0.05110817089985374,0.010429403169078567,1.4848904916764383e-06,21947,340,2617,estimated
asinh_saldo,ols,-0.544106335990846,0.3826940853366844,0.15600981565824412,21984,340,2617,estimated
admissoes,ppml,-0.05273938209532556,0.03858234596616685,0.1725528955277682,21984,340,2624,estimated
desligamentos,ppml,-0.041784852679241494,0.034804289551794675,0.23075776514996305,21984,340,2624,estimated
n_movimentacoes,ppml,-0.04743747627965694,0.035405825150782604,0.1812008872273223,21984,340,2624,estimated
ln_salario_real_adm,ols,-0.0486843648436689,0.010227407382889464,2.8692513340811132e-06,21947,340,2624,estimated
asinh_saldo,ols,-0.5219353862670593,0.3816150577065126,0.1723116119506849,21984,340,2624,estimated
admissoes,ppml,-0.05417687542644746,0.03862457290285915,0.16163544675396624,21984,340,3003,estimated
desligamentos,ppml,-0.04248342970427976,0.0347424402160195,0.22225059381314294,21984,340,3003,estimated
