family,family_label,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent,bh_adjusted_p_value
dismissal_with_cause,Dismissal with cause or reciprocal fault,5,2023-05,False,0.013627782732326451,0.04859824872275489,-0.08196532779095786,0.10922089325561077,0.7793290276375029,338,15879,339,1.3721064221726658,0.909190717835803
dismissal_with_cause,Dismissal with cause or reciprocal fault,6,2023-06,False,0.03950312681892018,0.055529673919781704,-0.06972414774025908,0.14873040137809945,0.47733467629419657,338,15879,339,4.029375169005782,0.6521998547386052
dismissal_with_cause,Dismissal with cause or reciprocal fault,7,2023-07,False,0.002773019285568222,0.05323882795166715,-0.1019481445067171,0.10749418307785355,0.9584906125648429,338,15879,339,0.2776867659930562,0.9797904039551727
dismissal_with_cause,Dismissal with cause or reciprocal fault,8,2023-08,False,0.028807316536460553,0.04553636397515438,-0.060763044303873,0.11837767737679411,0.5274080904810803,338,15879,339,2.9226260487268148,0.7135521224155792
dismissal_with_cause,Dismissal with cause or reciprocal fault,9,2023-09,False,0.0018305817233924097,0.0755150901464698,-0.14670815266041026,0.15036931610719506,0.9806744636376072,338,15879,339,0.18322582609723584,0.9914511060951633
dismissal_with_cause,Dismissal with cause or reciprocal fault,10,2023-10,False,-0.024968140628370668,0.06297233716687206,-0.1488351882054111,0.09889890694866979,0.6919909900662704,338,15879,339,-2.4659014715741674,0.8411423106628226
dismissal_with_cause,Dismissal with cause or reciprocal fault,11,2023-11,False,-0.046254844510369056,0.05304016452508517,-0.15058523589020542,0.05807554686946731,0.3837881217144199,338,15879,339,-4.520139400021002,0.5545838826868057
dismissal_with_cause,Dismissal with cause or reciprocal fault,12,2023-12,False,0.08664746998623704,0.06375007315222594,-0.038749389959763514,0.2120443299322376,0.17499748540182214,338,15879,339,9.051217367570505,0.3631526764729542
dismissal_with_cause,Dismissal with cause or reciprocal fault,13,2024-01,False,0.10401025518364745,0.06738050884894745,-0.02852769831871163,0.23654820868600654,0.12361485323518662,338,15879,339,10.961183413037087,0.27294159594329204
dismissal_with_cause,Dismissal with cause or reciprocal fault,14,2024-02,False,0.0678461023140544,0.07280148046883902,-0.07535494199555114,0.21104714662365992,0.35203633644155996,338,15879,339,7.020059440956518,0.5280545046623399
dismissal_with_cause,Dismissal with cause or reciprocal fault,15,2024-03,False,0.020514485672157412,0.06201661490918498,-0.10147264923704515,0.14250162058135996,0.7410079611216605,338,15879,339,2.072635404342926,0.8777605033029111
dismissal_with_cause,Dismissal with cause or reciprocal fault,16,2024-04,False,-0.010357781955340296,0.07438004309728698,-0.15666387049544905,0.13594830658476847,0.88933169993732,338,15879,339,-1.0304324856677882,0.9576614587650669
dismissal_with_cause,Dismissal with cause or reciprocal fault,17,2024-05,False,0.03621802213040847,0.08424868885174144,-0.12949976475509756,0.2019358090159145,0.6675465491525894,338,15879,339,3.6881885046884464,0.8225127123487262
dismissal_with_cause,Dismissal with cause or reciprocal fault,18,2024-06,False,0.04769431479923994,0.11912065475784833,-0.18661688396091752,0.2820055135593974,0.6891247298493413,338,15879,339,4.884998839613029,0.8411423106628226
dismissal_with_cause,Dismissal with cause or reciprocal fault,19,2024-07,False,0.007170875655242139,0.09143302920800646,-0.17267856123335895,0.18702031254384321,0.9375343053305549,338,15879,339,0.719664795055189,0.9727799559068916
dismissal_with_cause,Dismissal with cause or reciprocal fault,20,2024-08,False,-0.038691625133694126,0.09375385976278605,-0.2231061526903666,0.14572290242297836,0.6800927106649,338,15879,339,-3.7952665373709964,0.8342470584156106
dismissal_with_cause,Dismissal with cause or reciprocal fault,21,2024-09,False,-0.05361122866315644,0.09714431859663686,-0.2446948135325298,0.13747235620621695,0.5814007472611913,338,15879,339,-5.2199487443371435,0.7605052428629802
dismissal_with_cause,Dismissal with cause or reciprocal fault,22,2024-10,False,-0.07774122791295811,0.08747416419793545,-0.24980354838480473,0.09432109255888853,0.37477831258227035,338,15879,339,-7.479618750949982,0.548447573129512
dismissal_with_cause,Dismissal with cause or reciprocal fault,23,2024-11,False,-0.11067532094033579,0.10520685230143084,-0.31761796854954005,0.09626732666886849,0.293561018875125,338,15879,339,-10.47706360237525,0.4940417146922835
