dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-7,estimated,-0.0014178076045381,0.2870270088261989,0.0178006594298459,260,99.85831970098242,96.4344097848216,103.40379575873256,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-6,estimated,-0.0238668172012728,0.2838931693603742,0.0175725460301765,261,97.64157428799876,94.33583976486064,101.06314899197064,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-5,estimated,-0.0239220861968453,0.2734150925072574,0.0170551648795628,257,97.63617788539,94.42633216001482,100.95513628458215,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-4,estimated,-0.0119851229471227,0.2630691474344026,0.0163148559403177,260,98.8086412566393,95.69900921719469,102.01931730374754,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-3,estimated,0.0477974401001967,0.290643026398724,0.018024915319785,260,104.89581569442036,101.25466632260508,108.66790193294382,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-2,estimated,0.0009293720597846,0.214273924323387,0.0132126961993115,263,100.09298040598166,97.53415979327032,102.71893199046652,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,-1,estimated,-0.003324114439863,0.223894042988515,0.0139120989100836,259,99.66814043118606,96.98713663355886,102.42325489557156,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,0,estimated,0.0032960669757911,0.3417524463200819,0.0213595278950051,256,100.33015049775769,96.2165690501778,104.61960136671604,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,1,estimated,0.0680640260719322,0.3097884470823376,0.0192122639063304,260,107.04338419589502,103.08750336520308,111.1510680350583,adequate,75,266
age_canaries,age_41_49,41–49,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,2,estimated,0.0367536916731903,0.316561524507418,0.0196323123367164,260,103.74374598811404,99.82758475547294,107.81353528696154,adequate,75,266
