outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta
ln_salario_real_adm,average_post_event_time_0_to_23,0.4,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.45,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.5,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.55,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.6,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.65,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.7,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.75,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.8,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.85,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.9,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,0.95,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
ln_salario_real_adm,average_post_event_time_0_to_23,1.05,-0.243595506153435,0.243595506153435,FALSE,-0.243595506153435,0.243595506153435,TRUE,C-LF,DeltaRM
