repetition,seed,outcome,estimator,coefficient,n_obs,n_clusters,treated_cbo_count,control_cbo_count
35,20260726,asinh_saldo,ols,0.7288683869892348,22049,341,75,266
35,20260726,desligamentos,ppml,-0.007821661420166492,22049,341,75,266
35,20260726,ln_salario_real_adm,ols,0.01596304889841508,22012,341,75,266
35,20260726,n_movimentacoes,ppml,-0.0012108082883059978,22049,341,75,266
36,20260726,admissoes,ppml,-0.05967356450855732,22049,341,75,266
36,20260726,asinh_saldo,ols,-0.1384538677047548,22049,341,75,266
36,20260726,desligamentos,ppml,-0.040975864976644516,22049,341,75,266
36,20260726,ln_salario_real_adm,ols,-0.020856465971341193,22012,341,75,266
36,20260726,n_movimentacoes,ppml,-0.051192255690693855,22049,341,75,266
37,20260726,admissoes,ppml,0.0008414005860686302,22049,341,75,266
37,20260726,asinh_saldo,ols,0.03781837235087834,22049,341,75,266
37,20260726,desligamentos,ppml,0.014136910438537598,22049,341,75,266
37,20260726,ln_salario_real_adm,ols,-0.006801807955778347,22012,341,75,266
37,20260726,n_movimentacoes,ppml,0.007387818302959204,22049,341,75,266
38,20260726,admissoes,ppml,0.02475324971601367,22049,341,75,266
38,20260726,asinh_saldo,ols,-0.15893633574921498,22049,341,75,266
38,20260726,desligamentos,ppml,0.016761532984673977,22049,341,75,266
38,20260726,ln_salario_real_adm,ols,0.009235483511538443,22012,341,75,266
38,20260726,n_movimentacoes,ppml,0.021220661234110594,22049,341,75,266
39,20260726,admissoes,ppml,-0.05194327421486378,22049,341,75,266
39,20260726,asinh_saldo,ols,-0.2532664966772739,22049,341,75,266
39,20260726,desligamentos,ppml,-0.007330369204282761,22049,341,75,266
39,20260726,ln_salario_real_adm,ols,0.019468325107071447,22012,341,75,266
39,20260726,n_movimentacoes,ppml,-0.029468565247952938,22049,341,75,266
40,20260726,admissoes,ppml,0.07774545485153794,22049,341,75,266
40,20260726,asinh_saldo,ols,-0.15837888183852541,22049,341,75,266
40,20260726,desligamentos,ppml,0.08276109863072634,22049,341,75,266
40,20260726,ln_salario_real_adm,ols,-0.007207326673840532,22012,341,75,266
40,20260726,n_movimentacoes,ppml,0.08040810562670231,22049,341,75,266
41,20260726,admissoes,ppml,-0.038272048346698284,22049,341,75,266
41,20260726,asinh_saldo,ols,-0.22371196689677597,22049,341,75,266
41,20260726,desligamentos,ppml,-0.012425454333424568,22049,341,75,266
41,20260726,ln_salario_real_adm,ols,0.003928986257884268,22012,341,75,266
41,20260726,n_movimentacoes,ppml,-0.02617527497932315,22049,341,75,266
42,20260726,admissoes,ppml,0.05407685553655028,22049,341,75,266
42,20260726,asinh_saldo,ols,-0.4230990486777678,22049,341,75,266
42,20260726,desligamentos,ppml,0.01950195711106062,22049,341,75,266
42,20260726,ln_salario_real_adm,ols,0.0008876045025074295,22012,341,75,266
42,20260726,n_movimentacoes,ppml,0.03741622157394886,22049,341,75,266
43,20260726,admissoes,ppml,-0.009695804677903652,22049,341,75,266
43,20260726,asinh_saldo,ols,0.6105978648786526,22049,341,75,266
43,20260726,desligamentos,ppml,-0.009736231528222561,22049,341,75,266
43,20260726,ln_salario_real_adm,ols,-0.0042433350162715735,22012,341,75,266
43,20260726,n_movimentacoes,ppml,-0.009514323435723782,22049,341,75,266
44,20260726,admissoes,ppml,0.0426919786259532,22049,341,75,266
44,20260726,asinh_saldo,ols,0.6113625806747714,22049,341,75,266
44,20260726,desligamentos,ppml,0.0036695837043225765,22049,341,75,266
44,20260726,ln_salario_real_adm,ols,0.003551885609754273,22012,341,75,266
44,20260726,n_movimentacoes,ppml,0.024041962809860706,22049,341,75,266
45,20260726,admissoes,ppml,0.03934963885694742,22049,341,75,266
45,20260726,asinh_saldo,ols,0.5309122551944819,22049,341,75,266
45,20260726,desligamentos,ppml,-0.014304254669696093,22049,341,75,266
45,20260726,ln_salario_real_adm,ols,0.006229144661139735,22012,341,75,266
45,20260726,n_movimentacoes,ppml,0.013668082654476166,22049,341,75,266
46,20260726,admissoes,ppml,-0.03048880398273468,22049,341,75,266
46,20260726,asinh_saldo,ols,-0.3550411048322037,22049,341,75,266
46,20260726,desligamentos,ppml,-0.010861947201192379,22049,341,75,266
46,20260726,ln_salario_real_adm,ols,0.022843125059076225,22012,341,75,266
46,20260726,n_movimentacoes,ppml,-0.021000150591135025,22049,341,75,266
47,20260726,admissoes,ppml,-0.011150805745273829,22049,341,75,266
47,20260726,asinh_saldo,ols,-0.027814366752124082,22049,341,75,266
47,20260726,desligamentos,ppml,-0.016043865587562323,22049,341,75,266
