outcome,target,M,lb,ub,excludes_zero,internal_grid_lower,internal_grid_upper,ci_open_at_internal_grid,method,Delta,grid_stage,grid_points,ci_open_below,ci_open_above,identified_set_empty,observed_pre_period_curvature,interval_uninformative
ln_salario_real_adm,average_post_event_time_0_to_23,1,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.05,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.1,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.15,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.2,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.25,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.3,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.35,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.4,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.45,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.5,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.55,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.6,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.65,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.7,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.75,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.8,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.85,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.9,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,1.95,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,2,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaRM,,,,,,,
ln_salario_real_adm,average_post_event_time_0_to_23,0,-0.243595506152823,0.243595506152823,FALSE,-0.243595506152823,0.243595506152823,TRUE,C-LF,DeltaSD,coarse_open_both_sides,25,TRUE,TRUE,FALSE,0.0818108918052574,TRUE
