cbo_4d,outcome,trend_scale,pre_observations,pre_slope,slope_status
3161,desligamentos,log1p,23,0.03537443411015555,estimated
3163,desligamentos,log1p,23,0.017600298697515206,estimated
3171,desligamentos,log1p,23,-0.004190709343732749,estimated
3172,desligamentos,log1p,23,0.01627914310695752,estimated
3188,desligamentos,log1p,23,0.012439392101915197,estimated
3211,desligamentos,log1p,23,-0.0017209475100299916,estimated
3213,desligamentos,log1p,23,0.014449010463206756,estimated
3221,desligamentos,log1p,23,0.020573025514431985,estimated
3223,desligamentos,log1p,23,0.01459754217012474,estimated
3224,desligamentos,log1p,23,0.01650122238608586,estimated
3225,desligamentos,log1p,23,-0.03900649732043429,estimated
3231,desligamentos,log1p,23,0.005259548878441513,estimated
3241,desligamentos,log1p,23,0.010178086552808578,estimated
3242,desligamentos,log1p,23,0.003843696708539358,estimated
3252,desligamentos,log1p,23,0.014703657097656763,estimated
3281,desligamentos,log1p,23,-0.03402686716410363,estimated
3411,desligamentos,log1p,23,0.013624355285038456,estimated
3412,desligamentos,log1p,23,-0.00018306687576695704,estimated
3422,desligamentos,log1p,23,0.005807150848805565,estimated
3423,desligamentos,log1p,23,0.0032487710497445758,estimated
3425,desligamentos,log1p,23,0.026926578556832916,estimated
3511,desligamentos,log1p,23,-0.0003245801087831541,estimated
3513,desligamentos,log1p,23,0.0033263644445858586,estimated
3514,desligamentos,log1p,23,0.013752805265019919,estimated
3515,desligamentos,log1p,23,0.013796714393855939,estimated
3516,desligamentos,log1p,23,0.0117126607949036,estimated
3517,desligamentos,log1p,23,0.009151776890528927,estimated
3532,desligamentos,log1p,23,0.004683001127156688,estimated
3541,desligamentos,log1p,23,0.008688164188869052,estimated
3543,desligamentos,log1p,23,0.01013494788667602,estimated
3544,desligamentos,log1p,23,0.00938885877624689,estimated
3545,desligamentos,log1p,23,0.01709647969544347,estimated
3547,desligamentos,log1p,23,-0.006681068492489809,estimated
3548,desligamentos,log1p,23,0.026533510829467068,estimated
3711,desligamentos,log1p,23,0.00024852987997058933,estimated
3713,desligamentos,log1p,23,-0.0030262383531224654,estimated
3751,desligamentos,log1p,23,-0.016431917008280304,estimated
3762,desligamentos,log1p,23,0.02406443429839665,estimated
3764,desligamentos,log1p,23,0.01395058400803294,estimated
3911,desligamentos,log1p,23,0.0062336651737435024,estimated
3912,desligamentos,log1p,23,0.007235599741277437,estimated
4102,desligamentos,log1p,23,0.00650990361750216,estimated
4110,desligamentos,log1p,23,0.011976372363267892,estimated
4121,desligamentos,log1p,23,0.002157728810006109,estimated
4122,desligamentos,log1p,23,0.0018936453331662353,estimated
4131,desligamentos,log1p,23,0.008056807805547832,estimated
4132,desligamentos,log1p,23,0.0030109475627422655,estimated
4142,desligamentos,log1p,23,0.004723217463643676,estimated
4151,desligamentos,log1p,23,0.01574962001386419,estimated
4152,desligamentos,log1p,23,-0.025142470859936202,estimated
4211,desligamentos,log1p,23,0.011046259542675749,estimated
4212,desligamentos,log1p,23,0.002779651360868178,estimated
4221,desligamentos,log1p,23,0.015049851974471621,estimated
4222,desligamentos,log1p,23,0.007026783915592487,estimated
4223,desligamentos,log1p,23,0.005441961264536357,estimated
4241,desligamentos,log1p,23,0.015806674038814892,estimated
5111,desligamentos,log1p,23,0.002892577681149024,estimated
5121,desligamentos,log1p,23,0.018174902035245324,estimated
5131,desligamentos,log1p,23,0.004082886510970448,estimated
5132,desligamentos,log1p,23,0.012479834120437346,estimated
5142,desligamentos,log1p,23,0.00774275322977238,estimated
5143,desligamentos,log1p,23,0.015038495292400839,estimated
5151,desligamentos,log1p,23,0.006330329589551306,estimated
5152,desligamentos,log1p,23,0.006611467038768457,estimated
5161,desligamentos,log1p,23,-0.003745894820171853,estimated
5162,desligamentos,log1p,23,0.02803066903024243,estimated
5163,desligamentos,log1p,23,0.011538754096970433,estimated
5164,desligamentos,log1p,23,0.007431674770126066,estimated
5165,desligamentos,log1p,23,0.009418263068552367,estimated
5166,desligamentos,log1p,23,0.007294217637546675,estimated
5171,desligamentos,log1p,23,0.014517314841202575,estimated
5172,desligamentos,log1p,23,0.032368106863263676,estimated
5173,desligamentos,log1p,23,-0.0029171817595069487,estimated
5199,desligamentos,log1p,23,0.009423648378472914,estimated
5231,desligamentos,log1p,23,0.009101041042850328,estimated
5241,desligamentos,log1p,23,0.010865031481617736,estimated
5242,desligamentos,log1p,23,0.005412857880709296,estimated
5243,desligamentos,log1p,23,-0.0012519361740806747,estimated
6110,desligamentos,log1p,23,0.010053809472685542,estimated
6120,desligamentos,log1p,23,0.016396730347065243,estimated
6122,desligamentos,log1p,7,0.02022556261268851,estimated
6125,desligamentos,log1p,23,-0.016640586940435367,estimated
6130,desligamentos,log1p,23,0.015618833086783647,estimated
6131,desligamentos,log1p,23,0.008771048858993163,estimated
