outcome,row_position,column_position,row_event_time,column_event_time,covariance
ln_salario_real_adm,3,30,-20,8,0.00013621348469224708
ln_salario_real_adm,3,31,-20,9,8.542238192239448e-05
ln_salario_real_adm,3,32,-20,10,7.485192512313656e-05
ln_salario_real_adm,3,33,-20,11,0.0001410469308465133
ln_salario_real_adm,3,34,-20,12,-2.919474790813398e-05
ln_salario_real_adm,3,35,-20,13,0.0001087775111361198
ln_salario_real_adm,3,36,-20,14,8.948547855525199e-05
ln_salario_real_adm,3,37,-20,15,0.00010450798957600052
ln_salario_real_adm,3,38,-20,16,6.417813988418077e-05
ln_salario_real_adm,3,39,-20,17,4.253395351005476e-05
ln_salario_real_adm,3,40,-20,18,9.01349906822134e-05
ln_salario_real_adm,3,41,-20,19,2.1321250495231272e-05
ln_salario_real_adm,3,42,-20,20,4.139116099212827e-05
ln_salario_real_adm,3,43,-20,21,0.00014139108210170625
ln_salario_real_adm,3,44,-20,22,0.00010427612774508124
ln_salario_real_adm,3,45,-20,23,0.00010321184793626025
ln_salario_real_adm,4,0,-19,-23,0.00015722717751191399
ln_salario_real_adm,4,1,-19,-22,0.00044163390427032445
ln_salario_real_adm,4,2,-19,-21,0.00045603457686179316
ln_salario_real_adm,4,3,-19,-20,0.000705746082878559
ln_salario_real_adm,4,4,-19,-19,0.0008001657886246385
ln_salario_real_adm,4,5,-19,-18,0.00021809255993245953
ln_salario_real_adm,4,6,-19,-17,5.07839938833837e-05
ln_salario_real_adm,4,7,-19,-16,0.0007866095059192379
ln_salario_real_adm,4,8,-19,-15,0.00019296852424489835
ln_salario_real_adm,4,9,-19,-14,0.00015081140872881093
ln_salario_real_adm,4,10,-19,-13,5.981103243909766e-05
ln_salario_real_adm,4,11,-19,-12,0.0005913038679794995
ln_salario_real_adm,4,12,-19,-11,0.00011559568404137475
ln_salario_real_adm,4,13,-19,-10,7.688892288134152e-05
ln_salario_real_adm,4,14,-19,-9,0.00012109342833527697
ln_salario_real_adm,4,15,-19,-8,6.701667022146142e-05
ln_salario_real_adm,4,16,-19,-7,0.00010396421641163613
ln_salario_real_adm,4,17,-19,-6,0.00015222590408137067
ln_salario_real_adm,4,18,-19,-5,0.00017544817320128345
ln_salario_real_adm,4,19,-19,-4,0.00018715033281319218
ln_salario_real_adm,4,20,-19,-3,5.691043845874882e-06
ln_salario_real_adm,4,21,-19,-2,6.75678844582191e-05
ln_salario_real_adm,4,22,-19,0,6.96518214028772e-05
ln_salario_real_adm,4,23,-19,1,9.560187637796389e-05
ln_salario_real_adm,4,24,-19,2,0.0001813056417548237
ln_salario_real_adm,4,25,-19,3,-1.6970858743011506e-05
ln_salario_real_adm,4,26,-19,4,0.00012323383601870052
ln_salario_real_adm,4,27,-19,5,0.000130813456347819
ln_salario_real_adm,4,28,-19,6,0.00012760969212326028
ln_salario_real_adm,4,29,-19,7,2.3265431115675147e-05
ln_salario_real_adm,4,30,-19,8,0.0001234110470126794
ln_salario_real_adm,4,31,-19,9,7.109461689603218e-05
ln_salario_real_adm,4,32,-19,10,2.2349019912980775e-05
ln_salario_real_adm,4,33,-19,11,6.43715560571501e-05
ln_salario_real_adm,4,34,-19,12,-3.210264507050204e-05
ln_salario_real_adm,4,35,-19,13,5.4293551046692295e-05
ln_salario_real_adm,4,36,-19,14,1.487819262382587e-05
ln_salario_real_adm,4,37,-19,15,5.2962051752721214e-05
ln_salario_real_adm,4,38,-19,16,6.680216916503552e-05
