model_id,outcome,estimator,term,event_time,coefficient,standard_error,is_reference,n_obs,minimum_clusters,sample_id,status,reference_event_time
group_pretrend::B::age_pnad::age_45_54::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[19]:treatment",19,0.0012486369966059738,0.03242114131338712,False,15478,339,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[20]:treatment",20,-0.018627546907551716,0.03355566776675424,False,15478,339,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[21]:treatment",21,0.019096874720001634,0.02889635433454732,False,15478,339,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[22]:treatment",22,0.02266224950563819,0.026795877313953543,False,15478,339,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::ln_salario_real_adm,ln_salario_real_adm,ols,"C(event_time, contr.treatment(base=-1))[23]:treatment",23,-0.06415740497987203,0.04442532173923968,False,15478,339,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-23]:treatment",-23,0.0064325582684420166,0.05109135219651249,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-22]:treatment",-22,-0.05655507563949553,0.05589284268856421,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-21]:treatment",-21,-0.05336620529580921,0.05558105595521296,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-20]:treatment",-20,-0.0504908377652109,0.06212404406869871,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-19]:treatment",-19,-0.08986594509591372,0.0607643243502225,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-18]:treatment",-18,-0.04398624033125327,0.05173655706549558,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-17]:treatment",-17,-0.038633539857092156,0.04859470004286477,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-16]:treatment",-16,-0.06454378925688248,0.04549838770390073,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-15]:treatment",-15,-0.028753091591598334,0.050826334115561735,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-14]:treatment",-14,-0.012673306705272919,0.03384237898393083,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-13]:treatment",-13,-0.010235028799313968,0.021301566367876803,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-12]:treatment",-12,0.02209632974447539,0.03111338088487343,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-11]:treatment",-11,0.008218872438241386,0.03826443986466761,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-10]:treatment",-10,-0.03345149927926064,0.04660784450252191,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-9]:treatment",-9,-0.03247341126266806,0.05049126222717609,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-8]:treatment",-8,0.0013622456312793027,0.0419306505256053,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-7]:treatment",-7,-0.04312736797708221,0.03838155092424529,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-6]:treatment",-6,-0.03477498515288678,0.03829268917836805,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-5]:treatment",-5,-0.03986673492997297,0.03630377217572658,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-4]:treatment",-4,-0.03760400437172264,0.034847522548497614,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-3]:treatment",-3,-0.009204768114516893,0.02832526903457682,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[-2]:treatment",-2,-0.011292373205632603,0.016632850751508804,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,reference_event_time,-1,0.0,0.0,True,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[0]:treatment",0,-0.038039838504417604,0.032304488001489,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[1]:treatment",1,-0.03225462132702509,0.03243025705868947,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[2]:treatment",2,-0.05986956518897881,0.037416453847253825,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[3]:treatment",3,-0.07633160029290939,0.031064377082403644,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[4]:treatment",4,-0.07214488077451524,0.028752249172372315,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[5]:treatment",5,-0.10517388178105035,0.02551780938212436,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[6]:treatment",6,-0.06528538336412743,0.0269241893849374,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[7]:treatment",7,-0.05822556767775708,0.021874890378843225,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[8]:treatment",8,-0.06518397931099425,0.02519960482539898,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[9]:treatment",9,-0.06518616194119264,0.02241094918908196,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[10]:treatment",10,-0.01790391799412576,0.021146642748943914,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[11]:treatment",11,-0.01346707374370418,0.02527650614054664,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[12]:treatment",12,-0.02137570120197145,0.04228364846491375,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[13]:treatment",13,-0.009533148437220732,0.03216762549212151,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[14]:treatment",14,-0.07106010169866743,0.03469908423478744,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[15]:treatment",15,-0.053075006296612215,0.026555504048147677,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[16]:treatment",16,-0.05022337497220522,0.02603469945252132,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
group_pretrend::B::age_pnad::age_45_54::n_movimentacoes,n_movimentacoes,ppml,"C(event_time, contr.treatment(base=-1))[17]:treatment",17,-0.059255243122522935,0.025415108124799295,False,15935,341,family_B_target:age_pnad:age_45_54,estimated,-1
