family,specification_id,specification_label,outcome,estimator,event_window,joint_lead_window,joint_lead_count,joint_lead_p_value,lead_covariance_positive_semidefinite,linear_pretrend_coefficient,linear_pretrend_p_value,dynamic_pre_coefficients,dynamic_pre_p_lt_005,pretrend_status,n_obs,minimum_clusters
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",n_movimentacoes,ppml,-23_to_41,-23_to_-2,22,4.3658800762108164e-43,True,-0.0025985156449909,0.0010642247784167,22,1,fail,22049,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",n_movimentacoes,ppml,-23_to_41,-11_to_-2,10,3.215780974738297e-06,True,-0.0041173458823487,0.0201435379253385,10,0,fail,22049,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,0.0001580097966667,True,-0.0005836785346436,0.2207980597002192,22,11,fail,15907,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",ln_salario_real_adm,ols,-23_to_23,-11_to_-2,10,0.009854948644886,True,-0.0024363439010196,0.0306511059778902,10,3,fail,15907,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",ln_salario_real_adm,ols,-23_to_41,-23_to_-2,22,0.0001737786705321,True,-0.0005705225014138,0.2313021045988557,22,11,fail,22012,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",ln_salario_real_adm,ols,-23_to_41,-11_to_-2,10,0.0101149859370204,True,-0.0024545274569601,0.0295098331745198,10,3,fail,22012,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",asinh_saldo,ols,-23_to_23,-23_to_-2,22,1.4831703467492206e-06,True,0.0021252506543727,0.9198287047287516,22,21,fail,15935,341.0
power,balanced_frozen_window,"Full sample, frozen balanced window -23 to +23",asinh_saldo,ols,-23_to_23,-11_to_-2,10,1.2202293291830776e-05,True,0.1819282356937856,0.0017845357806132,10,10,fail,15935,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",asinh_saldo,ols,-23_to_41,-23_to_-2,22,1.4766094498307736e-06,True,0.0021131963638014,0.9202835780993852,22,21,fail,22049,341.0
power,extended_full_sample,"Full sample, diagnostic window -23 to +41",asinh_saldo,ols,-23_to_41,-11_to_-2,10,1.2266431317502202e-05,True,0.1819338243001135,0.0017842514825916,10,10,fail,22049,341.0
sample,sample_2022_01,"Sample starts January 2022, window -11 to +41",admissoes,ppml,-11_to_41,-11_to_-2,10,1.733250651095537e-06,True,-0.0023953772453733,0.3443377085615111,10,2,fail,17976,341.0
sample,sample_2022_01,"Sample starts January 2022, window -11 to +41",desligamentos,ppml,-11_to_41,-11_to_-2,10,0.0001440235071229,True,-0.0091621315835482,6.668609743742948e-05,10,9,fail,17976,341.0
sample,sample_2022_01,"Sample starts January 2022, window -11 to +41",n_movimentacoes,ppml,-11_to_41,-11_to_-2,10,3.214508873221156e-06,True,-0.0041173530501916,0.0201421440647953,10,0,fail,17976,341.0
sample,sample_2022_01,"Sample starts January 2022, window -11 to +41",ln_salario_real_adm,ols,-11_to_41,-11_to_-2,10,0.010164419787217,True,-0.0024521305615601,0.0297223789431309,10,3,fail,17947,341.0
sample,sample_2022_01,"Sample starts January 2022, window -11 to +41",asinh_saldo,ols,-11_to_41,-11_to_-2,10,1.2371940561575716e-05,True,0.1819392559660173,0.0017834620467056,10,10,fail,17976,341.0
ladder,04_include_minimal_as_control,Minimal Exposure included as control,admissoes,ppml,-23_to_23,-23_to_-2,22,2.5532089297453838e-17,True,0.0002810667224562,0.757017014096893,22,1,fail,20294,436.0
ladder,04_include_minimal_as_control,Minimal Exposure included as control,desligamentos,ppml,-23_to_23,-23_to_-2,22,1.2922871132873406e-15,True,0.0007151197764131,0.337992072759482,22,10,fail,20294,436.0
ladder,04_include_minimal_as_control,Minimal Exposure included as control,n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,1.1962745932318867e-27,True,-0.001161624545193,0.0754501243670906,22,0,fail,20294,436.0
ladder,04_include_minimal_as_control,Minimal Exposure included as control,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,0.0020302001866489,True,-0.0005426472172272,0.2523823076510751,22,9,fail,20238,436.0
ladder,04_include_minimal_as_control,Minimal Exposure included as control,asinh_saldo,ols,-23_to_23,-23_to_-2,22,5.762341318985313e-07,True,-0.0107934129494966,0.5958772654787712,22,21,fail,20294,436.0
ladder,05_continuous_exposure,Standardized continuous exposure,admissoes,ppml,-23_to_23,-23_to_-2,22,5.063622842212538e-42,True,-0.0015158840032106,6.660997398100221e-08,22,1,fail,20294,436.0
ladder,05_continuous_exposure,Standardized continuous exposure,desligamentos,ppml,-23_to_23,-23_to_-2,22,1.1833950328931106e-32,True,0.0014567718804219,7.597278361970439e-11,22,12,fail,20294,436.0
ladder,05_continuous_exposure,Standardized continuous exposure,n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,1.2212094875509911e-46,True,-0.0014636294325868,7.154636882944486e-10,22,1,fail,20294,436.0
ladder,05_continuous_exposure,Standardized continuous exposure,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,1.951491342462651e-05,True,-0.00030944311099,0.0752978796077961,22,9,fail,20238,436.0
ladder,05_continuous_exposure,Standardized continuous exposure,asinh_saldo,ols,-23_to_23,-23_to_-2,22,3.1616468086470616e-08,True,0.0030952881491433,0.7018029333678251,22,21,fail,20294,436.0
sector,level_2,CBO4 x CNAE section and section x month effects,admissoes,ppml,-23_to_23,-23_to_-2,22,4.1985178127353906e-21,True,-0.0017310579142691,0.0161003295637613,22,1,fail,581324,341.0
sector,level_2,CBO4 x CNAE section and section x month effects,desligamentos,ppml,-23_to_23,-23_to_-2,22,1.9924158780329737e-07,True,-0.0005556412108063,0.3647307679408795,22,3,fail,581433,341.0
sector,level_2,CBO4 x CNAE section and section x month effects,n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,5.1881318872491305e-14,True,-0.0004044513058083,0.5275623959079352,22,0,fail,581507,341.0
sector,level_2,CBO4 x CNAE section and section x month effects,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,5.510762032820478e-05,True,-0.000454855944858,0.0922487116753698,22,14,fail,493494,341.0
sector,level_2,CBO4 x CNAE section and section x month effects,asinh_saldo,ols,-23_to_23,-23_to_-2,22,6.297947444126987e-13,True,-0.0004791806147509,0.8100567411204378,22,18,fail,581507,341.0
sector,level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,admissoes,ppml,-23_to_23,-23_to_-2,22,0.2694527200012108,False,-0.0038559569299204,8.37274339238192e-06,22,1,fail,581324,87.0
sector,level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,desligamentos,ppml,-23_to_23,-23_to_-2,22,0.5554486461201393,False,-0.0041091130165009,3.8823119084430147e-05,22,3,fail,581433,87.0
sector,level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,n_movimentacoes,ppml,-23_to_23,-23_to_-2,22,8.194272063346928e-74,False,-0.0021031285478741,0.0,22,0,fail,581507,87.0
sector,level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,8.408033115631099e-19,True,-0.0016281210366551,2.1669332994633805e-12,22,13,fail,493494,87.0
sector,level_2_two_way,Level 2 with CBO4 and CNAE-division two-way clustering,asinh_saldo,ols,-23_to_23,-23_to_-2,22,1.0752433874898739e-10,True,0.0089128899596685,0.0002952355436434,22,15,fail,581507,87.0
coverage,wage_complete_coverage,"Real admission wage, CBOs with a valid wage in every month",ln_salario_real_adm,ols,-23_to_23,-23_to_-2,22,6.839444871467333e-07,True,-0.0003607313526421,0.4487626735829171,22,12,fail,15651,333.0
