path,component,role,source_id,bytes,schema,encoding,sha256
derived/pnadc/contracts/painel_pnadc_cod3_support.json,pnadc,analytical_input,pnadc_quarterly,1230,"{""top_level_keys"":[""arm_b_2025q3_weighted_employment"",""bytes"",""cells"",""cod3"",""duplicate_cells"",""excluded_transition_period"",""formal_informal_identity_violations"",""groups"",""individual_panel_sha256"",""maximum_formal_informal_identity_difference"",""negative_count_cells"",""no_cod4_columns"",""panel"",""quarters"",""section3_anchor_population"",""section3_anchor_population_match_1e_6"",""section3_anchor_rows"",""section3_anchor_rows_match"",""sha256"",""status"",""treatment_coefficients_computed""]}",utf-8,600741853c521c8d043defe163bfa73d04cbeff054d730c87107b89fcbe977e1
derived/pnadc/contracts/painel_pnadc_individual_support.json,pnadc,analytical_input,pnadc_quarterly,857,"{""top_level_keys"":[""bytes"",""cod3"",""excluded_minimal_exposure_rows"",""excluded_sem_classificacao_rows"",""excluded_transition_period"",""first_period"",""formal_informal_complement_violations"",""groups"",""invalid_income_log_violations"",""last_period"",""no_cod4_columns"",""panel"",""quarters"",""rows"",""sha256"",""status"",""treatment_coefficients_computed"",""weighted_population""]}",utf-8,510b08c42e5e294741051aadc0f2e250fd3433f9b4aba414a8f59ff5bd1d984b
derived/pnadc/contracts/pnadc_part1_status.json,pnadc,analytical_input,pnadc_quarterly,1128,"{""top_level_keys"":[""gate"",""gate_status"",""individual_panel"",""no_cod4_cells_or_columns"",""part2_started"",""section3_anchor"",""stock_panel"",""treatment_coefficients_computed"",""weighted_estimator""]}",utf-8,caf79b1e2e9eb79e81b294677f9dabccf6e0b07262acb1afd8030e2d121f74ba
derived/pnadc/contracts/pnadc_support.csv,pnadc,analytical_input,pnadc_quarterly,515,"[""arm"",""group"",""cod3_clusters"",""observed_cod3_quarter_cells"",""expected_cod3_quarter_cells"",""missing_cod3_quarter_cells"",""minimum_observations_observed_cell"",""p10_observations_observed_cell"",""median_observations_observed_cell"",""minimum_observations_complete_grid"",""support_status""]",utf-8-sig,a756147f946357e584e2e839c02378d1710604ff5c13b435606b57a2a97ca8db
derived/pnadc/contracts/pnadc_support_status.json,pnadc,analytical_input,pnadc_quarterly,407,"{""top_level_keys"":[""arm_a_control_cod3"",""arm_a_support_status"",""arm_a_treated_cod3"",""arm_b_control_cod3"",""arm_b_support_status"",""arm_b_treated_cod3"",""both_arms_thin"",""cod3_control"",""cod3_intermediate"",""cod3_treated"",""published_at"",""status"",""treatment_coefficients_computed""]}",utf-8,a534287853958c868d1c748c6ae86c237f5375bd061323b952a176a04e929dbe
derived/pnadc/contracts/pnadc_treatment_cod3.csv,pnadc,analytical_input,pnadc_quarterly,7266,"[""cod3"",""total_employment_weight"",""exposed_employment_weight"",""exposed_employment_share"",""pre_observations"",""exact_cod4_count"",""treatment_status"",""treated_cod3""]",utf-8-sig,f97a3c5471fc4579c0f9ccc20b5382c3061c8b15290ec635cac265567ccdeb83
derived/pnadc/painel_pnadc_cod3.parquet,pnadc,analytical_input,pnadc_quarterly,165918,"[{""name"":""ano"",""type"":""int16""},{""name"":""trimestre"",""type"":""int16""},{""name"":""periodo"",""type"":""string""},{""name"":""trimestre_num"",""type"":""int16""},{""name"":""cod3"",""type"":""string""},{""name"":""ocupados_total"",""type"":""double""},{""name"":""ocupados_formais"",""type"":""double""},{""name"":""ocupados_informais"",""type"":""double""},{""name"":""treatment_status"",""type"":""string""},{""name"":""treated"",""type"":""int8""},{""name"":""post"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""}]",binary,80f0a77563c5f8447dd6a690b2cd226e525c8e9302c705992622040bb8959bee
derived/pnadc/painel_pnadc_individual.parquet,pnadc,analytical_input,pnadc_quarterly,128831927,"[{""name"":""ano"",""type"":""int16""},{""name"":""trimestre"",""type"":""int16""},{""name"":""periodo"",""type"":""string""},{""name"":""trimestre_num"",""type"":""int16""},{""name"":""sigla_uf"",""type"":""string""},{""name"":""sexo"",""type"":""string""},{""name"":""idade"",""type"":""int16""},{""name"":""raca_cor"",""type"":""string""},{""name"":""nivel_instrucao"",""type"":""string""},{""name"":""grupamento_atividade"",""type"":""string""},{""name"":""posicao_ocupacao"",""type"":""string""},{""name"":""rendimento_habitual"",""type"":""double""},{""name"":""horas_habituais"",""type"":""double""},{""name"":""peso"",""type"":""double""},{""name"":""cod3"",""type"":""string""},{""name"":""exposure_gradient"",""type"":""string""},{""name"":""treated"",""type"":""int8""},{""name"":""post"",""type"":""int8""},{""name"":""post_treat"",""type"":""int8""},{""name"":""formal"",""type"":""int8""},{""name"":""informal"",""type"":""int8""},{""name"":""conta_propria"",""type"":""int8""},{""name"":""ln_renda"",""type"":""double""}]",binary,966b1824f31d0a6971b6fcf16ae967b7dc8879cd0220baa45f0c0de777605b5c
derived/pnadc/pnadc_cross_replication_input.csv,pnadc,analytical_input,pnadc_quarterly,3385140,"[""model_id"",""outcome"",""arm"",""cod3"",""trimestre_num"",""post_treat"",""outcome_value"",""regression_weight"",""source_observations"",""original_n""]",utf-8-sig,5f74cf3f29f5ea460eb5bba16917772daf484c13c23567fb51679beabf87bae9
derived/pnadc/vintage/manifest.json,pnadc,analytical_input,pnadc_quarterly,65354,"{""top_level_keys"":[""billing_project"",""entries"",""expected_quarters"",""ftp_assets"",""route"",""source"",""status""]}",utf-8,07542c9114c6b6ae7cfacbf1314d3721596c22277443cdbc849b168181aa3bc5
