dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
race_color,micro,race_pardo,Pardo,desligamentos,ppml,-0.0699610107985406,0.0398578549505345,0.0801149387379243,15935,341,fail,1.855234054671207e-12,fail,0.1119864397931419,estimated,,A,-0.1483600457205418,0.008438024123460605,340.0,adequate,75,266,0.17073675468737967,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_pardo,Pardo,n_movimentacoes,ppml,-0.0680462682562986,0.0409680383903144,0.0976433174371735,15935,341,fail,3.729156633397686e-37,fail,0.1151056616151027,estimated,,A,-0.1486289959629002,0.012536459450303003,340.0,adequate,75,266,0.19833798854425866,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_pardo,Pardo,ln_salario_real_adm,ols,-0.0502318125328753,0.0098198861695018,5.252497281560409e-07,15804,340,fail,0.1461452250170132,pass,0.0275906324775114,estimated,,A,-0.06954739567527983,-0.030916229390470774,339.0,adequate,75,266,4.0126470358115014e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_pardo,Pardo,asinh_saldo,ols,-0.2841313674912235,0.2589533936220544,0.2733174507596374,15935,341,fail,8.703855033483939e-12,fail,0.7275672175553716,estimated,,A,-0.7934838194719319,0.22522108448948497,340.0,adequate,75,266,0.3820566515994932,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,admissoes,ppml,-0.3479127990737032,0.0804936143954778,2.035816685785896e-05,15832,338,fail,4.765263456184751e-19,fail,0.2261643096842041,estimated,,A,-0.5062460153248599,-0.18957958282254647,337.0,adequate,75,264,0.0002646561691521665,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,desligamentos,ppml,-0.2721935043838631,0.0556464655547244,1.5529454404639154e-06,15832,338,fail,2.5304837823980033e-13,fail,0.1563508430211222,estimated,,A,-0.38165167607187356,-0.16273533269585258,337.0,adequate,75,264,4.03765814520618e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,n_movimentacoes,ppml,-0.3119609243225744,0.067646706766867,5.676043763003236e-06,15879,339,fail,9.216129271956469e-14,fail,0.1900664968601642,estimated,,A,-0.4450224910755657,-0.1788993575695831,338.0,adequate,75,264,9.223571114880258e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,ln_salario_real_adm,ols,-0.0706451573513059,0.0172946237678463,5.5386157252756973e-05,11300,332,fail,0.0300772873741298,warning,0.0485955632975939,estimated,,A,-0.10466639409293654,-0.03662392060967526,331.0,adequate,75,264,0.0004800133628572271,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_yellow,Yellow,asinh_saldo,ols,-0.1612228455417618,0.0977403376249744,0.099968448266309,15935,341,fail,1.980914730105203e-06,fail,0.2746156923995173,estimated,,A,-0.35347474048840133,0.031029049404877745,340.0,adequate,75,264,0.199936896532618,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_indigenous,Indigenous,admissoes,ppml,-0.1105076252535524,0.0890171888276151,0.215363069488393,15040,320,fail,3.7257916893353386e-21,fail,0.2501541319561643,estimated,,A,-0.28564256947525185,0.06462731896814705,319.0,adequate,73,259,0.30766152784056144,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
