outcome,estimator,event_time,periodo,is_reference,coefficient,standard_error,ci_low,ci_high,p_value,cluster_df,n_obs,n_clusters,effect_percent
admissoes,ppml,-7,2022-05,False,-0.12238159909434475,0.06035648749892312,-0.24110074183471308,-0.0036624563539763982,0.04337593098644721,340,15935,341,-11.518933887464156
admissoes,ppml,-6,2022-06,False,-0.11443276856608744,0.06317874959980499,-0.2387032041515092,0.009837667019334306,0.07098388299323166,340,15935,341,-10.812810177090515
admissoes,ppml,-5,2022-07,False,-0.12593469769164595,0.06380064595822613,-0.25142838210423696,-0.0004410132790549359,0.04920480466564081,340,15935,341,-11.832757985219345
admissoes,ppml,-4,2022-08,False,-0.121950625368597,0.06844886560585996,-0.2565871985526042,0.012685947815410215,0.07570190409429123,340,15935,341,-11.4807926543992
admissoes,ppml,-3,2022-09,False,-0.09271368351750009,0.060570793030531256,-0.21185435789516743,0.026426990860167254,0.12678169219611446,340,15935,341,-8.854557263389996
admissoes,ppml,-2,2022-10,False,-0.0721745094504187,0.03864954555348813,-0.14819684119225163,0.0038478222914142407,0.0627047555062128,340,15935,341,-6.963147645586029
admissoes,ppml,-1,2022-11,True,0.0,,,,,340,15935,341,0.0
admissoes,ppml,0,2022-12,False,0.017415982688661815,0.04144414949418883,-0.0641032392448802,0.09893520462220384,0.6745845152350545,340,15935,341,1.756852518761102
admissoes,ppml,1,2023-01,False,-0.144096246461482,0.06875595977583852,-0.27933686335497565,-0.008855629567988382,0.03684220265070115,340,15935,341,-13.419558656219074
admissoes,ppml,2,2023-02,False,-0.17543629803127261,0.07621509109754752,-0.3253487706406397,-0.025523825421905483,0.021947141374960566,340,15935,341,-16.09091527900821
admissoes,ppml,3,2023-03,False,-0.1557928399233193,0.05963280379659875,-0.27308852161889674,-0.03849715822774183,0.009386203052555553,340,15935,341,-14.426355356194309
admissoes,ppml,4,2023-04,False,-0.1301808127156007,0.052650927404011116,-0.23374338278731158,-0.026618242643889817,0.013904834791015563,340,15935,341,-12.206332554583357
admissoes,ppml,5,2023-05,False,-0.18911102462003082,0.05097893024024499,-0.2893848335631193,-0.08883721567694233,0.00024239202661902048,340,15935,341,-17.23053928859864
admissoes,ppml,6,2023-06,False,-0.15357672283227836,0.052314269772900136,-0.2564770988794743,-0.05067634678508244,0.0035550050233632557,340,15935,341,-14.236503850873145
admissoes,ppml,7,2023-07,False,-0.145196387857784,0.05071144500715088,-0.2449440625130015,-0.04544871320256651,0.004454224967814557,340,15935,341,-13.514757008425772
admissoes,ppml,8,2023-08,False,-0.15181006422307586,0.05394539171786269,-0.25791880124413413,-0.04570132720201757,0.005175424783195215,340,15935,341,-14.084855115716566
admissoes,ppml,9,2023-09,False,-0.15419108570008477,0.04750970831879991,-0.2476410539997395,-0.06074111740043005,0.001289164746469229,340,15935,341,-14.28917757627316
admissoes,ppml,10,2023-10,False,-0.11260153179868114,0.0362480134764574,-0.18390013223567842,-0.04130293136168385,0.0020530535260454563,340,15935,341,-10.649337683167259
admissoes,ppml,11,2023-11,False,-0.03624977374106958,0.014301054749948187,-0.06437945839555206,-0.008120089086587092,0.011700294209632256,340,15935,341,-3.5600618243802575
admissoes,ppml,12,2023-12,False,0.02997870809663681,0.0388480960943892,-0.04643416575563344,0.10639158194890705,0.44083374234729433,340,15935,341,3.0432593848733878
admissoes,ppml,13,2024-01,False,-0.1522483266967603,0.06709499971663728,-0.2842218920681142,-0.0202747613254064,0.02388557475122255,340,15935,341,-14.12250024981316
admissoes,ppml,14,2024-02,False,-0.1841415128505891,0.064166063599517,-0.310353961242231,-0.057929064458947216,0.0043647993098558935,340,15935,341,-16.81819174507017
admissoes,ppml,15,2024-03,False,-0.13437431704633648,0.057345463020519856,-0.24717087781318164,-0.021577756279491322,0.01969277051569751,340,15935,341,-12.5737248103219
admissoes,ppml,16,2024-04,False,-0.15096623421534544,0.05171005797676395,-0.25267814636340896,-0.04925432206728192,0.0037400335199913037,340,15935,341,-14.012326741839203
admissoes,ppml,17,2024-05,False,-0.17464533402559496,0.04404778530937885,-0.2612858183916633,-0.08800484965952662,8.953966727909268e-05,340,15935,341,-16.024519958551778
admissoes,ppml,18,2024-06,False,-0.17181229485524918,0.043974837227200345,-0.2583092928433049,-0.08531529686719348,0.00011273431298208791,340,15935,341,-15.786276817517592
admissoes,ppml,19,2024-07,False,-0.14592225916492066,0.05154747367742968,-0.24731437356729274,-0.04453014476254856,0.004918903756737647,340,15935,341,-13.577511386247584
admissoes,ppml,20,2024-08,False,-0.14329325390623765,0.05295783851625958,-0.24745950761915247,-0.039127000193322825,0.007157517078798525,340,15935,341,-13.350007285511017
admissoes,ppml,21,2024-09,False,-0.12465178188455871,0.05615865439096436,-0.23511393074414677,-0.014189633024970644,0.027102795990695094,340,15935,341,-11.719574249693428
admissoes,ppml,22,2024-10,False,-0.134113622298025,0.03648122483006048,-0.20587094147636015,-0.062356303119689885,0.00027497256387376545,340,15935,341,-12.550930268435934
admissoes,ppml,23,2024-11,False,-0.03790880094753168,0.026872980676941636,-0.09076703311191858,0.014949431216855234,0.15925737580193755,340,15935,341,-3.719925659710012
asinh_saldo,ols,-23,2021-01,False,-3.7991122077197197,0.8885862941396223,-5.546931000073714,-2.051293415365725,2.4810315053969134e-05,340,15935,341,
asinh_saldo,ols,-22,2021-02,False,-3.6445982181470447,0.8051832406387125,-5.228366062146336,-2.060830374147753,8.307314820710232e-06,340,15935,341,
asinh_saldo,ols,-21,2021-03,False,-3.7442972444307094,0.8755913338240551,-5.466555395128133,-2.0220390937332855,2.472063514113998e-05,340,15935,341,
asinh_saldo,ols,-20,2021-04,False,-3.113697273281737,0.8591647888179174,-4.803644972822613,-1.423749573740861,0.00033427098501581654,340,15935,341,
asinh_saldo,ols,-19,2021-05,False,-2.5544000823675725,0.7831086055646848,-4.094747875583726,-1.0140522891514183,0.0012189696177926646,340,15935,341,
asinh_saldo,ols,-18,2021-06,False,-2.5903844158427343,0.7661819739173212,-4.097438104614974,-1.0833307270704948,0.0008065638784819917,340,15935,341,
asinh_saldo,ols,-17,2021-07,False,-2.5509071373208863,0.7360911787223622,-3.9987732630331436,-1.1030410116086289,0.0005970979679050803,340,15935,341,
asinh_saldo,ols,-16,2021-08,False,-2.440945977084806,0.7291685697100295,-3.8751955680793078,-1.0066963860903047,0.0009065200936388962,340,15935,341,
asinh_saldo,ols,-15,2021-09,False,-2.381151403132388,0.7137774169760496,-3.7851271240910167,-0.9771756821737592,0.0009438996134119026,340,15935,341,
asinh_saldo,ols,-14,2021-10,False,-1.8025744371943406,0.6709120218473184,-3.1222353947565584,-0.48291347963212283,0.007569502154895602,340,15935,341,
asinh_saldo,ols,-13,2021-11,False,-0.47694740534392055,0.7147577031573468,-1.882851315630762,0.928956504942921,0.5050424524143047,340,15935,341,
asinh_saldo,ols,-12,2021-12,False,-1.9863119543309087,0.7997837010999613,-3.5594590890776168,-0.4131648195842006,0.013488946230962195,340,15935,341,
asinh_saldo,ols,-11,2022-01,False,-4.048694954338594,0.900615776869664,-5.820175327021399,-2.277214581655789,9.533166159370055e-06,340,15935,341,
asinh_saldo,ols,-10,2022-02,False,-3.187780509527805,0.8213507641117402,-4.803349318203626,-1.572211700851984,0.00012487806148486769,340,15935,341,
asinh_saldo,ols,-9,2022-03,False,-2.6449762223544004,0.8436650805227479,-4.304436526790299,-0.9855159179185018,0.0018676460481654722,340,15935,341,
asinh_saldo,ols,-8,2022-04,False,-2.596241627445675,0.731684279400665,-4.035439533198573,-1.1570437216927771,0.00044220160090535643,340,15935,341,
asinh_saldo,ols,-7,2022-05,False,-3.542524374344382,0.7116916953873326,-4.942397552407154,-2.1426511962816095,1.0250483255536125e-06,340,15935,341,
asinh_saldo,ols,-6,2022-06,False,-3.194783040662955,0.7121572301428928,-4.5955719096379415,-1.7939941716879682,9.939116383472779e-06,340,15935,341,
asinh_saldo,ols,-5,2022-07,False,-3.6468939661616564,0.747757201048922,-5.1177067580433775,-2.1760811742799357,1.6562724496349546e-06,340,15935,341,
asinh_saldo,ols,-4,2022-08,False,-3.1987107068439675,0.7796729513306472,-4.732300685907591,-1.665120727780344,5.117231687767898e-05,340,15935,341,
asinh_saldo,ols,-3,2022-09,False,-3.4475083793406895,0.7877367361934309,-4.996959546916476,-1.8980572117649028,1.6069678245411723e-05,340,15935,341,
asinh_saldo,ols,-2,2022-10,False,-1.782208583884009,0.6530401065887419,-3.06671609653006,-0.4977010712379579,0.006681149792707064,340,15935,341,
asinh_saldo,ols,-1,2022-11,True,0.0,,,,,340,15935,341,
asinh_saldo,ols,0,2022-12,False,-3.3022269610504402,0.749443660469363,-4.7763569608241,-1.8280969612767801,1.4117189943263497e-05,340,15935,341,
asinh_saldo,ols,1,2023-01,False,-3.8351133554209453,0.8055050128615511,-5.419514114356742,-2.2507125964851484,2.8535395766304816e-06,340,15935,341,
asinh_saldo,ols,2,2023-02,False,-5.794436833403477,0.8535797923586869,-7.473399036284037,-4.115474630522917,5.062594787830221e-11,340,15935,341,
asinh_saldo,ols,3,2023-03,False,-4.441951430607981,0.9028593735205307,-6.217844881024158,-2.6660579801918036,1.3517057857459491e-06,340,15935,341,
asinh_saldo,ols,4,2023-04,False,-3.1822484695097377,0.8341218244370533,-4.822937516233436,-1.5415594227860392,0.0001616757215570086,340,15935,341,
asinh_saldo,ols,5,2023-05,False,-4.131491666327508,0.8781409050575839,-5.858764736277903,-2.4042185963771137,3.702087292722922e-06,340,15935,341,
asinh_saldo,ols,6,2023-06,False,-3.066875536963901,0.9101366996708613,-4.85708323855357,-1.276667835374232,0.0008389888354973785,340,15935,341,
asinh_saldo,ols,7,2023-07,False,-3.765642581197326,0.8466381973991997,-5.430950904652647,-2.1003342577420043,1.1769397202598952e-05,340,15935,341,
asinh_saldo,ols,8,2023-08,False,-3.1116934877968094,0.8702263819172738,-4.823398961928557,-1.3999880136650613,0.00039984821411498395,340,15935,341,
asinh_saldo,ols,9,2023-09,False,-3.4969682101685144,0.9016003070391211,-5.270385119958818,-1.7235513003782106,0.00012612298181946535,340,15935,341,
asinh_saldo,ols,10,2023-10,False,-2.154189478853095,0.8183158078288956,-3.7637886325161016,-0.5445903251900885,0.008863423576615403,340,15935,341,
asinh_saldo,ols,11,2023-11,False,-1.178395048181425,0.7977500138606346,-2.747541989814523,0.3907518934516727,0.1405615409593839,340,15935,341,
asinh_saldo,ols,12,2023-12,False,-2.7973289336324196,0.8163672537934595,-4.403095348276702,-1.1915625189881371,0.0006862229968507272,340,15935,341,
asinh_saldo,ols,13,2024-01,False,-3.4105899992318793,0.9365204107022304,-5.252693556358364,-1.5684864421053948,0.0003129441003570932,340,15935,341,
asinh_saldo,ols,14,2024-02,False,-4.636440842843333,0.9316135684795179,-6.46889280945516,-2.8039888762315064,1.0291289918029634e-06,340,15935,341,
asinh_saldo,ols,15,2024-03,False,-3.703974530616661,0.8874677323276235,-5.449593150214993,-1.958355911018329,3.8117418485361654e-05,340,15935,341,
asinh_saldo,ols,16,2024-04,False,-2.7425855218324986,0.8888491948825563,-4.490921430939311,-0.9942496127256866,0.0021984819265556954,340,15935,341,
asinh_saldo,ols,17,2024-05,False,-2.635517423050402,0.8745684291576818,-4.35576355531983,-0.9152712907809744,0.0027763384299488436,340,15935,341,
asinh_saldo,ols,18,2024-06,False,-3.493282031707464,0.8456485110420687,-5.156643676010813,-1.8299203874041146,4.553502884863114e-05,340,15935,341,
asinh_saldo,ols,19,2024-07,False,-3.4036916519670077,0.8470847034068394,-5.069878237439422,-1.7375050664945937,7.226455547071353e-05,340,15935,341,
asinh_saldo,ols,20,2024-08,False,-3.912904167307278,0.900843008409912,-5.684831496643455,-2.1409768379711007,1.8525762787824362e-05,340,15935,341,
asinh_saldo,ols,21,2024-09,False,-3.0989067351326436,0.8379511494284407,-4.747127932899093,-1.4506855373661944,0.0002530917106939867,340,15935,341,
asinh_saldo,ols,22,2024-10,False,-2.6345566234042668,0.8414238266813648,-4.2896084583327685,-0.9795047884757646,0.001892744148214387,340,15935,341,
