cbo_6d,year,positive_wage_records,wage_p01,wage_p99
720210,2023,345,1481.686,19000.0
720210,2024,480,1500.8145000000002,17925.509999999977
720210,2025,506,1700.008,16000.0
720210,2026,257,2100.0,15951.279999999995
720215,2021,1074,628.0,12018.149399999998
720215,2022,1212,1227.2888,13000.0
720215,2023,1153,1247.28,14948.000000000002
720215,2024,1327,104.0,14422.000000000002
720215,2025,1212,820.0,14721.860000000048
720215,2026,633,757.9839999999999,15339.999999999975
720220,2021,80,1198.95,7635.836199999945
720220,2022,57,1320.76,21847.999999999993
720220,2023,52,1320.76,6771.525100000001
720220,2024,41,1511.2559999999999,22624.400000000005
720220,2025,45,1510.7600000000002,12857.640000000012
720220,2026,16,1734.5,5678.2
730105,2021,2227,1100.0,13200.0
730105,2022,2372,1212.0,13500.0
730105,2023,2406,1320.5,15191.557999999963
730105,2024,2776,1499.0,14610.2625
730105,2025,2715,1531.77,14000.0
730105,2026,1023,1621.4,15000.0
740105,2021,217,1258.0,9157.04
740105,2022,171,1500.0,9959.000000000018
740105,2023,142,1457.9305,13795.000000000002
740105,2024,150,1444.3400000000001,13358.989499999994
740105,2025,135,1674.2,18197.99999999998
740105,2026,71,1791.878,13246.87
740110,2021,7,1265.28,8699.999999999998
740110,2022,6,1505.0,6900.0
740110,2023,4,1333.35,1996.85
740110,2024,4,2184.9446,4649.4618
740110,2025,4,2063.5,4358.9285
740110,2026,2,935.45,935.45
750105,2021,41,1144.6,3680.0000000000005
750105,2022,31,1230.963,17649.99999999999
750105,2023,41,1410.0,5923.600000000004
750105,2024,27,1536.4,4869.999999999999
750105,2025,41,1548.424,32140.00000000006
750105,2026,11,2014.286,5800.0
750205,2021,181,1260.0,8599.999999999995
750205,2022,198,1283.7559999999999,11563.5
750205,2023,97,1692.96,11964.799999999983
750205,2024,139,1559.44,14810.000000000004
750205,2025,124,1518.0,11589.049999999997
750205,2026,54,1821.87,12439.999999999998
760105,2021,652,1100.0,6543.997
760105,2022,550,1212.0,6199.17
760105,2023,424,1302.0,6500.0
760105,2024,471,1412.0,8388.616000000002
760105,2025,562,1518.0,7828.443599999996
760105,2026,236,1621.0,7470.124000000001
760110,2021,106,1100.0,447700.0
760110,2022,81,1295.2,9399.362000000008
760110,2023,71,1370.6000000000001,8790.762999999983
760110,2024,78,1648.6261000000002,10085.356200000018
760110,2025,88,1787.9519999999998,15000.0
760110,2026,50,1782.29,11549.999999999989
760115,2021,88,1161.37,5420.509999999996
760115,2022,66,1218.2,6236.402999999997
760115,2023,84,1344.8999999999999,7419.152000000005
760115,2024,90,1534.82,7101.963299999999
760115,2025,79,1648.3600000000001,6992.9566
760115,2026,30,1765.936,13121.880000000003
760120,2021,333,1100.0,8889.512000000004
760120,2022,253,1265.5968,9421.967999999992
760120,2023,229,1302.0,10471.85
760120,2024,300,1454.32,10224.517799999994
760120,2025,266,1518.0,13000.0
760120,2026,106,1613.1,16709.89000000003
760125,2021,2416,641.6,7422.779499999983
760125,2022,2086,1129.8095,8530.000000000018
760125,2023,1764,1129.859,10589.239999999929
760125,2024,2016,1407.75,9171.488499999987
760125,2025,2253,1297.7472,9071.2792
760125,2026,1095,1565.0,9003.589199999997
760205,2021,27,1421.8745999999999,7450.099999999997
760205,2022,29,722.296,8306.36
760205,2023,23,1844.0,9889.220000000001
760205,2024,26,1731.5,8938.7025
760205,2025,23,964.5532000000001,13494.188000000007
760205,2026,14,2929.4784,10432.123399999999
760305,2021,701,1063.8,5600.0
760305,2022,621,1212.0,7289.9879999999885
760305,2023,563,1302.0,7396.330199999999
760305,2024,509,1412.0,9420.000000000016
760305,2025,540,1518.0,10289.927000000003
760305,2026,244,1562.29,7126.999999999993
760310,2021,2484,1100.0,6000.0
760310,2022,2256,1212.0,7857.144499999999
760310,2023,2146,1302.0,6958.150000000017
760310,2024,2305,1412.0,7000.0
760310,2025,2248,1518.0,7000.0
760310,2026,1000,1621.0,7206.279999999994
760405,2021,2032,1100.0,6657.607500000007
760405,2022,2024,1212.2,7653.999999999996
760405,2023,1800,1320.0,7681.98
760405,2024,1865,1412.0,8193.299999999996
760405,2025,1605,1530.4,8500.0
760405,2026,739,1769.06,8507.037
760505,2021,661,1100.0,7500.0
760505,2022,612,1212.0,9000.0
760505,2023,540,1302.0,11720.000000000027
760505,2024,540,1412.0,12026.553300000001
760505,2025,631,1518.0,10114.800000000007
760505,2026,289,1621.0,13247.000000000002
760605,2021,710,1031.932,13000.0
760605,2022,638,606.0,11000.0
760605,2023,542,1302.0,15000.0
760605,2024,587,1412.0,18000.0
760605,2025,620,1518.0,16240.499999999996
760605,2026,287,1621.0,15139.999999999985
770105,2021,1689,1036.24,7001.579199999998
770105,2022,1519,1170.0,7071.339999999995
770105,2023,1502,1302.0,8806.176700000004
770105,2024,1550,1412.0,7622.211299999997
770105,2025,1637,1518.0,8523.108399999945
770105,2026,721,1621.0,8642.77599999999
770110,2021,745,1111.77,5494.719999999999
770110,2022,911,1238.26,6636.0
770110,2023,876,1593.25,7103.775
770110,2024,914,1702.34,7199.552100000001
770110,2025,898,1798.9983,7216.139099999998
770110,2026,450,1800.0,7327.965599999999
780105,2021,1039,694.53,8122.015999999978
780105,2022,866,1212.0,9369.250000000007
780105,2023,916,1302.0,9943.60000000001
780105,2024,983,1186.77,14089.999999999975
780105,2025,955,1518.0,11645.884200000024
780105,2026,504,1621.0,12000.0
810105,2021,152,1100.0,12245.000000000004
810105,2022,293,1384.224,13579.999999999984
810105,2023,247,1347.0,18500.0
810105,2024,204,1412.0,18871.0832
810105,2025,262,1518.0,19318.361599999986
810105,2026,136,1621.0,20734.900000000012
810110,2021,639,1100.0,13638.752200000003
810110,2022,665,1219.752,17260.92800000001
810110,2023,667,1302.0,19700.66
810110,2024,755,1412.0,16591.50000000002
810110,2025,678,1518.0,15088.550000000007
810110,2026,296,1621.0,15025.000000000005
810205,2021,1010,1100.0,10830.866899999988
810205,2022,954,1232.1399999999999,13203.14210000001
810205,2023,939,1416.0680000000002,11696.000000000004
810205,2024,1211,1420.2,12536.000000000004
810205,2025,1248,1557.0,14613.258999999998
810205,2026,573,1661.0,13707.259999999907
810305,2021,353,774.99,13953.40720000001
810305,2022,364,854.04,16040.47
810305,2023,380,1316.2199999999998,17001.932999999994
810305,2024,363,1697.5364,17856.6684
810305,2025,439,1680.2012,20210.360000000008
810305,2026,176,1788.205,16000.0
820105,2021,216,1143.4365,14289.849999999999
820105,2022,162,1389.6292,15000.0
820105,2023,170,1512.1,15879.000000000002
820105,2024,188,1412.0,16792.94
820105,2025,136,1548.36,15672.050000000005
820105,2026,63,2396.8,14000.0
820110,2021,94,1206.55,10020.999999999998
820110,2022,54,1302.2272,11629.0
820110,2023,67,1353.48,10272.000000000004
820110,2024,56,1623.0,11450.000000000004
820110,2025,66,1242.75,13367.299999999997
820110,2026,27,1650.0,18289.999999999985
820115,2021,203,1131.24,10983.49859999999
820115,2022,118,1268.7797,12246.476199999994
820115,2023,186,1636.572,12000.0
820115,2024,175,1446.8,10259.99999999999
820115,2025,154,1652.4828,12172.593399999998
820115,2026,56,2411.498,12675.000000000004
820120,2021,6,1133.0,2157.1905
820120,2022,8,1212.0,5896.0
820120,2023,4,1600.1216,3482.87
820120,2024,11,1477.401,4591.000000000001
820120,2025,4,1977.274,4865.954
820120,2026,7,2572.645,3370.0
820125,2021,89,1310.88,15023.76
820125,2022,68,1007.9271000000001,11159.999999999996
820125,2023,51,1629.5,12350.0
820125,2024,60,1660.484,14345.809699999987
820125,2025,71,1452.72,15099.99999999998
820125,2026,23,2464.44,12488.240000000002
820205,2021,737,1100.0,10932.359999999999
820205,2022,535,1212.0,11570.668999999973
820205,2023,492,1302.0,15373.0
820205,2024,556,1412.0,15460.000000000127
820205,2025,511,1518.0,14903.999999999978
820205,2026,225,1621.0,13252.6984
820210,2021,317,1103.2,10823.999999999973
820210,2022,194,1212.0,11153.949999999986
820210,2023,202,1302.0,9998.228500000001
820210,2024,218,1412.0,9381.156699999998
820210,2025,212,1521.52,12488.556599999993
820210,2026,108,1621.0,14789.999999999978
830105,2021,366,725.5734999999999,60500.0
830105,2022,305,1212.0,36839.99999999992
830105,2023,252,1366.92,19347.20000000001
830105,2024,229,1464.64,16720.0
830105,2025,288,1600.0,25000.0
830105,2026,106,1622.0,21000.0
840105,2021,3775,1100.0,12000.0
840105,2022,4072,1212.0,13000.0
840105,2023,4459,1320.0,14782.969800000026
840105,2024,5265,1412.0,15127.19719999998
840105,2025,5310,1518.0,15500.0
840105,2026,2326,1621.0,15867.5
840110,2021,274,800.0,10954.589999999962
840110,2022,254,1212.0,12000.0
840110,2023,260,1314.0837,12594.68000000001
840110,2024,319,1412.0,11873.999999999995
840110,2025,363,1589.53,11717.114
840110,2026,101,1621.0,12200.0
840115,2021,63,1100.0,10571.036000000006
840115,2022,66,1460.7,11075.539999999995
840115,2023,51,1726.8,11487.3
840115,2024,44,1450.958,14795.969
840115,2025,41,1518.0,14152.140000000005
840115,2026,26,1765.75,12551.75
840120,2021,431,1100.0,6860.4999999999945
840120,2022,486,1212.0,7500.0
840120,2023,499,1119.6294,7956.1808
840120,2024,465,1412.0,8388.211200000002
840120,2025,533,1518.0,7567.9999999999945
840120,2026,242,1621.0,10566.885600000001
860110,2021,318,1130.89,18414.999999999993
860110,2022,344,1217.6545,15364.549999999997
860110,2023,496,1555.8,18042.90000000001
860110,2024,455,1544.9992,15885.482199999995
860110,2025,716,1700.0,14355.941000000003
860110,2026,333,1706.4,16771.12000000001
860115,2021,1917,1120.0,15000.0
860115,2022,1888,1254.86,15000.0
860115,2023,2006,1450.0,18190.00000000001
860115,2024,2457,1696.0,16591.813600000012
860115,2025,2713,1599.472,16000.0
860115,2026,1151,1696.0,14809.0
