case_id,case_label_pt,age_group,periodo_num,period,dictionary_sha256,outcome,observed_value,baseline_period,baseline_value,normalized_value,is_descriptive,has_counterfactual,analysis_type
customer_service,Atendimento ao cliente,age_22_25,202408,2024-08,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1258.0,202211,1431.0,0.8791055206149546,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202409,2024-09,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1233.0,202211,1431.0,0.8616352201257862,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202410,2024-10,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1352.0,202211,1431.0,0.9447938504542278,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202411,2024-11,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1213.0,202211,1431.0,0.8476589797344515,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202412,2024-12,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,969.0,202211,1431.0,0.6771488469601677,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202501,2025-01,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1017.0,202211,1431.0,0.710691823899371,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202502,2025-02,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1313.0,202211,1431.0,0.9175401816911251,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202503,2025-03,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1198.0,202211,1431.0,0.8371767994409504,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202504,2025-04,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1283.0,202211,1431.0,0.896575821104123,True,False,normalized_monthly_trajectory
customer_service,Atendimento ao cliente,age_22_25,202505,2025-05,b8d0310606c37ed32decf4cb46a9088632f9c1409c837d869a2c33d4ac8aa4b2,admissions,1275.0,202211,1431.0,0.8909853249475891,True,False,normalized_monthly_trajectory
