case_id,case_label_pt,age_group,outcome,pre_start,pre_end,pre_months_expected,pre_months_observed,pre_admissions,pre_wage_records,wage_record_coverage_pct,pre_mean,pre_standard_deviation,monthly_linear_slope,annualized_log_slope_pct,coefficient_of_variation,diagnostic_type,is_causal_test,has_counterfactual
health_care_aides,Auxiliares de saúde e cuidado,age_31_34,real_admission_wage,202101,202211,23,23,19698,19586,99.43141435678749,2261.731041431758,415.28673257823334,18.893328942112973,10.007622596375612,0.1836145522923635,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_35_40,admissions,202101,202211,23,23,29771,29595,99.40882066440496,1294.391304347826,190.38673207572157,8.019762845849824,7.6533810844363686,0.14708591709185437,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_35_40,real_admission_wage,202101,202211,23,23,29771,29595,99.40882066440496,2236.0950788675937,414.0614063517378,19.03765445554073,9.753468921295857,0.18517164599343752,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_41_49,admissions,202101,202211,23,23,30364,30160,99.32815175866158,1320.1739130434783,259.608844924338,20.175889328063246,20.27420386379752,0.1966474586108475,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_41_49,real_admission_wage,202101,202211,23,23,30364,30160,99.32815175866158,2320.9441808149304,433.71563145738503,25.538985823281593,13.86100350346397,0.18687034140782252,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_50_plus,admissions,202101,202211,23,23,14074,13965,99.22552223959073,611.9130434782609,167.41199194579514,12.734189723320151,30.029468572411567,0.27358787940552,descriptive_preperiod,False,False
health_care_aides,Auxiliares de saúde e cuidado,age_50_plus,real_admission_wage,202101,202211,23,23,14074,13965,99.22552223959073,2688.9883235993675,1003.984181705187,38.43509265889851,18.815149121643756,0.37336873979478485,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_22_25,admissions,202101,202211,23,23,6413,6359,99.15796039295182,278.82608695652175,31.54245196544553,-1.0820158102766835,-5.005225285205698,0.11312589976691831,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_22_25,real_admission_wage,202101,202211,23,23,6413,6359,99.15796039295182,3474.3348827493814,275.5799649239352,10.628346194546548,3.784710890685103,0.07931876869216985,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_26_30,admissions,202101,202211,23,23,13259,13089,98.71785202503959,576.4782608695652,47.81837882548052,0.20652173913043276,0.263419640701236,0.08294914495708967,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_26_30,real_admission_wage,202101,202211,23,23,13259,13089,98.71785202503959,6147.415935025954,428.83497118564867,-13.35512985287214,-2.5180320245799264,0.06975857428847267,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_31_34,admissions,202101,202211,23,23,12636,12463,98.63089585311808,549.3913043478261,49.08266242241337,0.07114624505928661,-0.180027560166245,0.08934007879989771,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_31_34,real_admission_wage,202101,202211,23,23,12636,12463,98.63089585311808,8196.347931299943,535.4931926111994,-28.292689747450975,-4.161113473989278,0.06533314557893226,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_35_40,admissions,202101,202211,23,23,17798,17490,98.26946847960446,773.8260869565217,62.54782669140892,1.9990118577074927,3.127384370938687,0.08082930744479185,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_35_40,real_admission_wage,202101,202211,23,23,17798,17490,98.26946847960446,8878.220108393887,389.68904718410244,-0.847783650986463,-0.0462885941615998,0.04389269948552774,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_41_49,admissions,202101,202211,23,23,15307,15026,98.16423858365454,665.5217391304348,60.129475926838865,2.9209486166007865,5.3598919066634485,0.09034937912832651,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_41_49,real_admission_wage,202101,202211,23,23,15307,15026,98.16423858365454,8930.758850404629,621.860556387003,-25.029303820951327,-3.2688180208802584,0.06963132325074797,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_50_plus,admissions,202101,202211,23,23,6039,5920,98.02947507865541,262.5652173913044,31.24493153604071,0.760869565217393,3.400652330281763,0.11899874570772251,descriptive_preperiod,False,False
marketing_sales_managers,Gerentes de marketing e vendas,age_50_plus,real_admission_wage,202101,202211,23,23,6039,5920,98.02947507865541,7956.608607451764,548.1693337371479,-2.1860453802997033,-0.1666020358644994,0.06889484713672603,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_22_25,admissions,202101,202211,23,23,4557,4551,99.86833443054641,198.1304347826087,30.19689639656495,-1.2905138339920972,-7.81486229999369,0.15240917645841429,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_22_25,real_admission_wage,202101,202211,23,23,4557,4551,99.86833443054641,2463.500699331049,141.6476384904767,-0.3945729974199166,-0.13715722557798973,0.05749851766997282,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_26_30,admissions,202101,202211,23,23,8344,8321,99.72435282837968,362.7826086956522,48.58426702020273,-1.5256916996047443,-4.689632711567239,0.13392115789365566,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_26_30,real_admission_wage,202101,202211,23,23,8344,8321,99.72435282837968,3328.2220998277307,678.7054123268395,-23.562281895678208,-4.608139020555101,0.20392431513569043,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_31_34,admissions,202101,202211,23,23,8811,8789,99.75031210986268,383.0869565217391,50.80817551765554,-2.7984189723320143,-7.827626164480621,0.13262830971581857,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_31_34,real_admission_wage,202101,202211,23,23,8811,8789,99.75031210986268,4114.8180184020575,773.5384871843726,-37.1710199340284,-8.969353162664401,0.1879885048925608,descriptive_preperiod,False,False
production_supervisors,Supervisores de produção,age_35_40,admissions,202101,202211,23,23,14887,14812,99.49620474239269,647.2608695652174,95.3288210405593,-4.38241106719369,-7.562935378472363,0.1472803710574907,descriptive_preperiod,False,False
