subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0111302,A,01,202407,12,61,true
0111302,A,01,202408,14,58,true
0111302,A,01,202409,14,63,true
0111302,A,01,202410,17,69,true
0111302,A,01,202411,12,58,true
0111302,A,01,202412,11,54,true
0111302,A,01,202501,15,61,true
0111302,A,01,202502,14,61,true
0111302,A,01,202503,12,60,true
0111302,A,01,202504,14,64,true
0111302,A,01,202505,14,60,true
0111302,A,01,202506,13,62,true
0111302,A,01,202507,15,65,true
0111302,A,01,202508,15,65,true
0111302,A,01,202509,15,62,true
0111302,A,01,202510,16,63,true
0111302,A,01,202511,17,59,true
0111302,A,01,202512,13,62,true
0111302,A,01,202601,17,66,true
0111302,A,01,202602,14,62,true
0111302,A,01,202603,17,56,true
0111302,A,01,202604,11,59,true
0111302,A,01,202605,16,57,true
0111303,A,01,202101,2,3,true
0111303,A,01,202102,1,4,true
0111303,A,01,202103,0,6,false
0111303,A,01,202104,0,6,false
0111303,A,01,202105,1,9,true
0111303,A,01,202106,0,4,false
0111303,A,01,202107,1,6,true
0111303,A,01,202108,1,5,true
0111303,A,01,202109,1,9,true
0111303,A,01,202110,1,5,true
0111303,A,01,202111,0,6,false
0111303,A,01,202112,0,5,false
0111303,A,01,202201,1,7,true
0111303,A,01,202202,3,8,true
0111303,A,01,202203,2,7,true
0111303,A,01,202204,2,6,true
0111303,A,01,202205,2,6,true
0111303,A,01,202206,2,12,true
0111303,A,01,202207,2,9,true
0111303,A,01,202208,1,9,true
0111303,A,01,202209,1,7,true
0111303,A,01,202210,2,12,true
0111303,A,01,202211,1,7,true
0111303,A,01,202212,0,4,false
0111303,A,01,202301,4,14,true
0111303,A,01,202302,1,12,true
0111303,A,01,202303,2,16,true
0111303,A,01,202304,1,10,true
0111303,A,01,202305,3,7,true
0111303,A,01,202306,2,11,true
0111303,A,01,202307,1,13,true
0111303,A,01,202308,1,15,true
0111303,A,01,202309,2,12,true
0111303,A,01,202310,1,10,true
0111303,A,01,202311,1,8,true
0111303,A,01,202312,1,9,true
0111303,A,01,202401,3,9,true
0111303,A,01,202402,2,12,true
0111303,A,01,202403,2,13,true
0111303,A,01,202404,3,6,true
0111303,A,01,202405,3,11,true
0111303,A,01,202406,1,10,true
0111303,A,01,202407,4,13,true
0111303,A,01,202408,2,14,true
0111303,A,01,202409,1,11,true
0111303,A,01,202410,1,12,true
0111303,A,01,202411,1,6,true
0111303,A,01,202412,2,8,true
0111303,A,01,202501,3,12,true
0111303,A,01,202502,1,9,true
0111303,A,01,202503,3,9,true
0111303,A,01,202504,2,8,true
0111303,A,01,202505,1,10,true
0111303,A,01,202506,1,11,true
0111303,A,01,202507,1,12,true
0111303,A,01,202508,0,10,false
0111303,A,01,202509,2,12,true
0111303,A,01,202510,3,9,true
0111303,A,01,202511,1,6,true
0111303,A,01,202512,2,11,true
0111303,A,01,202601,2,10,true
0111303,A,01,202602,1,9,true
0111303,A,01,202603,1,12,true
0111303,A,01,202604,1,7,true
0111303,A,01,202605,1,7,true
0111399,A,01,202101,17,54,true
0111399,A,01,202102,15,59,true
0111399,A,01,202103,15,61,true
0111399,A,01,202104,17,58,true
0111399,A,01,202105,11,54,true
0111399,A,01,202106,17,64,true
0111399,A,01,202107,14,60,true
0111399,A,01,202108,16,48,true
0111399,A,01,202109,15,66,true
0111399,A,01,202110,14,61,true
0111399,A,01,202111,14,58,true
0111399,A,01,202112,16,59,true
0111399,A,01,202201,20,53,true
0111399,A,01,202202,13,63,true
0111399,A,01,202203,12,64,true
0111399,A,01,202204,12,59,true
0111399,A,01,202205,13,61,true
0111399,A,01,202206,14,65,true
0111399,A,01,202207,11,59,true
0111399,A,01,202208,13,53,true
0111399,A,01,202209,14,60,true
0111399,A,01,202210,15,55,true
0111399,A,01,202211,12,52,true
0111399,A,01,202212,11,54,true
0111399,A,01,202301,12,58,true
0111399,A,01,202302,13,58,true
0111399,A,01,202303,11,59,true
0111399,A,01,202304,14,59,true
0111399,A,01,202305,13,60,true
0111399,A,01,202306,12,63,true
0111399,A,01,202307,12,58,true
0111399,A,01,202308,12,59,true
0111399,A,01,202309,16,60,true
0111399,A,01,202310,12,53,true
0111399,A,01,202311,13,56,true
0111399,A,01,202312,11,51,true
0111399,A,01,202401,12,59,true
0111399,A,01,202402,12,56,true
0111399,A,01,202403,12,52,true
0111399,A,01,202404,13,57,true
0111399,A,01,202405,12,55,true
0111399,A,01,202406,15,57,true
0111399,A,01,202407,9,55,true
0111399,A,01,202408,12,55,true
0111399,A,01,202409,11,58,true
0111399,A,01,202410,15,57,true
0111399,A,01,202411,8,50,true
0111399,A,01,202412,13,49,true
0111399,A,01,202501,15,56,true
0111399,A,01,202502,10,58,true
0111399,A,01,202503,14,56,true
0111399,A,01,202504,12,61,true
0111399,A,01,202505,14,58,true
0111399,A,01,202506,11,54,true
0111399,A,01,202507,14,55,true
0111399,A,01,202508,11,54,true
0111399,A,01,202509,17,59,true
0111399,A,01,202510,13,60,true
0111399,A,01,202511,11,58,true
0111399,A,01,202512,11,54,true
0111399,A,01,202601,12,58,true
0111399,A,01,202602,14,50,true
0111399,A,01,202603,12,51,true
0111399,A,01,202604,11,57,true
0111399,A,01,202605,13,58,true
0112101,A,01,202101,10,44,true
0112101,A,01,202102,12,49,true
0112101,A,01,202103,12,39,true
0112101,A,01,202104,11,44,true
0112101,A,01,202105,11,34,true
0112101,A,01,202106,8,45,true
0112101,A,01,202107,9,47,true
0112101,A,01,202108,11,40,true
0112101,A,01,202109,8,39,true
0112101,A,01,202110,12,44,true
0112101,A,01,202111,9,43,true
0112101,A,01,202112,12,41,true
0112101,A,01,202201,14,39,true
0112101,A,01,202202,13,44,true
0112101,A,01,202203,15,46,true
