subclasse,secao,divisao,periodo_num,treated_cbo_families,control_cbo_families,has_treated_control_coexistence
0116402,A,01,202404,0,1,false
0116402,A,01,202405,0,1,false
0116402,A,01,202406,0,1,false
0116402,A,01,202407,0,1,false
0116402,A,01,202408,0,0,false
0116402,A,01,202411,0,1,false
0116402,A,01,202412,0,0,false
0116402,A,01,202501,0,1,false
0116402,A,01,202502,1,1,true
0116402,A,01,202503,0,1,false
0116402,A,01,202504,0,2,false
0116402,A,01,202505,0,3,false
0116402,A,01,202506,0,0,false
0116402,A,01,202508,0,0,false
0116402,A,01,202511,0,1,false
0116402,A,01,202512,0,1,false
0116402,A,01,202601,0,2,false
0116402,A,01,202602,0,0,false
0116402,A,01,202603,0,1,false
0116402,A,01,202604,0,1,false
0116403,A,01,202104,0,1,false
0116403,A,01,202105,0,2,false
0116403,A,01,202106,0,1,false
0116403,A,01,202110,0,1,false
0116403,A,01,202203,1,1,true
0116403,A,01,202204,0,1,false
0116403,A,01,202212,0,1,false
0116403,A,01,202303,0,1,false
0116403,A,01,202603,0,1,false
0116499,A,01,202101,7,19,true
0116499,A,01,202102,4,24,true
0116499,A,01,202103,3,19,true
0116499,A,01,202104,4,21,true
0116499,A,01,202105,7,24,true
0116499,A,01,202106,5,19,true
0116499,A,01,202107,6,17,true
0116499,A,01,202108,5,25,true
0116499,A,01,202109,3,26,true
0116499,A,01,202110,5,16,true
0116499,A,01,202111,4,18,true
0116499,A,01,202112,2,22,true
0116499,A,01,202201,6,21,true
0116499,A,01,202202,5,21,true
0116499,A,01,202203,3,20,true
0116499,A,01,202204,4,19,true
0116499,A,01,202205,5,18,true
0116499,A,01,202206,3,20,true
0116499,A,01,202207,4,19,true
0116499,A,01,202208,2,19,true
0116499,A,01,202209,5,15,true
0116499,A,01,202210,2,14,true
0116499,A,01,202211,4,17,true
0116499,A,01,202212,4,21,true
0116499,A,01,202301,9,27,true
0116499,A,01,202302,2,22,true
0116499,A,01,202303,4,26,true
0116499,A,01,202304,3,27,true
0116499,A,01,202305,4,24,true
0116499,A,01,202306,7,22,true
0116499,A,01,202307,5,22,true
0116499,A,01,202308,6,25,true
0116499,A,01,202309,6,24,true
0116499,A,01,202310,5,27,true
0116499,A,01,202311,4,21,true
0116499,A,01,202312,5,22,true
0116499,A,01,202401,5,24,true
0116499,A,01,202402,4,24,true
0116499,A,01,202403,8,25,true
0116499,A,01,202404,5,17,true
0116499,A,01,202405,6,26,true
