outcome,outcome_label,t,is_reference,is_pre,n_obs,n_cbo,coef,se,p_value,ci_low,ci_high,coefficient_status
asinh_saldo,Saldo líquido (asinh),3,False,False,18307,341,-4.465561865161291,0.8972068547824694,1.0271664354633003e-06,-6.224087300534931,-2.7070364297876512,estimated
asinh_saldo,Saldo líquido (asinh),4,False,False,18307,341,-3.234548532098354,0.8499789889272527,0.0001678368022453025,-4.9005073503957695,-1.5685897138009388,estimated
asinh_saldo,Saldo líquido (asinh),5,False,False,18307,341,-4.215197892298601,0.8717953357791242,2.0196557131146875e-06,-5.923916750425684,-2.5064790341715177,estimated
asinh_saldo,Saldo líquido (asinh),6,False,False,18307,341,-3.149726650128134,0.9164516917061403,0.000661465108524828,-4.945971965872168,-1.353481334384099,estimated
asinh_saldo,Saldo líquido (asinh),7,False,False,18307,341,-3.7446431334295434,0.8532719592772847,1.5246869802698626e-05,-5.417056173613021,-2.0722300932460653,estimated
asinh_saldo,Saldo líquido (asinh),8,False,False,18307,341,-3.126434175636156,0.8788812465559733,0.00042788856783415596,-4.8490414188858635,-1.4038269323864483,estimated
asinh_saldo,Saldo líquido (asinh),9,False,False,18307,341,-3.6565465109674933,0.9028199199509037,6.345100543247995e-05,-5.426073554071264,-1.887019467863722,estimated
asinh_saldo,Saldo líquido (asinh),10,False,False,18307,341,-2.273433420693424,0.8098975279330352,0.0052878752313265664,-3.860832575442173,-0.686034265944675,estimated
asinh_saldo,Saldo líquido (asinh),11,False,False,18307,341,-1.3763770945818097,0.7889933081339248,0.08198036277485388,-2.9228039785243025,0.17004978936068293,estimated
asinh_saldo,Saldo líquido (asinh),12,False,False,18307,341,-2.6445214350200987,0.8411598332319199,0.0018139578599121187,-4.293194708154662,-0.9958481618855357,estimated
asinh_saldo,Saldo líquido (asinh),13,False,False,18307,341,-3.6110630601955775,0.9394691500793291,0.00014461389225695065,-5.452422594351063,-1.7697035260400926,estimated
asinh_saldo,Saldo líquido (asinh),14,False,False,18307,341,-4.652931786832964,0.9346478486724911,1.021788873734053e-06,-6.484841570231046,-2.8210220034348814,estimated
asinh_saldo,Saldo líquido (asinh),15,False,False,18307,341,-3.796499974515456,0.8805312177178141,2.125931926255653e-05,-5.522341161242371,-2.070658787788541,estimated
asinh_saldo,Saldo líquido (asinh),16,False,False,18307,341,-2.820069672215684,0.8941961731938514,0.0017555370101705048,-4.572694171675633,-1.0674451727557355,estimated
asinh_saldo,Saldo líquido (asinh),17,False,False,18307,341,-2.6179428145788095,0.8914008759238624,0.003541292236886484,-4.3650885313895795,-0.8707970977680393,estimated
asinh_saldo,Saldo líquido (asinh),18,False,False,18307,341,-3.7156780208926214,0.8331656844293174,1.1166182240396338e-05,-5.348682762374084,-2.0826732794111593,estimated
asinh_saldo,Saldo líquido (asinh),19,False,False,18307,341,-3.429891487181809,0.8526702394476148,7.098620024259539e-05,-5.101125156499134,-1.7586578178644843,estimated
