dimension,group_id,group_label,outcome,outcome_label,window_rule,scenario_role,role_label,t,path_status,mean_log_change,sd_log_change,se_log_change,n_cbo,path_index,ci_low,ci_high,power_status,treated_cbo,control_cbo
race_color_b,race_white,Branca,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,21,estimated,-0.023731814512867034,0.2557116204288379,0.015828151943778325,261,97.65475705286214,94.67170724916949,100.73180100105552,adequate,75,266
race_color_b,race_white,Branca,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,22,estimated,-0.020202660082468977,0.27876131904215395,0.0171891593074321,263,98.00000462903505,94.7533096469264,101.35794668363256,adequate,75,266
race_color_b,race_white,Branca,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,23,estimated,-0.030985985074253514,0.27140757692175854,0.01683198338449525,260,96.94891602994073,93.80268810901994,100.20067131185655,adequate,75,266
race_color_b,race_white,Branca,ln_salario_real_adm,Salário real de admissão (log),strict_no_tail_binning,control,Not Exposed,24,estimated,-0.014505022016771006,0.3318277519979202,0.02057908357419786,260,98.55996690218863,94.66365732485743,102.61664666541182,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-12,estimated,-0.22452489894515545,0.2930104886715076,0.03383393690197574,75,79.88956847924385,74.76357272579321,85.36701657113163,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-11,estimated,-0.004957200828067457,0.24904136625202258,0.02875681996899148,75,99.50550658141839,94.05216903185854,105.2750398204085,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-10,estimated,0.05618062871738776,0.22272136875020643,0.025717648440442713,75,105.77887335037546,100.57907396605292,111.24749519021519,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-9,estimated,0.09246129967146033,0.21446342696710124,0.02476410345815711,75,109.68706914827673,104.49025807343473,115.14234302956163,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-8,estimated,0.06830497440183053,0.2902980354355788,0.03352072978079019,75,107.06917922805384,100.26077382813574,114.33992281188713,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-7,estimated,0.0340498811601293,0.2119651243543276,0.024475624320956707,75,103.46362142956653,98.61741250975832,108.5479803910026,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-6,estimated,0.023572917054627853,0.18772328088110496,0.021676417349973134,75,102.38529543666395,98.12648650042773,106.82894186379808,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-5,estimated,0.01490473309629015,0.19291101263843338,0.02227544501528856,75,101.50163625434642,97.16543554675657,106.03134853805076,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-4,estimated,0.1177131167639273,0.350721203999577,0.040497796307933084,75,112.49213439957893,103.9081797334396,121.78521781669205,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-3,estimated,0.05154109856643181,0.2556165521222524,0.029516057035421286,75,105.28924577735506,99.37094953674045,111.56002159630685,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-2,estimated,-0.11792180442422694,0.251478787607476,0.029038269144131396,75,88.8765547431197,83.95940213043565,94.08168451146362,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,-1,estimated,-0.11132474523463559,0.2678862771083204,0.030932842840139092,75,89.46481690197997,84.20186484339266,95.05672443468303,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,0,estimated,-0.4139543614361628,0.25092872703019276,0.02897475361965838,75,66.1031119088426,62.45368908577663,69.96578533625996,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,1,estimated,-0.0782248823216921,0.25766227924828006,0.0297522772568014,75,92.47564417827401,87.23719954582607,98.02864845167886,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,2,estimated,-0.10360565857590899,0.2556121463775612,0.02951554830384459,75,90.158075797022,85.09038570322332,95.52758004613965,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,3,estimated,0.014446269645594156,0.23808721667104743,0.027491943727127596,75,101.45511212955827,96.13296121978475,107.07191005682711,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,4,estimated,-0.08246123727106265,0.222821984865594,0.025729266588703482,75,92.08471317127638,87.5560873417294,96.84757116590397,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,5,estimated,-0.002172009216391255,0.29402096740628686,0.03395061693588278,75,99.78303478887666,93.35925121837188,106.64882056936239,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,6,estimated,-0.09946972691686247,0.28812556498314745,0.033269874500686636,75,90.53173562012589,84.81661922728921,96.63194818493027,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,7,estimated,-0.00204000571029856,0.29144336083619754,0.03365298056646157,75,99.79620736871159,93.42606159393092,106.60069401690218,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,8,estimated,0.11720489245362266,0.2558047705829676,0.029537790631213357,75,112.43497768760452,106.11050051345944,119.13641106620372,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,9,estimated,0.10173283683208498,0.28440759796400233,0.032840560648818316,75,110.70876591683995,103.80721987497374,118.06915612990511,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,10,estimated,0.00926588391806279,0.3139682851180338,0.03625393478598039,75,100.93089451177197,94.00785642112652,108.36376718677201,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,11,estimated,0.02873289296794784,0.32928269190123016,0.03802229016173196,75,102.91496646464589,95.52417819298843,110.87758641609142,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,12,estimated,-0.1682004524647452,0.2935118794560631,0.0338918325228622,75,84.51843984074414,79.0864645383049,90.32350497414959,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,13,estimated,0.25751822716606715,0.2631354092022955,0.030384259867253523,75,129.3715391530697,121.89198257484205,137.31005755491492,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,14,estimated,0.3729523478534822,0.24649052098504734,0.028462273728681632,75,145.2015146545675,137.32309093549412,153.53193490149653,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,15,estimated,0.395174874918391,0.34226128990114507,0.03952092957152293,75,148.46437951836378,137.3983043787786,160.4217176145671,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,16,estimated,0.4650479590638359,0.2695594262413765,0.03112604146061196,75,159.20905422281163,149.78652350559108,169.22432241092793,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,17,estimated,0.4960285399522835,0.31155331835064,0.03597507844333263,75,164.21864250721197,153.03820134054732,176.2158879984589,adequate,75,266
race_color_b,race_black_combined,Negra (preta e parda),ln_admissoes,Admissões (log),strict_no_tail_binning,treated,Exposed,18,estimated,0.4381874313266477,0.3218393736796063,0.03716280980594825,75,154.98953791439862,144.10158613034127,166.700155827507,adequate,75,266
