model_id,cut,outcome,position,term,event_time,coefficient,standard_error,n_obs,minimum_clusters,reference_event_time,status
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,17,"C(event_time, contr.treatment(base=-1))[-6]:pretrend_treated_high",-6,-0.004354868833801989,0.013712768962599656,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,18,"C(event_time, contr.treatment(base=-1))[-5]:pretrend_treated_high",-5,0.006307443574164576,0.013565268579151428,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,19,"C(event_time, contr.treatment(base=-1))[-4]:pretrend_treated_high",-4,0.00706102318860933,0.01288491281031839,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,20,"C(event_time, contr.treatment(base=-1))[-3]:pretrend_treated_high",-3,0.006721805629871037,0.013818355538341372,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_admissoes,within_sample,ln_admissoes,21,"C(event_time, contr.treatment(base=-1))[-2]:pretrend_treated_high",-2,-0.023344982966262844,0.01333694753124015,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,0,"C(event_time, contr.treatment(base=-1))[-23]:pretrend_treated_high",-23,-0.01777826283553574,0.014007497993241396,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,1,"C(event_time, contr.treatment(base=-1))[-22]:pretrend_treated_high",-22,0.001540968648089682,0.013520062048717873,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,2,"C(event_time, contr.treatment(base=-1))[-21]:pretrend_treated_high",-21,0.0037975903578316944,0.013480340851517104,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,3,"C(event_time, contr.treatment(base=-1))[-20]:pretrend_treated_high",-20,-0.005641806029857523,0.01367813454189422,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,4,"C(event_time, contr.treatment(base=-1))[-19]:pretrend_treated_high",-19,-0.004347205548447243,0.01348287287825734,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,5,"C(event_time, contr.treatment(base=-1))[-18]:pretrend_treated_high",-18,-0.0077607582403835225,0.0135771206160384,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,6,"C(event_time, contr.treatment(base=-1))[-17]:pretrend_treated_high",-17,-0.005116854858488237,0.014203363123335318,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,7,"C(event_time, contr.treatment(base=-1))[-16]:pretrend_treated_high",-16,-0.006786380277648502,0.013186299755139318,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,8,"C(event_time, contr.treatment(base=-1))[-15]:pretrend_treated_high",-15,0.0013416503720305901,0.013251202723996644,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,9,"C(event_time, contr.treatment(base=-1))[-14]:pretrend_treated_high",-14,0.010600131118660665,0.013291238963362472,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,10,"C(event_time, contr.treatment(base=-1))[-13]:pretrend_treated_high",-13,0.009232466313651572,0.012720002038837821,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,11,"C(event_time, contr.treatment(base=-1))[-12]:pretrend_treated_high",-12,0.0015577785476204352,0.014146036676464201,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,12,"C(event_time, contr.treatment(base=-1))[-11]:pretrend_treated_high",-11,0.019353818967989773,0.013703743188508801,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,13,"C(event_time, contr.treatment(base=-1))[-10]:pretrend_treated_high",-10,0.027178817443115313,0.013668524275353554,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,14,"C(event_time, contr.treatment(base=-1))[-9]:pretrend_treated_high",-9,0.008812384596700543,0.012975714769577464,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,15,"C(event_time, contr.treatment(base=-1))[-8]:pretrend_treated_high",-8,0.001041689033805829,0.012325292103799176,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,16,"C(event_time, contr.treatment(base=-1))[-7]:pretrend_treated_high",-7,0.008019594149397173,0.013497048526389825,1533998,657,-1,estimated
spatial_pretrend__within_sample__ln_desligamentos,within_sample,ln_desligamentos,17,"C(event_time, contr.treatment(base=-1))[-6]:pretrend_treated_high",-6,0.0018979761832432095,0.01286255952230419,1533998,657,-1,estimated
