analysis_family,model_id,outcome,estimator,joint_lead_count,joint_lead_statistic,joint_lead_p_value,lead_covariance_positive_semidefinite,lead_covariance_min_eigenvalue,lead_covariance_dimension,lead_covariance_rank,lead_covariance_full_rank,lead_covariance_condition_number,lead_covariance_rank_tolerance,lead_covariance_psd_tolerance,linear_pretrend_coefficient,linear_pretrend_standard_error,linear_pretrend_p_value,dynamic_pre_p_lt_005,dynamic_min_p_value,pretrend_status,n_obs,minimum_clusters,sample_id,status,reference_event_time,independent_engine_status,independent_engine_pretrend_status
ddd_pretrend,ddd_pretrend::A::age_canaries::age_41_49::n_movimentacoes,n_movimentacoes,ppml,22,106.85164795525,4.00897944821985e-13,TRUE,6.34739425153526e-06,22,22,TRUE,815.666376919388,2.52912876385364e-17,-1e-08,0.000553505405125253,0.000427545590625915,0.196332826956955,6,0.000291455140154284,fail,31870,341,family_A:age_canaries:age_41_49,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_50_plus::admissoes,admissoes,ppml,22,90.7658376432912,2.53791203176112e-10,TRUE,2.10914350703815e-05,22,22,TRUE,1349.33608984068,1.3902380571061e-16,-1e-08,-0.00458783553764765,0.00122728503272756,0.000217382106654782,4,6.81157642802139e-05,fail,31870,341,family_A:age_canaries:age_50_plus,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_50_plus::asinh_saldo,asinh_saldo,ols,22,53.9881843669422,0.000165119695694459,TRUE,0.0651148166330122,22,22,TRUE,107.960194429436,3.4340481970622e-14,-1e-08,0.021822180921212,0.0191407270298827,0.255050660210233,14,0.000181717626365918,fail,31870,341,family_A:age_canaries:age_50_plus,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_50_plus::desligamentos,desligamentos,ppml,22,131.068823213903,1.63777724225829e-17,TRUE,2.6674355832271e-05,22,22,TRUE,569.398638030823,7.41947661947198e-17,-1e-08,-0.00444184683536745,0.000722043155644388,2.15284406521949e-09,4,0.000269848762694217,fail,31870,341,family_A:age_canaries:age_50_plus,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_50_plus::ln_salario_real_adm,ln_salario_real_adm,ols,22,32.5518952998571,0.0684615800021175,TRUE,0.00015450231669047,22,22,TRUE,128.620705409606,9.70753107061788e-17,-1e-08,0.000700661546901564,0.000755604347200893,0.354435687481316,2,0.0144859837119866,fail,31210,341,family_A:age_canaries:age_50_plus,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::age_canaries::age_50_plus::n_movimentacoes,n_movimentacoes,ppml,22,135.095409478124,2.94490125043705e-18,TRUE,1.16113857125378e-05,22,22,TRUE,1002.57749952312,5.68676015568404e-17,-1e-08,-0.00268943023762496,0.000841463756453445,0.00152342870825367,3,0.00264847365655834,fail,31870,341,family_A:age_canaries:age_50_plus,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::fundamental_or_less::admissoes,admissoes,ppml,22,71.6194663577398,3.66953302096375e-07,TRUE,2.98609297271691e-05,22,22,TRUE,1178.16023134496,1.71858331401835e-16,-1e-08,-0.00163707875918265,0.00117261209321497,0.163596532456995,2,0.0114277142571942,fail,31814,341,family_A:education:fundamental_or_less,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::fundamental_or_less::asinh_saldo,asinh_saldo,ols,22,34.1955589774291,0.0469201745638683,TRUE,0.0616285991134187,22,22,TRUE,124.105326074557,3.7362473680859e-14,-1e-08,0.0315382376143094,0.0192726710547968,0.102676408691206,2,0.00739508156263521,fail,31870,341,family_A:education:fundamental_or_less,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::fundamental_or_less::desligamentos,desligamentos,ppml,22,140.029600511536,3.55521190702229e-19,TRUE,1.45114205590208e-05,22,22,TRUE,2030.42042922094,1.43932480316779e-16,-1e-08,-0.0024597551887476,0.0010720203813627,0.0223704948477341,0,0.108188711379243,fail,31870,341,family_A:education:fundamental_or_less,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::fundamental_or_less::ln_salario_real_adm,ln_salario_real_adm,ols,22,29.1216112448846,0.141421361325041,TRUE,0.000253028512174787,22,22,TRUE,178.719817000121,2.20904762619423e-16,-1e-08,0.00360031722752987,0.00112808589977503,0.00154719985882782,0,0.200724617105847,fail,30543,341,family_A:education:fundamental_or_less,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::fundamental_or_less::n_movimentacoes,n_movimentacoes,ppml,22,130.692710011892,1.92159806402349e-17,TRUE,1.20446046178677e-05,22,22,TRUE,1653.88332791794,9.73106388612672e-17,-1e-08,-0.00525405012169094,0.00116758093647041,9.34590942114064e-06,2,0.0196517336666247,fail,31870,341,family_A:education:fundamental_or_less,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::high_school::admissoes,admissoes,ppml,22,74.7132806898966,1.1753393331812e-07,TRUE,1.842533321675e-05,22,22,TRUE,4967.95646718636,4.47152886476393e-16,-1e-08,-0.00142811651877893,0.000839711805862591,0.089909529295025,0,0.0812653531484253,fail,31861,341,family_A:education:high_school,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::high_school::asinh_saldo,asinh_saldo,ols,22,35.3847163929861,0.0353038439909185,TRUE,0.0733648755356807,22,22,TRUE,95.9119941208375,3.43735203063727e-14,-1e-08,0.00713563347228566,0.0177860624283556,0.688530479590044,8,0.00360823530561357,fail,31870,341,family_A:education:high_school,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::high_school::desligamentos,desligamentos,ppml,22,207.4251603247,3.98382850398983e-32,TRUE,1.26082828705526e-05,22,22,TRUE,1067.56384443923,6.57525661756731e-17,-1e-08,0.0016925107290223,0.000922631933968101,0.0674627366562332,13,2.13053380026766e-05,fail,31870,341,family_A:education:high_school,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::high_school::ln_salario_real_adm,ln_salario_real_adm,ols,22,37.5559817359702,0.0205373850378888,TRUE,7.89283564718303e-05,22,22,TRUE,186.877229838961,7.20530474152766e-17,-1e-08,-0.000143635504395509,0.00059106494197316,0.808143125051933,1,0.0253440644015861,fail,31595,341,family_A:education:high_school,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::high_school::n_movimentacoes,n_movimentacoes,ppml,22,159.607608707256,7.23440563599505e-23,TRUE,1.00178402287582e-05,22,22,TRUE,3679.78308192096,1.8007740583264e-16,-1e-08,7.23581200489107e-06,0.000788772355718706,0.992686079891719,6,0.00587268800802596,fail,31870,341,family_A:education:high_school,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::higher_education::admissoes,admissoes,ppml,22,96.5570855430308,2.56267626251826e-11,TRUE,4.57420419036034e-05,22,22,TRUE,5068.45790548131,1.13254195039532e-15,-1e-08,-0.00421306786537456,0.00133957588136445,0.00180688293546869,4,0.0439287287067023,fail,31861,341,family_A:education:higher_education,estimated,-1,estimated,fail
ddd_pretrend,ddd_pretrend::A::education::higher_education::asinh_saldo,asinh_saldo,ols,22,107.387999334202,3.21987103588809e-13,TRUE,0.0698529911471133,22,22,TRUE,100.375610978447,3.42512255516511e-14,-1e-08,-0.0526819989864905,0.0196249868056869,0.00762106050334658,21,6.58537617072791e-10,fail,31870,341,family_A:education:higher_education,estimated,-1,estimated,fail
