outcome,row_position,column_position,row_event_time,column_event_time,covariance_python,covariance_r,_merge,covariance_absolute_difference,comparison_pass
ln_salario_real_adm,20,21,-3,-2,-1.5699126301990814e-06,-1.56991263054515e-06,both,3.4606865136966366e-16,True
ln_salario_real_adm,20,22,-3,0,-6.431356936459965e-06,-6.43135693685313e-06,both,3.931655890611341e-16,True
ln_salario_real_adm,20,23,-3,1,4.55525754377158e-05,4.55525754373387e-05,both,3.770990681176145e-16,True
ln_salario_real_adm,20,24,-3,2,1.7715365086674043e-05,1.77153650860679e-05,both,6.061435533187554e-16,True
ln_salario_real_adm,20,25,-3,3,7.047066820131265e-05,7.04706682008365e-05,both,4.761544891013214e-16,True
ln_salario_real_adm,20,26,-3,4,3.798163003545923e-05,3.79816300348661e-05,both,5.931263509853513e-16,True
ln_salario_real_adm,20,27,-3,5,-1.3578355606158689e-05,-1.35783556066617e-05,both,5.030105157269663e-16,True
ln_salario_real_adm,20,28,-3,6,6.606553234840898e-05,6.60655323478748e-05,both,5.34172857856452e-16,True
ln_salario_real_adm,20,29,-3,7,7.024262917380702e-05,7.02426291732139e-05,both,5.931127984581952e-16,True
ln_salario_real_adm,20,30,-3,8,3.4948867683300784e-05,3.49488676827369e-05,both,5.638867736461328e-16,True
ln_salario_real_adm,20,31,-3,9,9.391554934793224e-05,9.39155493474752e-05,both,4.570454258112644e-16,True
ln_salario_real_adm,20,32,-3,10,2.0883174441400608e-05,2.08831744408585e-05,both,5.421078625063303e-16,True
ln_salario_real_adm,20,33,-3,11,3.083384254519162e-05,3.08338425447484e-05,both,4.432218481120742e-16,True
ln_salario_real_adm,20,34,-3,12,0.0001098588652423,0.000109858865242,both,2.999987411267391e-16,True
ln_salario_real_adm,20,35,-3,13,5.156322706050236e-05,5.15632270601142e-05,both,3.8815793027696666e-16,True
ln_salario_real_adm,20,36,-3,14,6.654169016479747e-06,6.65416901594212e-06,both,5.37627058215355e-16,True
ln_salario_real_adm,20,37,-3,15,6.7371325509366905e-06,6.73713255038493e-06,both,5.517606499732403e-16,True
ln_salario_real_adm,20,38,-3,16,3.933167364929844e-05,3.93316736488828e-05,both,4.156424553494742e-16,True
ln_salario_real_adm,20,39,-3,17,6.96042937202576e-05,6.96042937197765e-05,both,4.811011615132865e-16,True
ln_salario_real_adm,20,40,-3,18,5.804866464978885e-05,5.80486646493254e-05,both,4.634489948925069e-16,True
ln_salario_real_adm,20,41,-3,19,1.2331781584523337e-06,1.23317815800131e-06,both,4.510236568309968e-16,True
ln_salario_real_adm,20,42,-3,20,3.104909955004274e-06,3.10490995447241e-06,both,5.318638460422367e-16,True
ln_salario_real_adm,20,43,-3,21,-8.35495976060954e-06,-8.35495976104824e-06,both,4.3870038623963076e-16,True
ln_salario_real_adm,20,44,-3,22,-4.680841012790185e-07,-4.68084101728473e-07,both,4.49454475356649e-16,True
ln_salario_real_adm,20,45,-3,23,7.240732311594788e-05,7.24073231156404e-05,both,3.0747973611688906e-16,True
ln_salario_real_adm,21,0,-2,-23,3.418929943243343e-05,3.41892994320398e-05,both,3.9363315124801845e-16,True
ln_salario_real_adm,21,1,-2,-22,0.0001088404000396,0.0001088404000393,both,3.0001229365389515e-16,True
ln_salario_real_adm,21,2,-2,-21,0.0001187198863503,0.00011871988635,both,2.999987411267391e-16,True
ln_salario_real_adm,21,3,-2,-20,6.991732798558378e-05,6.99173279852928e-05,both,2.9097275804079725e-16,True
ln_salario_real_adm,21,4,-2,-19,6.756788445821864e-05,6.7567884457966e-05,both,2.5264621124343467e-16,True
ln_salario_real_adm,21,5,-2,-18,2.9134300467699155e-05,2.91343004671602e-05,both,5.389568999425443e-16,True
ln_salario_real_adm,21,6,-2,-17,6.960370380187826e-05,6.96037038014811e-05,both,3.9715680830859634e-16,True
ln_salario_real_adm,21,7,-2,-16,4.4366385230794016e-05,4.43663852307266e-05,both,6.741704633786427e-17,True
ln_salario_real_adm,21,8,-2,-15,8.492374749708045e-05,8.49237474965175e-05,both,5.629584255359421e-16,True
ln_salario_real_adm,21,9,-2,-14,4.659730166989903e-05,4.65973016694809e-05,both,4.181293440826128e-16,True
ln_salario_real_adm,21,10,-2,-13,8.82475403774188e-05,8.82475403770325e-05,both,3.8628768152942916e-16,True
ln_salario_real_adm,21,11,-2,-12,3.940023753070203e-05,3.94002375304285e-05,both,2.735306555909367e-16,True
ln_salario_real_adm,21,12,-2,-11,0.0001462206402255,0.000146220640225,both,5.000069368960025e-16,True
ln_salario_real_adm,21,13,-2,-10,7.331740596062611e-05,7.33174059602254e-05,both,4.0070757042348637e-16,True
ln_salario_real_adm,21,14,-2,-9,7.009476576622426e-05,7.00947657656894e-05,both,5.348640367414115e-16,True
ln_salario_real_adm,21,15,-2,-8,5.036379731545569e-05,5.03637973149871e-05,both,4.68585402684657e-16,True
ln_salario_real_adm,21,16,-2,-7,5.948664845988692e-05,5.94866484594073e-05,both,4.79623936053275e-16,True
ln_salario_real_adm,21,17,-2,-6,0.0001320338230207,0.0001320338230203,both,3.999892864842147e-16,True
ln_salario_real_adm,21,18,-2,-5,0.0001154258012733,0.0001154258012726,both,7.000015801381099e-16,True
ln_salario_real_adm,21,19,-2,-4,4.027557755857426e-06,4.02755775552542e-06,both,3.320064221375846e-16,True
ln_salario_real_adm,21,20,-2,-3,-1.5699126301981342e-06,-1.56991263054515e-06,both,3.470158459629308e-16,True
ln_salario_real_adm,21,21,-2,-2,0.000222127038909,0.0002221270389086,both,3.999892864842147e-16,True
ln_salario_real_adm,21,22,-2,0,6.344532937711052e-05,6.34453293765647e-05,both,5.458144786835151e-16,True
ln_salario_real_adm,21,23,-2,1,6.985444699332729e-05,6.98544469928098e-05,both,5.174896969273313e-16,True
ln_salario_real_adm,21,24,-2,2,0.0001282624519765,0.0001282624519758,both,7.000151326652659e-16,True
ln_salario_real_adm,21,25,-2,3,0.0001110044534418,0.0001110044534412,both,5.999974822534782e-16,True
ln_salario_real_adm,21,26,-2,4,0.000124457117166,0.0001244571171653,both,7.000151326652659e-16,True
ln_salario_real_adm,21,27,-2,5,9.41342729478846e-05,9.41342729472446e-05,both,6.399909898910372e-16,True
ln_salario_real_adm,21,28,-2,6,0.0001662051710723,0.0001662051710716,both,6.999880276109538e-16,True
ln_salario_real_adm,21,29,-2,7,8.605733181726496e-05,8.6057331816534e-05,both,7.30955552162571e-16,True
ln_salario_real_adm,21,30,-2,8,0.0001315219426548,0.0001315219426542,both,5.999974822534782e-16,True
ln_salario_real_adm,21,31,-2,9,7.64958721653335e-05,7.6495872164745e-05,both,5.885049392251318e-16,True
ln_salario_real_adm,21,32,-2,10,0.0001213107957581,0.0001213107957574,both,7.000015801381099e-16,True
ln_salario_real_adm,21,33,-2,11,7.661830435173615e-05,7.66183043511501e-05,both,5.860519318098834e-16,True
ln_salario_real_adm,21,34,-2,12,5.554140691335325e-05,5.5541406912904e-05,both,4.492459464329468e-16,True
ln_salario_real_adm,21,35,-2,13,8.126727803922334e-05,8.12672780386931e-05,both,5.30242624981192e-16,True
ln_salario_real_adm,21,36,-2,14,5.78825944872873e-05,5.78825944866072e-05,both,6.800996940094228e-16,True
ln_salario_real_adm,21,37,-2,15,0.0001199769113087,0.000119976911308,both,7.000015801381099e-16,True
ln_salario_real_adm,21,38,-2,16,9.870331285671988e-05,9.87033128561669e-05,both,5.529837655490755e-16,True
ln_salario_real_adm,21,39,-2,17,4.0711380695398454e-05,4.07113806947752e-05,both,6.232536188532922e-16,True
