outcome,row_position,column_position,row_event_time,column_event_time,covariance
asinh_saldo,3,10,-20,-13,0.305726976532944
asinh_saldo,3,11,-20,-12,0.249110880795367
asinh_saldo,3,12,-20,-11,0.529300239330787
asinh_saldo,3,13,-20,-10,0.467981752274778
asinh_saldo,3,14,-20,-9,0.485885796405124
asinh_saldo,3,15,-20,-8,0.340450826214948
asinh_saldo,3,16,-20,-7,0.363377391164275
asinh_saldo,3,17,-20,-6,0.33952411910738
asinh_saldo,3,18,-20,-5,0.331508167714105
asinh_saldo,3,19,-20,-4,0.362210844547673
asinh_saldo,3,20,-20,-3,0.352032449993658
asinh_saldo,3,21,-20,-2,0.296484051383819
asinh_saldo,3,22,-20,0,0.236432712687028
asinh_saldo,3,23,-20,1,0.444543242266787
asinh_saldo,3,24,-20,2,0.400042215423166
asinh_saldo,3,25,-20,3,0.365813989139162
asinh_saldo,3,26,-20,4,0.362822293021867
asinh_saldo,3,27,-20,5,0.361045028505345
asinh_saldo,3,28,-20,6,0.426907084082173
asinh_saldo,3,29,-20,7,0.390962039892237
asinh_saldo,3,30,-20,8,0.382059883267789
asinh_saldo,3,31,-20,9,0.46169993748249
asinh_saldo,3,32,-20,10,0.376910211825972
asinh_saldo,3,33,-20,11,0.304500014794558
asinh_saldo,3,34,-20,12,0.261957089093718
asinh_saldo,3,35,-20,13,0.545768226091645
asinh_saldo,3,36,-20,14,0.473963606670752
asinh_saldo,3,37,-20,15,0.381581827010429
asinh_saldo,3,38,-20,16,0.404902261353482
asinh_saldo,3,39,-20,17,0.39616321257364
asinh_saldo,3,40,-20,18,0.434776957293335
asinh_saldo,3,41,-20,19,0.387284743062847
asinh_saldo,3,42,-20,20,0.377839408550163
asinh_saldo,3,43,-20,21,0.38904230811174
asinh_saldo,3,44,-20,22,0.365181140661545
asinh_saldo,3,45,-20,23,0.307811536148971
asinh_saldo,4,0,-19,-23,0.477498215666859
asinh_saldo,4,1,-19,-22,0.474939449889423
asinh_saldo,4,2,-19,-21,0.526583549537495
asinh_saldo,4,3,-19,-20,0.478411063846232
asinh_saldo,4,4,-19,-19,0.61325908811187
asinh_saldo,4,5,-19,-18,0.493239382318854
asinh_saldo,4,6,-19,-17,0.452108866201034
asinh_saldo,4,7,-19,-16,0.456044565078727
