panel_family_group,outcome,ddd_estimate_se,nominal_p_value,bh_adjusted_p_value,group_pretrend,ddd_pretrend,group_mde_80_power,n_and_cbo_support
Painel 2 — Canaries · Família A (100) · 31–34,Saldo líquido (asinh),"0,4299 (0,1942)",0.0275441096740391,0.0949796885311696,fail,fail,0.8532886032403082,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Admissões (PPML, nível)","0,0353 (0,0148)",0.0173858228307095,0.0620922243953912,fail,fail,0.0930155578863576,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Desligamentos (PPML, nível)","0,0275 (0,0166)",0.0981299861447633,0.2453249653619083,fail,fail,0.0744768699220872,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,"Fluxo bruto (PPML, nível)","0,0319 (0,0154)",0.0388254110203531,0.125243261355978,fail,fail,0.0790074996587209,N=15.926; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,Salário real de admissão (log),"0,0026 (0,0068)",0.6992942140758296,0.8324931119950353,fail,warning,0.0309945618774155,N=15.663; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 35–40,Saldo líquido (asinh),"0,2605 (0,2006)",0.1949232665731264,0.3978025848431151,fail,fail,0.8033412691050353,N=15.935; CBOs 75/265; adequate
Painel 2 — Canaries · Família A (100) · 41–49,"Admissões (PPML, nível)","0,0841 (0,0236)",0.0004260623688518,0.0042606236885189,fail,fail,0.11250823686495,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 41–49,"Desligamentos (PPML, nível)","0,0699 (0,0245)",0.0046388692323102,0.0272874660724133,fail,fail,0.0828967667694742,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 41–49,"Fluxo bruto (PPML, nível)","0,0776 (0,0235)",0.0010674535793997,0.0088954464949978,fail,fail,0.0942242733798915,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 41–49,Salário real de admissão (log),"0,0010 (0,0076)",0.8918888495007153,0.9248946125721356,warning,warning,0.0382698543526879,N=15.646; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 41–49,Saldo líquido (asinh),"0,3007 (0,2457)",0.2218049577525671,0.4184999202878626,fail,fail,0.7140271854626833,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 50+,"Admissões (PPML, nível)","0,0663 (0,0533)",0.2140046223064529,0.418206372494911,fail,fail,0.1663930624343364,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 50+,"Desligamentos (PPML, nível)","0,0069 (0,0377)",0.8549649561457047,0.919317157145919,fail,fail,0.0993778447805055,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 50+,"Fluxo bruto (PPML, nível)","0,0357 (0,0430)",0.4070135419248681,0.581447917035526,fail,fail,0.1264989749925043,N=15.935; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 50+,Salário real de admissão (log),"0,0136 (0,0103)",0.1889409061310503,0.3936268877730214,fail,fail,0.0305411298295458,N=15.318; CBOs 75/266; adequate
Painel 2 — Canaries · Família A (100) · 50+,Saldo líquido (asinh),"1,2056 (0,3571)",0.0008203327935281,0.0074575708502555,fail,fail,0.4846066068013711,N=15.935; CBOs 75/266; adequate
