outcome,outcome_label,t,is_reference,is_pre,n_obs,n_cbo,coef,se,p_value,ci_low,ci_high,coefficient_status
ln_admissoes,Admissões (log),14,False,False,18307,341,-0.16927005919145643,0.042352708905853874,7.88069100885469e-05,-0.25228136864693,-0.08625874973598284,estimated
ln_admissoes,Admissões (log),15,False,False,18307,341,-0.10865730156939964,0.045843951342409504,0.018338110299073396,-0.19851144620052225,-0.018803156938277013,estimated
ln_admissoes,Admissões (log),16,False,False,18307,341,-0.10482600699203355,0.04259417913188666,0.014349754979902762,-0.1883105980905314,-0.021341415893535706,estimated
ln_admissoes,Admissões (log),17,False,False,18307,341,-0.09626933938897266,0.043024888454618444,0.025899309194122866,-0.1805981207600248,-0.011940558017920502,estimated
ln_admissoes,Admissões (log),18,False,False,18307,341,-0.12805710612103757,0.03936050773328073,0.001254583070129156,-0.2052037012782678,-0.050910510963807346,estimated
ln_admissoes,Admissões (log),19,False,False,18307,341,-0.13989352794852744,0.03910421765166719,0.00039731536494369557,-0.21653779454579514,-0.06324926135125976,estimated
ln_admissoes,Admissões (log),20,False,False,18307,341,-0.11205750008339037,0.043378635729721636,0.010204751297830494,-0.19707962611364477,-0.02703537405313597,estimated
ln_admissoes,Admissões (log),21,False,False,18307,341,-0.09186388509855269,0.04142969919141899,0.027260457215206424,-0.17306609551373392,-0.010661674683371467,estimated
ln_admissoes,Admissões (log),22,False,False,18307,341,-0.07925463000772863,0.04693595644481874,0.0922188185784305,-0.17124910463957335,0.012739844624116092,estimated
ln_admissoes,Admissões (log),23,False,False,18307,341,-0.009003072948796556,0.03952267278833064,0.819942426512243,-0.0864675116139246,0.06846136571633149,estimated
ln_admissoes,Admissões (log),24,False,False,18307,341,-0.0948186241575628,0.04043847817163576,0.01961398207386611,-0.17407804137396887,-0.015559206941156714,estimated
ln_desligamentos,Demissões (log),-12,False,True,18307,341,0.08708228197355831,0.035698650048788125,0.015223584252544997,0.017112927877933587,0.15705163606918304,estimated
ln_desligamentos,Demissões (log),-11,False,True,18307,341,0.13472486602587116,0.04000170566078408,0.0008440351718390637,0.05632152293073438,0.21312820912100794,estimated
ln_desligamentos,Demissões (log),-10,False,True,18307,341,0.06415628678317906,0.03872784745536079,0.09852425125763009,-0.011750294229328079,0.1400628677956862,estimated
ln_desligamentos,Demissões (log),-9,False,True,18307,341,0.10149058083663302,0.03766691851995587,0.007401096945043095,0.027663420537519523,0.17531774113574652,estimated
ln_desligamentos,Demissões (log),-8,False,True,18307,341,0.11556395044373499,0.040700802857368205,0.004792440005678689,0.03579037684329331,0.19533752404417667,estimated
ln_desligamentos,Demissões (log),-7,False,True,18307,341,0.124470657720258,0.0400637683621463,0.0020503946990759747,0.04594567173045126,0.20299564371006473,estimated
ln_desligamentos,Demissões (log),-6,False,True,18307,341,0.12245164513510905,0.03953075673647631,0.002113178802033433,0.04497136193161548,0.19993192833860263,estimated
ln_desligamentos,Demissões (log),-5,False,True,18307,341,0.09180393392196716,0.04681820065238207,0.05071138323717772,4.026064329830381e-05,0.18356760720063603,estimated
ln_desligamentos,Demissões (log),-4,False,True,18307,341,0.1043443033313981,0.040029855666964764,0.00954545491512171,0.025885786224147167,0.18280282043864904,estimated
ln_desligamentos,Demissões (log),-3,False,True,18307,341,0.09089679446427244,0.0378684809688255,0.016917423862598868,0.016674571765374457,0.16511901716317043,estimated
ln_desligamentos,Demissões (log),-2,False,True,18307,341,0.02442303594679417,0.03888596657669853,0.5303809484201834,-0.051793458543534954,0.10063953043712329,estimated
ln_desligamentos,Demissões (log),-1,True,False,18307,341,0.0,0.0,,0.0,0.0,reference
ln_desligamentos,Demissões (log),0,False,False,18307,341,-0.03753332354396626,0.044718634402779775,0.401878514205414,-0.1251818469734146,0.0501151998854821,estimated
ln_desligamentos,Demissões (log),1,False,False,18307,341,0.07013196969694602,0.039772141219819764,0.0787406682215479,-0.007821427093900712,0.14808536648779275,estimated
ln_desligamentos,Demissões (log),2,False,False,18307,341,0.06743256161556227,0.038337782993939834,0.07949296525757488,-0.0077094930525598016,0.14257461628368434,estimated
ln_desligamentos,Demissões (log),3,False,False,18307,341,0.02987971017437857,0.044324632492292355,0.5006989686499779,-0.05699656951051445,0.11675598985927159,estimated
ln_desligamentos,Demissões (log),4,False,False,18307,341,0.05871040796736668,0.04664247338682408,0.20899046840022129,-0.032708839870808526,0.15012965580554188,estimated
ln_desligamentos,Demissões (log),5,False,False,18307,341,0.03593147627128756,0.04571046788183486,0.432375900914046,-0.053661040777108766,0.1255239933196839,estimated
ln_desligamentos,Demissões (log),6,False,False,18307,341,0.032312332341819086,0.051247991795465964,0.5287850117145738,-0.0681337315772942,0.1327583962609324,estimated
ln_desligamentos,Demissões (log),7,False,False,18307,341,0.09602637104371779,0.04516645767216975,0.034218844103022894,0.007500114006265088,0.1845526280811705,estimated
ln_desligamentos,Demissões (log),8,False,False,18307,341,0.02120908455153346,0.04436561489111763,0.6329201922326297,-0.0657475206350571,0.10816568973812402,estimated
ln_desligamentos,Demissões (log),9,False,False,18307,341,0.035865292911364005,0.04080601238656344,0.38006441803754165,-0.04411449136630033,0.11584507718902834,estimated
ln_desligamentos,Demissões (log),10,False,False,18307,341,0.015561165481706158,0.03784796578542355,0.6812220697139666,-0.058620847457723994,0.08974317842113631,estimated
ln_desligamentos,Demissões (log),11,False,False,18307,341,-0.015243850866036206,0.036900358815307344,0.6797875495137187,-0.0875685541440386,0.057080852411966185,estimated
ln_desligamentos,Demissões (log),12,False,False,18307,341,-0.05119303477491072,0.04936322354034114,0.3004410143973977,-0.14794495291397936,0.04555888336415791,estimated
ln_desligamentos,Demissões (log),13,False,False,18307,341,0.062321550153344236,0.04361797674887744,0.15397854612961148,-0.023169684274455545,0.14781278458114402,estimated
ln_desligamentos,Demissões (log),14,False,False,18307,341,0.04653831817625832,0.045502982162567575,0.3071517147040148,-0.04264752686237412,0.13572416321489078,estimated
ln_desligamentos,Demissões (log),15,False,False,18307,341,0.04496027452192165,0.046439614853714624,0.33366019425034144,-0.04606137059135901,0.13598191963520231,estimated
ln_desligamentos,Demissões (log),16,False,False,18307,341,0.01127158059626812,0.04801618702021995,0.8145476289162552,-0.08284014596336299,0.10538330715589923,estimated
ln_desligamentos,Demissões (log),17,False,False,18307,341,0.038035511051325674,0.049851349155803346,0.4460052174478595,-0.059673133294048886,0.13574415539670023,estimated
ln_desligamentos,Demissões (log),18,False,False,18307,341,0.0706194935466924,0.044688103618931184,0.11497371680237167,-0.016969189546412716,0.15820817663979753,estimated
ln_desligamentos,Demissões (log),19,False,False,18307,341,0.05936132857457866,0.053489835483126226,0.26788312820491944,-0.045478748972348736,0.16420140612150605,estimated
ln_desligamentos,Demissões (log),20,False,False,18307,341,0.06652290295487691,0.04591139160400517,0.14827567092916727,-0.023463424588973214,0.15650923049872703,estimated
ln_desligamentos,Demissões (log),21,False,False,18307,341,0.0802599516055438,0.05085309197844792,0.11543329640795008,-0.019412108672214115,0.1799320118833017,estimated
ln_desligamentos,Demissões (log),22,False,False,18307,341,0.060196197208705005,0.04266179951011917,0.15915620236123784,-0.023420929831128562,0.14381332424853857,estimated
ln_desligamentos,Demissões (log),23,False,False,18307,341,0.04728781753809189,0.042464126289052995,0.2662398207045189,-0.03594186998845198,0.13051750506463577,estimated
ln_desligamentos,Demissões (log),24,False,False,18307,341,0.0692236502661903,0.045161058553312476,0.1262508161436111,-0.019292024498302154,0.15773932503068278,estimated
ln_salario_adm,Salário de admissão (log),-12,False,True,18307,341,-0.04096091482701762,0.03437471547419182,0.23424918888045876,-0.10833535715643358,0.026413527502398337,estimated
ln_salario_adm,Salário de admissão (log),-11,False,True,18307,341,-0.054793994538547476,0.046413189251123865,0.23859903304748897,-0.14576384547075025,0.0361758563936553,estimated
ln_salario_adm,Salário de admissão (log),-10,False,True,18307,341,-0.06886662106434512,0.052581347774483846,0.19117627469302745,-0.17192606270233346,0.034192820573643215,estimated
ln_salario_adm,Salário de admissão (log),-9,False,True,18307,341,-0.04336237514201893,0.04599772107821037,0.34650012880083203,-0.13351790845531125,0.046793158171273386,estimated
ln_salario_adm,Salário de admissão (log),-8,False,True,18307,341,-0.0245187882314097,0.039705743122443314,0.5373101616647489,-0.10234204475139859,0.053304468288579196,estimated
ln_salario_adm,Salário de admissão (log),-7,False,True,18307,341,-0.045168145799380416,0.04813995688301349,0.3487731091574555,-0.13952246129008686,0.049186169691326026,estimated
ln_salario_adm,Salário de admissão (log),-6,False,True,18307,341,-0.05613485455343959,0.045557663362755046,0.21873644669631864,-0.14542787474443947,0.03315816563756029,estimated
ln_salario_adm,Salário de admissão (log),-5,False,True,18307,341,-0.0508340186048765,0.04634011325269145,0.27342795396945085,-0.14166064058015174,0.03999260337039875,estimated
ln_salario_adm,Salário de admissão (log),-4,False,True,18307,341,-0.008412418148053913,0.05442880997144161,0.8772613418558453,-0.11509288569207946,0.09826804939597164,estimated
ln_salario_adm,Salário de admissão (log),-3,False,True,18307,341,-0.052381818586419944,0.04548818986426486,0.2503161171895576,-0.14153867072037907,0.03677503354753917,estimated
ln_salario_adm,Salário de admissão (log),-2,False,True,18307,341,-0.07271956367046002,0.042819085720675915,0.09036643458942284,-0.1566449716829848,0.011205844342064772,estimated
ln_salario_adm,Salário de admissão (log),-1,True,False,18307,341,0.0,0.0,,0.0,0.0,reference
ln_salario_adm,Salário de admissão (log),0,False,False,18307,341,-0.0017946540696361724,0.05368397987988018,0.9733513233472644,-0.10701525463420133,0.10342594649492898,estimated
ln_salario_adm,Salário de admissão (log),1,False,False,18307,341,-0.05882748758441488,0.05195673921086029,0.2583315061824776,-0.16066269643770104,0.04300772126887128,estimated
ln_salario_adm,Salário de admissão (log),2,False,False,18307,341,-0.09285715506676459,0.052139845342166084,0.07581741802047359,-0.19505125193741013,0.009336941803880935,estimated
ln_salario_adm,Salário de admissão (log),3,False,False,18307,341,-0.08565049405312196,0.047119521496639546,0.06998564498594573,-0.17800475618653547,0.00670376808029155,estimated
ln_salario_adm,Salário de admissão (log),4,False,False,18307,341,-0.058488710045613714,0.04742756968356486,0.21834496546555382,-0.15144674662540084,0.034469326534173415,estimated
ln_salario_adm,Salário de admissão (log),5,False,False,18307,341,-0.0888540343280451,0.04458308639132822,0.047060507317925326,-0.17623688365504842,-0.0014711850010417915,estimated
ln_salario_adm,Salário de admissão (log),6,False,False,18307,341,-0.052732423206957355,0.04617758103924512,0.2542789696714285,-0.1432404820438778,0.037775635629963084,estimated
ln_salario_adm,Salário de admissão (log),7,False,False,18307,341,-0.0449744753053677,0.048200185700015115,0.35144245009990893,-0.13944683927739732,0.049497888666661924,estimated
ln_salario_adm,Salário de admissão (log),8,False,False,18307,341,-0.06452396073146742,0.04641230802562558,0.16536729646136883,-0.15549208446169355,0.026444162998758708,estimated
ln_salario_adm,Salário de admissão (log),9,False,False,18307,341,-0.08791701992680288,0.04773492270095437,0.06637876691659383,-0.18147746842067344,0.0056434285670676765,estimated
ln_salario_adm,Salário de admissão (log),10,False,False,18307,341,-0.09330843777581634,0.043465031550027164,0.03252040781089738,-0.17849989961386958,-0.008116975937763102,estimated
ln_salario_adm,Salário de admissão (log),11,False,False,18307,341,-0.04993460638178544,0.045832829710667086,0.2767075585388692,-0.13976695261469294,0.03989773985112205,estimated
ln_salario_adm,Salário de admissão (log),12,False,False,18307,341,-0.08079169611693998,0.04810147925661278,0.0939519415017942,-0.17507059545990103,0.013487203226021066,estimated
ln_salario_adm,Salário de admissão (log),13,False,False,18307,341,-0.05052220006732866,0.0450775148092921,0.2631704234118275,-0.1388741290935412,0.037829728958883854,estimated
ln_salario_adm,Salário de admissão (log),14,False,False,18307,341,-0.05528161927181803,0.04491825216824629,0.2192797661445507,-0.14332139352158074,0.032758154977944695,estimated
