repetition,seed,outcome,estimator,coefficient,n_obs,n_clusters,treated_cbo_count,control_cbo_count
32,20260726,asinh_saldo,ols,-0.578880518348764,22049,341,75,266
32,20260726,desligamentos,ppml,0.0001209336332976,22049,341,75,266
32,20260726,ln_salario_real_adm,ols,-0.0016309126868975,22012,341,75,266
32,20260726,n_movimentacoes,ppml,0.0142119643278419,22049,341,75,266
33,20260726,admissoes,ppml,0.036906253080815,22049,341,75,266
33,20260726,asinh_saldo,ols,-0.3001165471954378,22049,341,75,266
33,20260726,desligamentos,ppml,0.0200129901058971,22049,341,75,266
33,20260726,ln_salario_real_adm,ols,-0.0004384728868437,22012,341,75,266
33,20260726,n_movimentacoes,ppml,0.0288710361346602,22049,341,75,266
34,20260726,admissoes,ppml,0.025152598042041,22049,341,75,266
34,20260726,asinh_saldo,ols,-0.2205505106127054,22049,341,75,266
34,20260726,desligamentos,ppml,0.0112525979056954,22049,341,75,266
34,20260726,ln_salario_real_adm,ols,-0.0157533179035704,22012,341,75,266
34,20260726,n_movimentacoes,ppml,0.0186438742093741,22049,341,75,266
35,20260726,admissoes,ppml,0.0051915594376623,22049,341,75,266
35,20260726,asinh_saldo,ols,0.7288683869892348,22049,341,75,266
35,20260726,desligamentos,ppml,-0.0078216614201664,22049,341,75,266
35,20260726,ln_salario_real_adm,ols,0.015963048898415,22012,341,75,266
35,20260726,n_movimentacoes,ppml,-0.0012108082883059,22049,341,75,266
36,20260726,admissoes,ppml,-0.0596735645085573,22049,341,75,266
36,20260726,asinh_saldo,ols,-0.1384538677047548,22049,341,75,266
36,20260726,desligamentos,ppml,-0.0409758649766445,22049,341,75,266
36,20260726,ln_salario_real_adm,ols,-0.0208564659713411,22012,341,75,266
36,20260726,n_movimentacoes,ppml,-0.0511922556906938,22049,341,75,266
37,20260726,admissoes,ppml,0.0008414005860686,22049,341,75,266
37,20260726,asinh_saldo,ols,0.0378183723508783,22049,341,75,266
37,20260726,desligamentos,ppml,0.0141369104385375,22049,341,75,266
37,20260726,ln_salario_real_adm,ols,-0.0068018079557783,22012,341,75,266
37,20260726,n_movimentacoes,ppml,0.0073878183029592,22049,341,75,266
38,20260726,admissoes,ppml,0.0247532497160136,22049,341,75,266
38,20260726,asinh_saldo,ols,-0.1589363357492149,22049,341,75,266
38,20260726,desligamentos,ppml,0.0167615329846739,22049,341,75,266
38,20260726,ln_salario_real_adm,ols,0.0092354835115384,22012,341,75,266
38,20260726,n_movimentacoes,ppml,0.0212206612341105,22049,341,75,266
39,20260726,admissoes,ppml,-0.0519432742148637,22049,341,75,266
39,20260726,asinh_saldo,ols,-0.2532664966772739,22049,341,75,266
39,20260726,desligamentos,ppml,-0.0073303692042827,22049,341,75,266
39,20260726,ln_salario_real_adm,ols,0.0194683251070714,22012,341,75,266
39,20260726,n_movimentacoes,ppml,-0.0294685652479529,22049,341,75,266
40,20260726,admissoes,ppml,0.0777454548515379,22049,341,75,266
40,20260726,asinh_saldo,ols,-0.1583788818385254,22049,341,75,266
40,20260726,desligamentos,ppml,0.0827610986307263,22049,341,75,266
40,20260726,ln_salario_real_adm,ols,-0.0072073266738405,22012,341,75,266
40,20260726,n_movimentacoes,ppml,0.0804081056267023,22049,341,75,266
41,20260726,admissoes,ppml,-0.0382720483466982,22049,341,75,266
41,20260726,asinh_saldo,ols,-0.2237119668967759,22049,341,75,266
41,20260726,desligamentos,ppml,-0.0124254543334245,22049,341,75,266
41,20260726,ln_salario_real_adm,ols,0.0039289862578842,22012,341,75,266
41,20260726,n_movimentacoes,ppml,-0.0261752749793231,22049,341,75,266
42,20260726,admissoes,ppml,0.0540768555365502,22049,341,75,266
42,20260726,asinh_saldo,ols,-0.4230990486777678,22049,341,75,266
42,20260726,desligamentos,ppml,0.0195019571110606,22049,341,75,266
42,20260726,ln_salario_real_adm,ols,0.0008876045025074,22012,341,75,266
42,20260726,n_movimentacoes,ppml,0.0374162215739488,22049,341,75,266
43,20260726,admissoes,ppml,-0.0096958046779036,22049,341,75,266
43,20260726,asinh_saldo,ols,0.6105978648786526,22049,341,75,266
43,20260726,desligamentos,ppml,-0.0097362315282225,22049,341,75,266
43,20260726,ln_salario_real_adm,ols,-0.0042433350162715,22012,341,75,266
43,20260726,n_movimentacoes,ppml,-0.0095143234357237,22049,341,75,266
44,20260726,admissoes,ppml,0.0426919786259532,22049,341,75,266
44,20260726,asinh_saldo,ols,0.6113625806747714,22049,341,75,266
44,20260726,desligamentos,ppml,0.0036695837043225,22049,341,75,266
44,20260726,ln_salario_real_adm,ols,0.0035518856097542,22012,341,75,266
44,20260726,n_movimentacoes,ppml,0.0240419628098607,22049,341,75,266
45,20260726,admissoes,ppml,0.0393496388569474,22049,341,75,266
45,20260726,asinh_saldo,ols,0.5309122551944819,22049,341,75,266
45,20260726,desligamentos,ppml,-0.014304254669696,22049,341,75,266
45,20260726,ln_salario_real_adm,ols,0.0062291446611397,22012,341,75,266
45,20260726,n_movimentacoes,ppml,0.0136680826544761,22049,341,75,266
46,20260726,admissoes,ppml,-0.0304888039827346,22049,341,75,266
46,20260726,asinh_saldo,ols,-0.3550411048322037,22049,341,75,266
46,20260726,desligamentos,ppml,-0.0108619472011923,22049,341,75,266
46,20260726,ln_salario_real_adm,ols,0.0228431250590762,22012,341,75,266
46,20260726,n_movimentacoes,ppml,-0.021000150591135,22049,341,75,266
47,20260726,admissoes,ppml,-0.0111508057452738,22049,341,75,266
47,20260726,asinh_saldo,ols,-0.027814366752124,22049,341,75,266
47,20260726,desligamentos,ppml,-0.0160438655875623,22049,341,75,266
47,20260726,ln_salario_real_adm,ols,-0.0022035935051183,22012,341,75,266
47,20260726,n_movimentacoes,ppml,-0.0133478068746626,22049,341,75,266
48,20260726,admissoes,ppml,0.0108427302911877,22049,341,75,266
48,20260726,asinh_saldo,ols,-0.3050563898702451,22049,341,75,266
48,20260726,desligamentos,ppml,0.0335467816330492,22049,341,75,266
48,20260726,ln_salario_real_adm,ols,-0.0007791449965951,22012,341,75,266
48,20260726,n_movimentacoes,ppml,0.0214279107749462,22049,341,75,266
49,20260726,admissoes,ppml,0.0373001517727971,22049,341,75,266
49,20260726,asinh_saldo,ols,-0.2277994215812652,22049,341,75,266
49,20260726,desligamentos,ppml,0.0284840022213757,22049,341,75,266
49,20260726,ln_salario_real_adm,ols,-0.0174900567889758,22012,341,75,266
49,20260726,n_movimentacoes,ppml,0.0327291758731007,22049,341,75,266
50,20260726,admissoes,ppml,-0.0022498052567243,22049,341,75,266
50,20260726,asinh_saldo,ols,-0.0475982805200601,22049,341,75,266
50,20260726,desligamentos,ppml,-0.0105421715416014,22049,341,75,266
50,20260726,ln_salario_real_adm,ols,-0.0055771552941909,22012,341,75,266
50,20260726,n_movimentacoes,ppml,-0.006423304323107,22049,341,75,266
51,20260726,admissoes,ppml,0.0267112492583692,22049,341,75,266
51,20260726,asinh_saldo,ols,-0.2254876074799159,22049,341,75,266
51,20260726,desligamentos,ppml,0.0124007849954068,22049,341,75,266
51,20260726,ln_salario_real_adm,ols,0.024844060771474,22012,341,75,266
51,20260726,n_movimentacoes,ppml,0.0196524048224091,22049,341,75,266
52,20260726,admissoes,ppml,-0.0871039344929158,22049,341,75,266
52,20260726,asinh_saldo,ols,-0.2614663204031777,22049,341,75,266
52,20260726,desligamentos,ppml,-0.0499409595504403,22049,341,75,266
52,20260726,ln_salario_real_adm,ols,-0.0006634745663964,22012,341,75,266
52,20260726,n_movimentacoes,ppml,-0.0680919038131833,22049,341,75,266
53,20260726,admissoes,ppml,-0.023782345931977,22049,341,75,266
53,20260726,asinh_saldo,ols,0.0257332850923769,22049,341,75,266
53,20260726,desligamentos,ppml,-0.0331621752120554,22049,341,75,266
53,20260726,ln_salario_real_adm,ols,0.0055540340157498,22012,341,75,266
53,20260726,n_movimentacoes,ppml,-0.0281178285367786,22049,341,75,266
54,20260726,admissoes,ppml,-0.0495410580188035,22049,341,75,266
54,20260726,asinh_saldo,ols,0.4400908422051751,22049,341,75,266
54,20260726,desligamentos,ppml,-0.0310647976584732,22049,341,75,266
54,20260726,ln_salario_real_adm,ols,-0.0036397121750556,22012,341,75,266
54,20260726,n_movimentacoes,ppml,-0.0408876305446028,22049,341,75,266
55,20260726,admissoes,ppml,0.0068153082393109,22049,341,75,266
55,20260726,asinh_saldo,ols,-0.2255784182448082,22049,341,75,266
55,20260726,desligamentos,ppml,-0.0022126655094325,22049,341,75,266
55,20260726,ln_salario_real_adm,ols,-0.0030670200228306,22012,341,75,266
55,20260726,n_movimentacoes,ppml,0.0026479875668883,22049,341,75,266
56,20260726,admissoes,ppml,0.0175988292321562,22049,341,75,266
56,20260726,asinh_saldo,ols,-0.024617312275189,22049,341,75,266
56,20260726,desligamentos,ppml,-0.0067655742168426,22049,341,75,266
56,20260726,ln_salario_real_adm,ols,0.0037446231415813,22012,341,75,266
56,20260726,n_movimentacoes,ppml,0.006075635086745,22049,341,75,266
57,20260726,admissoes,ppml,0.0305341752246022,22049,341,75,266
57,20260726,asinh_saldo,ols,0.130300595864343,22049,341,75,266
57,20260726,desligamentos,ppml,-0.0017922287806868,22049,341,75,266
57,20260726,ln_salario_real_adm,ols,-0.0046227130166434,22012,341,75,266
57,20260726,n_movimentacoes,ppml,0.0146227683871984,22049,341,75,266
58,20260726,admissoes,ppml,-0.0451686340384185,22049,341,75,266
58,20260726,asinh_saldo,ols,0.6555966397744756,22049,341,75,266
58,20260726,desligamentos,ppml,-0.0688840723596513,22049,341,75,266
58,20260726,ln_salario_real_adm,ols,0.0128863885912512,22012,341,75,266
58,20260726,n_movimentacoes,ppml,-0.056438211351633,22049,341,75,266
59,20260726,admissoes,ppml,-0.001977490261197,22049,341,75,266
59,20260726,asinh_saldo,ols,0.2419294732761501,22049,341,75,266
59,20260726,desligamentos,ppml,0.0336051862686872,22049,341,75,266
59,20260726,ln_salario_real_adm,ols,-0.0130248876788538,22012,341,75,266
59,20260726,n_movimentacoes,ppml,0.0155770052224397,22049,341,75,266
60,20260726,admissoes,ppml,0.0756395505741238,22049,341,75,266
60,20260726,asinh_saldo,ols,0.492578185502697,22049,341,75,266
60,20260726,desligamentos,ppml,0.0501970187760889,22049,341,75,266
60,20260726,ln_salario_real_adm,ols,0.0237768165326572,22012,341,75,266
60,20260726,n_movimentacoes,ppml,0.0627298329491168,22049,341,75,266
61,20260726,admissoes,ppml,0.0585939539596438,22049,341,75,266
61,20260726,asinh_saldo,ols,-0.4573873355698832,22049,341,75,266
61,20260726,desligamentos,ppml,0.0460608042776584,22049,341,75,266
61,20260726,ln_salario_real_adm,ols,-0.016916918683624,22012,341,75,266
61,20260726,n_movimentacoes,ppml,0.05216870829463,22049,341,75,266
62,20260726,admissoes,ppml,0.060782273299992,22049,341,75,266
62,20260726,asinh_saldo,ols,-0.0212691338558411,22049,341,75,266
62,20260726,desligamentos,ppml,0.0215778620913624,22049,341,75,266
62,20260726,ln_salario_real_adm,ols,0.001207709743085,22012,341,75,266
62,20260726,n_movimentacoes,ppml,0.041875482071191,22049,341,75,266
63,20260726,admissoes,ppml,-0.0118125104345381,22049,341,75,266
63,20260726,asinh_saldo,ols,-0.0077116934208294,22049,341,75,266
63,20260726,desligamentos,ppml,-0.0057291286066174,22049,341,75,266
63,20260726,ln_salario_real_adm,ols,-0.0147176476286211,22012,341,75,266
63,20260726,n_movimentacoes,ppml,-0.0088485074229538,22049,341,75,266
64,20260726,admissoes,ppml,-0.0525550171732902,22049,341,75,266
64,20260726,asinh_saldo,ols,0.0137472188249046,22049,341,75,266
64,20260726,desligamentos,ppml,-0.0388257927261292,22049,341,75,266
64,20260726,ln_salario_real_adm,ols,0.0096554415604303,22012,341,75,266
64,20260726,n_movimentacoes,ppml,-0.0461317277513444,22049,341,75,266
65,20260726,admissoes,ppml,-0.0313586946576833,22049,341,75,266
65,20260726,asinh_saldo,ols,0.1893424667926317,22049,341,75,266
65,20260726,desligamentos,ppml,-0.0066642402671277,22049,341,75,266
65,20260726,ln_salario_real_adm,ols,-0.0046529334164088,22012,341,75,266
65,20260726,n_movimentacoes,ppml,-0.0189883615821599,22049,341,75,266
66,20260726,admissoes,ppml,-0.0366949876770377,22049,341,75,266
66,20260726,asinh_saldo,ols,-0.5845438083173782,22049,341,75,266
66,20260726,desligamentos,ppml,-0.0128725725226104,22049,341,75,266
66,20260726,ln_salario_real_adm,ols,0.0014214379782265,22012,341,75,266
66,20260726,n_movimentacoes,ppml,-0.0249188197776675,22049,341,75,266
67,20260726,admissoes,ppml,0.0378790313843637,22049,341,75,266
67,20260726,asinh_saldo,ols,-0.2616030566911017,22049,341,75,266
67,20260726,desligamentos,ppml,0.0043692456092685,22049,341,75,266
67,20260726,ln_salario_real_adm,ols,0.0030999044986532,22012,341,75,266
67,20260726,n_movimentacoes,ppml,0.0218648430891335,22049,341,75,266
68,20260726,admissoes,ppml,-0.0473344232887029,22049,341,75,266
68,20260726,asinh_saldo,ols,0.2648332973550214,22049,341,75,266
68,20260726,desligamentos,ppml,-0.018138256855309,22049,341,75,266
68,20260726,ln_salario_real_adm,ols,-0.0102354703468019,22012,341,75,266
68,20260726,n_movimentacoes,ppml,-0.0331855048425495,22049,341,75,266
69,20260726,admissoes,ppml,0.0467165634036064,22049,341,75,266
69,20260726,asinh_saldo,ols,0.1945067730395331,22049,341,75,266
69,20260726,desligamentos,ppml,0.0535653131082654,22049,341,75,266
69,20260726,ln_salario_real_adm,ols,0.0087223256935134,22012,341,75,266
69,20260726,n_movimentacoes,ppml,0.0500456029549241,22049,341,75,266
70,20260726,admissoes,ppml,0.0425668684765696,22049,341,75,266
70,20260726,asinh_saldo,ols,0.6645665602537075,22049,341,75,266
70,20260726,desligamentos,ppml,0.0300034554675221,22049,341,75,266
70,20260726,ln_salario_real_adm,ols,-0.0015163994707703,22012,341,75,266
70,20260726,n_movimentacoes,ppml,0.0369732482358813,22049,341,75,266
71,20260726,admissoes,ppml,-0.0887255677953362,22049,341,75,266
71,20260726,asinh_saldo,ols,0.6316098929056643,22049,341,75,266
71,20260726,desligamentos,ppml,-0.0491532701998949,22049,341,75,266
71,20260726,ln_salario_real_adm,ols,0.0039689671202876,22012,341,75,266
71,20260726,n_movimentacoes,ppml,-0.0695524383336305,22049,341,75,266
72,20260726,admissoes,ppml,0.0381761635653674,22049,341,75,266
72,20260726,asinh_saldo,ols,0.7347364338889198,22049,341,75,266
72,20260726,desligamentos,ppml,0.0260324040427804,22049,341,75,266
72,20260726,ln_salario_real_adm,ols,0.0199245366425089,22012,341,75,266
72,20260726,n_movimentacoes,ppml,0.0316018932498991,22049,341,75,266
73,20260726,admissoes,ppml,0.0846433858387172,22049,341,75,266
73,20260726,asinh_saldo,ols,0.2015594107691111,22049,341,75,266
73,20260726,desligamentos,ppml,0.0261724533047527,22049,341,75,266
73,20260726,ln_salario_real_adm,ols,0.0111131799030547,22012,341,75,266
73,20260726,n_movimentacoes,ppml,0.0561956125311553,22049,341,75,266
74,20260726,admissoes,ppml,0.0139394951984286,22049,341,75,266
74,20260726,asinh_saldo,ols,-0.0305536745400048,22049,341,75,266
74,20260726,desligamentos,ppml,-0.0090357619337737,22049,341,75,266
74,20260726,ln_salario_real_adm,ols,0.0019332933238823,22012,341,75,266
74,20260726,n_movimentacoes,ppml,0.0027875532396137,22049,341,75,266
75,20260726,admissoes,ppml,-0.0614573005586862,22049,341,75,266
75,20260726,asinh_saldo,ols,-0.4892972210820556,22049,341,75,266
75,20260726,desligamentos,ppml,-0.0235186079517006,22049,341,75,266
75,20260726,ln_salario_real_adm,ols,-0.0145467812181638,22012,341,75,266
75,20260726,n_movimentacoes,ppml,-0.0433747437782585,22049,341,75,266
76,20260726,admissoes,ppml,-0.0592050580307841,22049,341,75,266
76,20260726,asinh_saldo,ols,-0.3803147012613563,22049,341,75,266
76,20260726,desligamentos,ppml,-0.0309126223437488,22049,341,75,266
76,20260726,ln_salario_real_adm,ols,-0.0103073445805095,22012,341,75,266
